Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,72,1694274,68,20,1693627
0,0,1863,103,57,1015
0,71,247509,144,15,246700
0,95,684782,57,20,683826
0,8,1070767,194,14,1069991
0,25,137805,157,12,136807
1,8,461022,201,14,460051
0,45,1577124,187,19,1576114
1,27,614,51,46,222
0,100,5008,9,26,4142
0,0,31139,61,48,29922
1,5,375903,35,4,374896
0,90,12268,236,80,10958
1,79,2029082,21,20,2027874
0,27,13418,150,67,12669
0,88,550504,49,7,549704
1,65,7162,223,37,6368
0,34,556235,168,1,555144
0,71,1148502,228,15,1147669
0,75,381597,15,10,380962
1,55,36628,46,29,35402
0,47,2155792,183,19,2155145
1,18,9178,74,30,8375
0,99,26635,162,72,25832
0,97,1648331,124,18,1647294
0,62,492438,202,14,491209
0,52,23852,33,28,23046
1,97,1522877,178,18,1521903
1,46,178084,111,17,176870
0,83,15379,219,77,14528
0,81,77977,41,3,77144
0,5,617253,207,14,616495
0,43,12388,136,64,11468
1,8,537352,88,14,536177
1,59,35179,44,13,34406
1,27,81801,40,45,80905
1,94,1912694,127,19,1911738
1,25,287088,99,12,285889
0,57,1165493,229,15,1164663
0,73,29968,163,72,28721
0,96,37518,31,28,36670
1,54,1783506,129,19,1782673
0,24,432927,247,5,431740
1,10,2102,112,59,1101
0,91,320234,146,15,319014
1,4,827468,209,14,826311
1,11,4723,24,39,4340
1,76,3769,1,22,3023
0,51,335,10,26,3
1,32,227094,20,12,226831
1,27,23810,60,47,22572
1,13,1026,225,78,841
1,36,13592,101,56,12324
1,59,1989097,189,20,1988282
0,7,445921,19,4,445157
0,5,247162,12,14,246347
1,5,1018268,212,14,1017216
1,27,2879,134,62,2091
1,69,1338,195,34,835
0,0,19059,165,72,18244
1,59,2097143,188,20,2096334
0,28,2142542,184,19,2141583
0,30,392050,86,12,391007
1,52,55904,32,28,55386
0,53,1679298,71,20,1678525
0,78,17599,77,51,16553
0,44,255296,142,15,254511
0,8,305564,84,14,304740
0,26,486743,58,1,485586
0,5,277578,82,14,276769
0,62,822069,208,14,821287
0,38,177073,105,21,175745
1,50,265814,200,11,265029
1,98,5205,97,54,4201
1,8,992655,211,14,991897
0,8,297062,79,14,295851
0,27,18784,98,55,18002
1,0,26139,27,42,25351
0,5,422034,18,4,420934
0,62,907521,139,14,906301
0,27,23025,135,63,22318
1,94,2202884,181,19,2202237
1,31,65754,233,79,64810
1,97,1487286,177,18,1486264
1,9,17173,217,76,16040
0,0,61556,28,42,60249
0,8,313431,83,14,312547
0,8,285745,81,14,284939
1,72,970864,118,20,969914
0,72,1631767,70,20,1631120
0,41,6002,241,81,5043
1,35,1564778,72,20,1564014
1,79,643595,16,20,642765
1,8,407549,137,14,406749
0,5,251858,22,14,251211
1,85,15410,226,38,14340
0,0,18582,59,47,17713
0,75,231201,246,5,230431
1,54,2089274,125,19,2088630
0,27,9985,149,66,9303
0,53,1687805,69,20,1687044
0,16,25842,199,74,24370
1,43,1677,75,49,712
0,51,1153229,240,19,1151997
0,97,1221966,174,18,1220947
0,15,1604402,186,19,1603254
1,5,1075329,3,14,1075195
1,64,884301,138,14,883339
1,70,13960,14,27,13361
0,91,1106541,227,15,1105297
1,21,655,0,82,2
0,33,223492,245,5,222386
1,13,1592913,73,20,1591840
0,8,658646,90,14,657867
0,71,266241,143,15,265438
1,27,13082,113,60,12327
0,14,1207750,192,14,1206605
