Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,0,20,3258,211,1,123,754,0
0,0,18,961848,157,1,36,959689,0
1,0,66,16197,181,1,119,13717,0
1,0,123,1669,49,0,86,2,3
0,0,0,399311,94,1,14,397290,0
0,0,45,646569,185,0,12,644707,2
1,0,65,27218,69,1,50,24993,0
0,0,16,2152465,193,0,52,2150273,1
0,0,36,5726,0,1,125,3723,0
1,0,29,1909430,133,1,52,1907460,0
0,0,107,1835184,68,0,47,1832923,1
1,0,84,27070,144,0,16,24536,1
1,0,106,311650,214,0,12,309482,1
1,0,110,6765,195,0,80,4204,1
1,2,123,1518,60,0,93,1,3
0,0,25,477984,154,1,5,475453,0
1,0,72,19107,107,1,44,16912,0
1,0,135,2336,152,1,114,3,0
0,0,19,468765,86,1,53,466540,0
1,0,123,4334,98,0,98,1968,1
1,0,44,71096,142,0,40,68619,1
0,0,126,909502,76,0,34,907241,1
0,0,38,1116077,156,1,40,1113876,0
0,0,20,731499,33,1,23,729406,0
1,0,123,7491,130,0,22,5182,1
0,0,116,1333,16,0,64,3,2
1,0,46,14203,59,0,32,11819,1
0,0,78,1475,2,0,126,3,3
0,0,73,471716,220,0,5,470270,2
0,0,70,2123600,89,0,52,2121408,1
0,0,64,669243,190,1,18,667156,0
1,0,131,18709,36,0,27,16532,1
1,0,123,6479,139,0,109,5838,2
0,0,100,668634,160,0,24,666520,1
