Gene_Type,Genomic_Start_Position,Chromosome_Id,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,1743146,28,0,335,4,335,1743790
0,514617,6,0,207,4,207,515441
0,1117975,28,1,319,4,319,1118634
1,347313,3,0,17,3,17,347837
0,250097,3,0,323,4,323,250738
0,1004,34,1,3,4,3,1579
0,569783,7,0,76,4,76,570400
0,552180,22,1,146,4,146,552848
0,51491,76,0,266,4,266,52129
1,18480,86,1,380,3,380,19103
0,4128,73,0,258,4,258,4829
0,598996,10,1,233,4,233,599763
0,430509,16,0,12,4,12,430625
0,1148204,27,0,410,4,410,1148872
0,338926,3,0,225,4,225,339516
0,1580900,26,1,215,4,215,1581481
0,1080440,27,1,406,4,406,1081012
0,15015,79,0,344,4,344,15668
0,5874,1,1,304,4,304,6518
0,25487,14,1,306,4,306,26110
1,503911,4,1,428,3,428,504309
0,668282,22,1,150,4,150,668902
0,1994529,27,0,217,4,217,1995197
0,216122,3,0,322,4,322,216763
1,587969,4,1,158,3,158,588625
0,415541,31,0,383,4,383,416038
1,462885,0,1,101,3,101,463493
0,13402,92,1,394,4,394,14001
1,384969,22,0,20,3,20,385637
0,601643,6,1,320,4,320,602338
0,1489,91,1,389,2,389,1845
0,314181,12,0,123,4,123,314714
0,1472456,28,0,87,4,87,1473130
0,1133424,27,1,408,4,408,1134002
0,444042,3,0,31,4,31,444695
0,41594,88,0,386,4,386,42175
0,8539,62,0,128,4,128,9261
0,382086,3,0,57,4,57,382637
0,34388,1,1,303,4,303,35038
0,409331,16,0,248,4,248,410050
1,12661,81,1,349,3,349,13194
0,640880,11,1,83,4,83,641578
0,319437,4,1,423,4,423,320021
0,69732,15,0,300,4,300,70385
0,2228,87,0,384,4,384,2893
0,35462,14,1,19,4,19,36160
1,627354,13,1,184,3,184,628319
0,1065931,27,1,405,4,405,1066542
0,438233,17,0,351,4,351,438865
0,331098,16,0,154,4,154,331967
1,498789,22,0,366,3,366,499409
0,261515,22,0,37,4,37,262228
0,339536,14,0,413,4,413,340144
0,217234,17,0,167,4,167,218124
0,16375,56,0,48,4,48,17055
0,204,48,1,286,4,286,1049
0,806492,22,1,153,4,153,807166
1,873739,27,1,276,3,276,874302
0,3,36,1,10,5,10,281
0,15472,78,0,342,4,342,16035
0,301183,14,1,280,4,280,301818
0,5631,36,1,11,4,11,6125
0,578253,7,0,77,4,77,578960
0,1670067,27,0,28,4,28,1670681
1,543658,22,0,148,1,148,544317
0,277617,16,0,244,4,244,278450
0,472107,16,0,254,4,254,473006
0,15977,66,0,166,4,166,16573
0,691,44,0,125,4,125,1236
0,2152117,28,1,106,4,106,2152710
0,750414,16,0,201,4,201,750998
0,497083,10,1,296,4,296,497850
0,652923,11,1,84,4,84,653543
0,729363,28,0,96,4,96,729959
0,350453,14,1,414,2,414,350824
0,583626,10,1,133,4,133,584282
0,425384,14,0,142,2,142,425782
1,1260970,26,0,324,3,324,1261581
0,160181,94,0,403,4,403,160801
1,10210,60,0,104,3,104,10872
0,411981,30,1,282,4,282,412598
0,513441,10,1,295,4,295,514088
0,666332,10,1,4,4,4,667099
0,243556,16,0,290,4,290,244449
0,222562,16,0,291,4,291,223254
0,259935,17,0,176,4,176,260483
0,1077559,28,0,193,4,193,1078119
0,197730,10,1,42,4,42,198335
0,1242540,28,1,187,4,187,1243238
0,1175530,23,0,399,4,399,1176204
0,5628,89,0,387,4,387,6197
0,38181,14,1,79,4,79,38888
0,374062,28,0,41,4,41,374682
0,1420101,28,0,91,4,91,1420673
0,388043,29,1,195,2,195,388432
0,70109,58,0,59,4,59,70633
0,10535,49,0,374,4,374,11230
0,694383,27,0,307,4,307,694973
0,1677395,28,0,118,4,118,1677970
0,5141,50,0,375,4,375,5761
0,1885670,27,0,218,4,218,1886263
0,310645,4,1,422,4,422,311313
0,273715,14,1,173,4,173,274287
0,455483,23,0,321,4,321,456160
0,35961,88,1,385,4,385,36542
0,540331,6,0,103,4,103,541203
0,374536,12,1,122,4,122,375081
0,1142287,27,1,409,4,409,1142859
0,1480762,28,1,93,4,93,1481322
0,1306226,26,1,209,4,209,1306828
0,1236,33,1,6,4,6,1739
0,404699,14,0,141,4,141,405277
0,1586741,26,0,212,4,212,1587490
0,1612,48,1,287,4,287,2442
0,327337,4,1,424,4,424,327963
0,1410949,28,0,21,4,21,1411596
0,252442,17,0,177,4,177,253089
0,916954,27,0,275,4,275,917604
0,358038,14,1,279,2,279,358436
0,11081,55,1,47,2,47,11470
0,370350,14,1,278,4,278,371048
0,1942577,28,0,9,4,9,1943209
0,6853,77,1,270,4,270,7470
0,75574,14,1,281,4,281,76266
0,20602,38,1,14,4,14,21243
0,605367,10,1,239,4,239,605996
0,331510,14,0,411,4,411,332148
1,861431,22,0,242,3,242,862102
0,1874526,27,0,219,4,219,1875155
0,617066,10,1,234,4,234,617680
0,58891,56,0,49,4,49,59685
0,1610868,27,0,330,4,330,1611491
0,31012,83,0,357,4,357,31626
0,67067,14,0,415,4,415,67780
0,424565,16,0,249,4,249,425359
0,287506,17,0,175,4,175,288480
0,1186465,22,0,346,4,346,1187163
0,1199621,28,0,312,4,312,1200244
0,18276,92,0,390,4,390,18926
0,2114982,28,1,25,4,25,2115566
0,1109041,28,1,316,4,316,1109679
0,987,57,1,51,4,51,1559
0,413337,28,0,418,4,418,413954
0,128075,14,0,416,2,416,128464
0,1138561,28,1,315,4,315,1139142
0,461563,22,1,364,4,364,462219
0,512,67,1,168,4,168,1348
0,1344239,21,0,199,4,199,1344856
0,190256,14,1,66,4,66,190891
0,3085,68,1,196,4,196,3660
0,1001410,28,0,95,4,95,1001979
1,1671336,28,0,119,3,119,1671935
0,2760,46,1,164,4,164,3008
0,17072,80,0,348,4,348,17644
0,392783,30,0,283,4,283,393310
0,1024453,28,0,192,4,192,1025055
0,1654004,27,1,30,4,30,1654543
0,10434,37,1,13,4,13,11006
0,1840178,28,0,110,4,110,1840810
0,1181541,28,1,313,4,313,1182146
0,376496,12,1,363,4,363,377041
0,388676,16,0,250,4,250,389569
0,1235211,28,1,188,2,188,1235855
0,1806064,28,0,337,4,337,1806636
0,6641,57,0,53,4,53,7249
0,451995,28,0,284,4,284,452612
0,410251,14,0,143,2,143,410649
0,531,32,0,2,4,2,1121
0,724664,22,1,152,4,152,725245
0,7151,79,0,343,2,343,7534
0,14272,50,0,377,4,377,14571
0,237338,16,0,288,4,288,237931
0,621803,28,0,26,4,26,622513
0,252897,14,0,171,4,171,253619
0,243160,17,0,180,4,180,244194
0,304515,24,0,372,4,372,305429
1,689434,22,0,149,3,149,690105
0,22609,14,1,305,2,305,22995
0,46335,14,1,80,4,80,47042
0,6140,69,1,228,4,228,6670
0,467418,22,0,365,4,365,467996
0,750,62,0,127,2,127,1079
0,1784156,28,1,333,4,333,1784731
0,1391459,28,0,308,4,308,1392058
0,170208,14,1,68,4,68,170789
1,44119,93,1,395,3,395,44727
1,978390,27,0,277,1,277,978860
0,6638,75,0,263,4,263,7294
0,8734,63,0,131,2,131,9111
0,632488,11,1,82,4,82,633393
0,2211,40,0,16,4,16,2852
0,1609563,28,0,115,4,115,1610144
0,218985,14,1,71,4,71,219644
0,262,35,1,5,4,5,873
0,462006,4,0,140,4,140,462632
0,1054,85,0,378,4,378,1707
0,554104,7,0,78,4,78,555039
0,896894,27,0,274,4,274,897457
0,522417,10,1,294,4,294,522983
0,929947,22,1,243,4,243,930600
0,444747,16,0,134,4,134,445439
0,8245,50,0,376,4,376,8892
0,406639,15,0,183,4,183,407298
0,95094,2,1,64,4,64,95645
0,296102,4,1,421,4,421,296809
0,438168,3,1,32,4,32,438791
0,295724,16,0,245,4,245,296422
0,311224,14,1,412,2,412,311595
0,22523,58,0,58,2,58,22912
0,19953,43,1,74,4,74,20624
0,275592,22,0,137,4,137,276224
0,602248,10,1,238,4,238,603114
0,610333,4,0,157,4,157,610905
1,892445,22,1,240,3,240,893116
0,9376,41,1,33,4,33,9993
0,1447573,28,1,89,4,89,1448091
0,11959,47,1,198,4,198,12594
0,367096,16,0,155,4,155,367683
0,27344,53,0,44,4,44,28027
0,406078,4,0,139,4,139,406686
0,31979,76,0,264,4,264,32545
1,10828,52,0,40,3,40,11424
0,473496,17,0,354,4,354,474095
1,891058,27,1,273,1,273,891600
0,1570405,28,1,121,4,121,1570983
0,486679,23,1,202,4,202,487260
1,27985,63,0,129,3,129,28680
0,478315,0,0,102,4,102,478938
0,1108595,23,0,398,4,398,1109266
0,21193,79,0,345,4,345,21792
0,648745,10,1,237,4,237,649380
0,537880,22,1,147,4,147,538452
0,21079,71,0,231,4,231,21840
0,567485,19,0,124,2,124,567898
0,52718,93,0,397,5,397,53116
0,302005,16,0,246,4,246,302673
0,632827,10,1,235,2,235,633183
0,1590720,27,0,331,4,331,1591262
0,558976,20,0,145,2,145,559332
0,626603,6,1,100,4,100,627298
0,554545,4,1,429,4,429,555039
0,268954,4,0,420,4,420,269583
1,1590901,26,0,213,3,213,1591401
0,1059636,28,1,190,4,190,1060193
0,271798,17,0,179,4,179,272757
0,21179,78,0,339,4,339,21892
0,400036,3,1,56,4,56,400683
0,11139,53,0,45,4,45,11825
0,610288,22,1,367,4,367,610947
0,1182499,26,0,325,4,325,1183104
0,1870641,28,0,109,4,109,1871216
0,1099440,27,1,407,4,407,1100102
0,216745,16,0,22,4,22,217404
0,2130250,28,1,105,4,105,2130876
0,4696,71,1,232,4,232,5418
0,266226,14,0,174,4,174,266951
0,642618,6,0,200,4,200,643220
0,237978,14,1,172,4,172,238595
0,173294,14,1,65,4,65,174019
0,32910,92,1,391,4,391,33533
0,65685,1,0,302,4,302,66227
0,1037734,28,1,191,4,191,1038285
0,1298663,28,0,186,4,186,1299223
0,548651,7,0,75,4,75,549268
0,1789544,27,1,220,4,220,1790185
0,110344,2,1,156,5,156,110877
1,43754,15,1,301,3,301,44362
0,374682,4,1,426,4,426,375323
0,1893637,28,1,111,4,111,1894275
0,48349,83,0,358,4,358,48963
0,62859,59,0,63,4,63,63431
0,563114,20,0,94,2,94,563485
1,1330,39,1,15,3,15,1947
0,849029,27,1,23,4,23,849658
0,16593,76,0,268,4,268,17246
0,10975,74,1,261,4,261,11667
0,1191744,28,1,314,4,314,1192370
0,789061,22,1,151,4,151,789660
0,484143,17,0,355,4,355,484940
0,550740,19,0,227,2,227,551183
0,1664528,27,0,29,4,29,1665163
0,15231,83,0,361,4,361,15815
0,422700,23,0,204,4,204,423275
0,49587,93,0,396,4,396,50225
0,23259,83,0,362,4,362,23909
0,1934724,27,0,216,4,216,1935320
0,1439215,28,1,90,4,90,1439745
0,1646206,26,0,214,4,214,1646736
0,4736,82,1,350,4,350,5356
0,281250,17,0,178,4,178,281837
0,422386,15,0,182,4,182,422988
0,430704,4,0,427,4,427,431207
0,564760,20,0,382,2,382,565167
0,4241,33,1,7,4,7,4939
0,487683,16,0,252,4,252,488252
0,2159390,27,0,326,4,326,2159962
0,1721857,25,1,338,4,338,1722444
1,209840,11,1,136,3,136,210445
0,636250,4,1,160,4,160,636879
0,2102468,28,1,221,4,221,2103139
0,211245,0,0,419,5,419,211634
0,34262,77,1,269,4,269,34921
0,1578312,28,0,120,4,120,1578872
0,595866,4,0,161,4,161,596495
0,8904,47,1,197,4,197,9539
0,490859,10,1,297,4,297,491431
0,464038,17,0,353,4,353,465000
0,282588,4,0,425,4,425,283286
0,1279,53,0,43,4,43,1863
1,1337152,26,0,211,3,211,1337715
0,10110,51,1,38,2,38,10499
0,5888,63,0,130,2,130,6256
0,76545,58,0,60,4,60,77237
0,1685527,28,0,117,0,117,1685667
0,565864,10,1,298,4,298,566496
0,1211533,28,0,311,4,311,1212108
0,7124,92,1,393,4,393,8071
0,630704,4,1,159,4,159,631273
0,1356881,28,1,310,4,310,1357417
0,1412725,26,1,210,4,210,1413348
0,897068,22,0,241,4,241,897652
0,101630,2,1,0,4,0,102031
0,459570,28,0,285,4,285,460277
0,542232,10,1,292,4,292,542828
0,2081918,28,1,35,4,35,2082607
0,672981,27,1,185,4,185,673589
0,252895,16,0,289,4,289,253563
0,1069351,28,0,194,4,194,1069989
0,53294,94,1,400,4,400,54130
1,225092,14,1,69,3,69,225709
0,2039173,27,1,328,4,328,2039757
0,54300,76,0,267,4,267,55031
0,42403,92,1,392,4,392,42738
0,698387,28,1,97,4,97,698962
0,1037092,22,1,369,4,369,1037760
0,509916,5,0,431,4,431,510533
0,1652444,28,1,113,4,113,1653046
0,601444,4,0,162,4,162,602022
0,9067,83,0,360,4,360,9693
0,325122,16,0,371,4,371,325661
0,57381,59,1,62,4,62,57983
0,481446,16,0,255,4,255,482096
0,151562,94,0,402,4,402,152203
0,6941,67,1,169,4,169,7816
0,459083,16,0,251,4,251,459742
0,8412,72,1,257,4,257,8984
0,284026,16,0,247,4,247,285006
0,88,84,0,373,4,373,786
0,520573,6,0,208,4,208,521226
0,1198,72,1,256,4,256,1896
0,432955,23,0,205,4,205,433446
0,296609,3,0,224,4,224,297265
0,420860,28,0,417,4,417,421453
0,10142,66,1,165,4,165,10738
0,409799,15,0,181,4,181,410431
0,738989,27,0,272,4,272,739582
0,496699,16,0,253,4,253,497547
0,2020752,28,1,36,4,36,2021354
1,21845,42,0,54,3,54,22510
0,12349,78,0,341,4,341,12963
0,1279111,28,1,189,4,189,1279824
0,2140400,27,0,327,4,327,2141017
0,203195,14,1,70,2,70,203566
0,640657,10,1,236,4,236,641268
1,1772775,28,1,334,3,334,1773473
0,536468,10,1,293,4,293,537100
0,2544,65,1,163,4,163,3185
0,1093786,28,1,318,4,318,1094415
0,547909,20,0,144,2,144,548259
0,4066,70,0,229,4,229,4704
0,54550,14,0,81,4,81,55203
0,287768,3,0,223,4,223,288418
0,165327,9,0,18,4,18,165971
0,626559,11,1,85,4,85,627125
0,606242,27,0,86,4,86,606832
0,10641,56,1,50,4,50,11303
0,660867,10,1,1,4,1,661517
