Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,30892,75,1,22,20468,0,0
0,54812,6,1,32,50482,0,1
0,311779,49,1,52,306168,0,0
0,53674,203,1,59,43286,0,1
0,21015,77,1,18,14486,0,1
0,5481,153,2,108,1,0,0
1,9243,23,3,66,3028,1,1
0,89016,116,1,42,78604,0,1
1,574518,141,3,12,565420,1,0
1,27113,193,3,117,16665,1,1
0,71128,82,1,45,60752,0,1
0,347622,84,1,51,337195,0,0
0,65194,22,1,0,54806,0,0
0,6388,121,1,99,323,0,1
0,243214,167,1,33,232769,0,0
0,42086,37,1,82,31758,0,0
0,11147,33,2,80,4143,0,0
0,22103,169,1,33,14689,0,1
0,239506,159,2,15,231410,0,0
1,217558,3,3,25,208664,1,0
0,1049310,61,1,48,1038856,0,0
0,8611,115,1,69,3,0,0
0,62219,38,1,82,51870,0,0
0,11755,17,1,73,1460,0,0
0,586972,45,1,8,576509,0,0
0,88568,198,1,119,78117,0,1
1,13525,106,3,96,3143,1,0
0,623676,89,1,12,613279,0,0
0,11537,175,1,111,1098,0,1
0,505288,11,1,4,494840,0,0
0,780586,126,1,36,770171,0,0
0,158064,214,1,13,147781,0,1
0,12312,195,2,52,7990,0,1
0,1352921,105,1,50,1342479,0,0
0,353296,96,2,52,348857,0,1
0,13465,34,1,81,4539,0,0
0,1147531,122,1,43,1137248,0,0
1,595061,50,3,25,584655,1,0
0,1048694,137,1,41,1038261,0,0
1,214744,9,3,38,206012,1,1
0,3341,189,2,114,3,0,0
0,7213,73,1,90,1,0,1
0,225073,35,1,27,217409,0,1
0,5392,79,1,92,2,0,0
0,610602,140,1,26,600223,0,0
0,548110,151,1,18,541838,0,0
1,47046,60,3,68,36631,1,0
0,2017022,5,2,49,2011656,0,0
1,566844,202,3,17,556376,1,0
0,39653,24,1,37,33702,0,1
0,5905,55,1,84,1,0,1
1,1020605,200,3,49,1014285,1,0
0,17336,69,1,12,6891,0,1
0,18048,70,1,88,7666,0,0
0,19647,57,1,85,9304,0,1
0,796416,187,1,29,789632,0,0
0,252780,210,1,16,242332,0,0
0,18102,16,1,72,7759,0,0
1,8750,10,3,65,352,1,0
0,230403,209,1,10,222871,0,0
0,638425,172,1,18,628055,0,0
0,34341,15,2,32,26002,0,1
0,5467,74,2,91,2,0,0
0,6239,135,2,103,3,0,1
0,5231,26,1,67,1,0,1
0,1301475,103,1,50,1291027,0,1
0,536745,47,1,18,531839,0,0
1,1351353,152,3,46,1340908,1,0
0,107347,18,1,57,100946,0,1
0,5029,28,2,77,2,0,1
0,82139,162,1,3,71676,0,1
0,534898,112,2,33,529028,0,1
0,97751,81,2,23,91272,0,1
0,1028641,20,1,40,1018586,0,0
0,64329,97,1,1,53935,0,0
0,6046,80,2,93,2,0,1
0,364064,59,1,33,353619,0,1
0,501262,102,1,20,494255,0,0
0,1392969,104,1,50,1382515,0,1
1,736142,224,3,29,726108,1,0
0,13390,158,1,71,2987,0,0
0,635740,95,1,14,625292,0,0
0,29124,136,1,103,18715,0,1
0,510863,220,1,6,500484,0,0
0,288082,208,1,51,277652,0,0
0,12200,8,1,64,1905,0,1
1,12299,144,3,105,2049,1,1
0,775910,131,1,33,765552,0,0
0,424985,124,1,31,418893,0,0
1,11317,86,3,30,5433,1,1
0,487135,85,1,38,478468,0,1
0,656937,154,1,22,646543,0,0
0,400877,72,2,31,396354,0,0
0,490459,109,1,7,480062,0,0
0,188433,128,1,10,178087,0,1
0,34480,143,1,24,24017,0,1
0,76316,29,2,31,71757,0,1
0,22220,223,1,39,11901,0,1
0,508446,157,1,10,497998,0,0
0,1684949,56,1,50,1674489,0,1
0,72152,146,1,28,61794,0,1
0,7036,194,1,118,1,0,1
1,40882,91,3,41,30431,1,1
1,14711,134,3,102,4479,1,1
0,6131,48,1,83,890,0,0
1,8139,178,3,112,1,1,1
1,15047,120,3,98,4680,1,1
0,563694,142,1,26,556752,0,1
0,46671,98,1,95,36289,0,1
0,138943,51,2,23,131411,0,0
0,600090,181,1,33,589645,0,1
0,656716,87,1,21,646334,0,0
0,56068,176,1,111,45617,0,0
0,2345983,164,1,51,2335691,0,0
0,19621,53,1,57,13649,0,1
1,25728,92,3,56,21774,1,1
0,60872,206,1,51,50520,0,1
0,698669,83,1,23,688299,0,0
0,545365,221,1,19,535076,0,0
1,6309,71,3,89,1,1,1
1,12287,132,3,100,1776,1,1
0,572820,182,1,11,566630,0,0
0,1211309,161,1,50,1200861,0,0
0,53597,30,1,58,43140,0,1
0,7785,139,2,104,1726,0,0
0,1848415,41,1,47,1838054,0,0
0,902706,94,1,38,892584,0,0
1,52443,43,3,49,42064,1,1
0,34912,168,1,33,27714,0,1
0,685626,117,1,30,675331,0,0
1,11957,27,3,76,1581,1,1
0,31572,76,1,36,21127,0,1
0,12152,204,1,121,4158,0,1
0,102066,44,1,11,91621,0,1
1,364951,62,3,56,356759,1,1
0,6015,145,2,28,103,0,1
1,571446,180,3,33,561022,1,1
1,9497,185,3,113,3,1,0
0,332104,166,1,33,321641,0,0
