Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,741862,157,157,2,1,23,740972
1,0,11203,43,43,2,1,41,8075
0,0,12199,144,144,2,1,96,10430
0,0,631461,72,72,2,1,7,630235
1,0,2165,136,136,7,0,88,1
1,0,68231,97,97,6,0,23,65097
1,0,46094,74,74,5,0,37,43491
1,0,301337,21,21,2,1,5,298548
0,0,796646,60,60,2,1,29,794730
1,0,11508,108,108,5,0,81,8902
0,0,1015710,33,33,6,0,35,1014604
