Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,745319,40,40,32,1,134,734937
1,353296,97,97,51,2,7,348857
0,7476,0,1,59,2,103,127
1,21015,76,76,18,1,64,14486
0,5481,156,156,109,2,38,1
1,5231,27,27,66,1,133,1
1,78745,63,63,43,1,1,68291
0,574518,142,142,12,3,98,565420
1,27113,195,195,118,3,138,16665
0,647211,116,116,46,3,136,636820
1,802151,13,13,50,1,115,791817
0,65194,21,21,0,1,42,54806
1,6388,123,123,100,1,128,323
0,296067,110,110,33,3,75,288610
0,62219,39,39,82,1,133,51870
1,19188,34,34,80,1,16,11071
1,34912,170,170,33,1,132,27714
0,239506,162,162,15,2,71,231410
0,595061,48,48,25,3,90,584655
1,52443,44,44,48,3,20,42064
0,5929,151,151,69,1,13,3
1,35770,43,43,83,3,63,25298
0,5956,20,20,73,1,134,733
0,586972,46,46,8,1,12,576509
1,88568,200,200,120,1,57,78117
0,13525,108,108,97,3,97,3143
0,623676,90,90,12,1,22,613279
1,11537,176,176,112,1,86,1098
0,505288,11,11,4,1,130,494840
1,39653,24,24,37,1,62,33702
1,158064,215,215,13,1,99,147781
1,54831,125,125,51,1,97,44338
1,1392969,105,105,49,1,0,1382515
0,2345195,167,167,51,1,140,2334792
0,5893,36,36,81,1,14,1
0,1174010,190,190,43,2,100,1168695
1,563694,143,143,26,1,89,556752
1,89016,118,118,42,1,14,78604
1,487135,85,85,38,1,109,478468
0,3341,191,191,115,2,91,3
0,5467,73,73,91,2,77,2
1,6015,148,148,28,2,30,103
1,6046,79,79,93,2,42,2
1,24830,102,102,27,1,40,14646
0,548110,154,154,18,1,80,541838
0,8611,117,117,68,1,49,3
1,940675,89,89,49,1,35,930293
0,566844,204,204,17,3,80,556376
1,94486,147,147,37,1,56,84056
1,19647,54,54,85,1,108,9304
1,1142692,88,88,48,2,29,1136952
1,17336,67,67,12,1,79,6891
1,6309,70,70,89,3,22,1
0,6144,62,62,86,1,43,3
0,818767,120,120,29,1,121,810066
0,252780,212,212,16,1,112,242332
0,6275,17,17,72,3,49,3
1,9243,23,23,65,3,11,3028
0,230403,211,211,10,1,67,222871
0,638425,173,173,18,1,47,628055
1,54812,5,5,32,1,106,50482
0,5690,78,78,92,3,127,3
1,6239,135,135,104,2,62,3
0,47046,57,57,67,3,70,36631
0,1352921,107,107,49,1,48,1342479
0,536745,47,47,18,1,104,531839
0,1415129,7,7,46,3,136,1406220
1,53597,31,31,57,1,0,43140
0,6877,30,30,77,1,83,2
1,82139,164,164,3,1,21,71676
1,571446,182,182,33,3,65,561022
1,97751,80,80,23,2,83,91272
1,40882,92,92,41,3,95,30431
0,64329,98,98,1,1,131,53935
0,19778,83,83,94,1,94,9420
1,409474,181,181,33,1,24,399029
0,501262,103,103,20,1,24,494255
0,1441553,106,106,49,1,35,1431102
0,796416,189,189,29,1,5,789632
0,18102,16,16,71,1,119,7759
0,635740,96,96,14,1,33,625292
1,29124,136,136,104,1,14,18715
0,510863,221,221,6,1,10,500484
0,347622,84,84,50,1,110,337195
0,8750,10,10,64,3,107,352
1,12299,146,146,106,3,49,2049
0,816094,66,66,33,1,92,805796
0,746001,145,145,31,1,8,735628
1,18044,37,37,30,1,10,13358
0,902706,95,95,38,1,32,892584
0,656937,157,157,22,1,1,646543
0,406298,26,26,31,1,7,400980
0,490459,111,111,7,1,49,480062
1,188433,128,128,10,1,124,178087
1,34480,144,144,24,1,13,24017
0,400877,71,71,31,2,7,396354
0,571102,15,15,39,1,105,563645
0,508446,160,160,10,1,67,497998
1,22907,1,2,50,2,22,17262
1,192236,129,129,28,3,46,185259
1,7036,196,196,119,1,126,1
0,1048694,137,137,41,1,37,1038261
1,14711,134,134,103,3,137,4479
1,5905,53,53,84,1,55,1
1,8139,179,179,113,3,59,1
1,15047,122,122,99,3,42,4680
0,610602,140,140,26,1,126,600223
1,46671,99,99,96,1,43,36289
0,138943,49,49,23,2,68,131411
0,682115,114,114,33,1,24,675892
0,656716,87,87,21,1,5,646334
0,56068,177,177,112,1,24,45617
0,2370774,165,165,50,1,94,2360422
1,107347,18,18,56,1,120,100946
1,364951,59,59,55,3,40,356759
1,79790,209,209,50,3,4,69342
0,698669,82,82,23,1,68,688299
0,545365,222,222,19,1,82,535076
1,7213,72,72,90,1,31,1
1,12287,132,132,101,3,6,1776
0,572820,184,184,11,1,128,566630
1,1301475,104,104,49,1,57,1291027
1,53674,205,205,58,1,140,43286
0,7785,139,139,105,2,45,1726
0,1049310,58,58,47,1,44,1038856
1,22220,224,224,39,1,105,11901
1,934030,203,203,48,3,28,926063
0,243214,169,169,33,1,54,232769
1,76316,29,29,31,2,78,71757
1,5029,28,28,76,2,73,2
0,780586,126,126,36,1,9,770171
1,12152,206,206,122,1,118,4158
1,102066,45,45,11,1,128,91621
1,19621,51,51,56,1,120,13649
1,72152,149,149,28,1,60,61794
1,600090,183,183,33,1,103,589645
0,9497,187,187,114,3,34,3
1,364064,56,56,33,1,24,353619
