Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,16,89160,178,1,3,86623
1,9,88412,90,1,42,86619
1,84,101201,25,1,13,100433
0,16,5632,13,1,69,4214
0,76,1161359,88,1,53,1159086
0,41,929,16,1,73,492
1,23,10351,173,1,130,7736
0,108,1338938,189,1,46,1337487
0,138,699100,69,1,23,696140
1,22,16367,31,1,46,13620
0,122,1153652,143,1,42,1152030
0,43,32383,198,1,132,29822
1,85,69602,79,1,4,68706
1,8,71222,124,1,25,69540
0,13,18217,114,1,113,15659
0,63,57820,33,1,24,56951
1,77,73875,207,1,17,71692
0,127,5666,165,1,126,3972
1,76,33980,160,1,53,31590
0,29,578251,159,1,16,576644
0,122,475584,91,1,42,473026
0,106,583,155,1,123,2
1,68,3829,29,1,78,839
1,74,56560,220,1,52,55610
0,17,453362,127,1,11,452610
0,28,11981,99,1,110,9216
0,100,915785,187,1,36,913926
0,132,772241,47,1,26,769332
1,101,1231,12,0,72,899
1,6,1575,18,1,75,712
1,30,74451,228,1,15,72187
1,128,3080,51,1,92,735
0,97,45115,199,1,133,42281
1,56,2190,93,1,107,1
0,11,147,10,1,66,1
0,127,521339,130,1,6,518895
0,135,612431,128,1,17,611934
0,1,750468,64,1,29,747616
0,80,24991,110,1,112,22313
1,75,1238,209,0,86,288
1,14,4197,144,1,121,3526
0,36,6226,11,1,67,4295
0,4,1020701,158,1,53,1018377
1,135,63967,206,1,17,63425
1,98,2783,38,1,79,909
0,126,1852084,65,1,48,1850486
0,50,382722,96,1,61,380155
1,83,2706,84,1,81,1
0,2,17064,74,1,100,15238
0,58,521580,39,1,2,519241
0,104,814312,217,1,34,811961
1,66,34273,7,1,20,33176
1,106,58454,108,1,45,55821
0,29,504842,70,1,1,502038
1,106,26773,106,1,45,26201
0,18,856711,126,1,33,855554
0,142,112160,81,1,18,109194
0,132,752571,46,1,26,750136
1,118,6087,15,1,70,4936
0,84,630925,167,1,13,630173
0,121,795045,186,0,28,794215
0,71,587282,67,0,19,586959
0,5,617,52,1,93,1
0,127,478396,131,1,6,477242
0,121,822273,208,1,27,821002
0,76,2334536,193,1,53,2334039
0,123,4194,214,1,136,3232
1,22,957,164,1,46,103
1,88,13228,190,1,131,10472
1,47,1874,54,1,95,3
0,95,640440,111,1,20,637990
1,112,963,72,1,19,103
0,140,216862,121,1,55,214952
1,50,360854,45,1,61,358083
0,31,9773,226,1,138,7086
1,86,346850,200,0,60,346512
1,1,56420,153,1,54,55923
1,19,23155,181,1,22,22973
0,135,663276,129,1,17,662509
1,141,563,43,1,90,3
0,135,8610,75,1,101,7165
0,78,250640,169,1,9,247890
1,76,944659,157,1,53,941918
0,111,23344,161,1,124,21104
1,107,40883,49,1,62,38052
1,125,7904,92,1,106,5580
0,53,1132750,112,1,51,1130948
1,56,45867,21,0,44,45670
0,82,2029693,136,0,51,2028950
0,7,821170,94,1,30,818471
0,119,805101,138,1,27,802591
1,27,15156,24,1,77,14362
1,122,66037,89,1,42,63011
0,75,7310,233,1,139,4494
0,69,586872,175,0,8,586129
1,50,10829,77,1,61,8487
1,8,182518,42,1,25,180932
1,79,207218,116,1,35,204852
0,76,26957,133,1,118,26184
0,30,870832,50,0,32,869711
