Entity_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,8,81519,12,11,1,5,79698,0,1
0,0,60,65232,218,218,0,52,62692,1,1
0,0,20,710857,50,49,0,23,709519,2,0
0,0,101,76316,29,28,0,52,74154,1,1
1,0,65,799420,225,225,1,32,796943,0,0
0,0,125,7491,129,129,0,22,5182,1,1
0,0,125,2056,51,50,0,88,2,3,1
0,0,125,4947,46,45,0,86,2638,1,0
1,0,13,441740,94,93,1,29,439797,0,1
0,0,112,2326647,18,17,0,54,2325364,3,0
1,0,114,777368,224,224,1,32,775140,0,0
1,0,131,51771,234,234,1,36,49540,0,1
0,0,87,59089,41,40,0,57,56687,1,1
1,0,50,552888,219,219,1,15,550654,0,0
0,0,87,79561,120,120,0,57,77369,1,1
1,0,71,1451239,131,131,1,52,1449053,0,0
0,0,118,1009290,45,44,0,39,1006993,1,0
1,0,93,170211,125,125,1,50,168412,0,1
0,0,125,4516,55,54,0,91,3179,3,1
1,0,95,122003,229,229,1,11,119982,0,1
0,0,110,5046,160,160,0,118,2860,1,1
1,0,15,1375691,122,122,1,46,1373202,0,0
0,0,85,27070,143,143,0,16,24536,1,1
1,0,37,224206,202,202,1,35,222371,0,1
1,0,11,689616,83,82,1,54,687517,0,0
1,0,13,372955,230,230,1,29,370655,0,1
1,0,15,1204656,198,198,1,46,1202680,0,0
1,0,65,11060,144,144,1,32,8994,0,1
1,0,119,2096,148,148,1,114,747,0,1
0,0,125,1138,6,5,0,108,2,3,0
1,0,30,8253,105,104,1,42,6340,0,1
1,0,73,1189025,189,189,1,52,1186812,0,0
1,0,126,496899,104,103,1,1,495853,0,0
0,0,100,1474,17,16,0,31,101,3,1
0,0,132,1039862,78,77,0,38,1037046,1,0
0,0,49,20107,70,69,0,51,17801,1,1
0,0,45,14203,59,58,0,33,11819,1,1
0,0,3,391932,8,7,0,59,389746,1,1
0,0,78,3932,163,163,0,119,1401,1,0
0,0,68,915393,64,63,0,34,914149,2,0
0,0,91,682195,71,70,0,19,679628,1,0
0,0,132,394758,21,20,0,9,393970,2,0
0,0,33,580782,170,170,0,21,579763,3,0
1,0,12,4883,42,41,1,83,2628,0,1
1,0,44,519612,205,205,1,28,517492,0,1
0,0,74,2976,165,165,0,78,781,1,0
0,0,133,1159648,146,146,0,42,1157084,1,0
0,0,125,7454,54,53,0,90,5259,1,1
1,0,28,654471,77,76,1,53,652312,0,1
0,0,97,2907,36,35,0,73,667,1,0
0,0,90,27924,7,6,0,17,26149,3,1
0,0,112,1705791,90,89,0,54,1703299,1,1
0,0,54,3230,130,130,0,22,921,1,1
0,0,52,2152,10,9,0,61,38,1,0
0,0,30,507624,192,192,0,3,505363,1,0
0,0,29,482055,114,114,0,10,479794,1,0
1,0,58,123424,232,232,1,8,121439,0,0
1,0,42,805063,180,180,1,39,803291,0,0
0,0,76,3147,43,42,0,84,535,1,1
0,0,125,7548,56,55,0,92,5362,1,0
0,0,125,11573,112,111,0,104,9210,1,0
1,0,27,369509,63,62,1,13,367296,0,1
0,0,120,707127,49,48,0,23,704929,1,0
0,0,5,351915,201,201,0,58,350539,2,1
0,0,9,6111,24,23,0,69,4843,2,1
0,0,77,307939,226,226,0,11,306221,3,1
1,0,59,464804,167,167,1,22,462621,0,1
0,0,53,1036,15,14,0,64,2,3,1
1,0,113,763015,84,83,1,38,760970,0,0
1,0,19,547726,137,137,1,7,545198,0,0
0,0,118,19404,200,200,0,123,17227,1,0
0,0,122,53099,223,223,0,39,50910,1,1
0,0,129,2191081,89,88,0,54,2188577,1,1
1,0,26,52834,184,184,1,0,50840,0,0
1,0,8,13918,124,124,1,106,11750,0,1
1,0,31,18062,136,136,1,109,16122,0,1
1,0,115,436942,177,177,1,24,434816,0,0
1,0,117,34512,92,91,1,98,32440,0,1
0,0,125,5683,58,57,0,93,3845,3,0
1,0,22,1835456,208,208,1,49,1833030,0,0
1,0,19,731499,32,31,1,23,729406,0,0
1,0,68,562476,174,174,1,10,560179,0,0
0,0,85,560608,181,181,0,16,558551,1,0
0,0,26,92121,142,142,0,41,90979,1,1
0,0,99,7735,186,186,0,80,5258,1,1
0,0,26,2352753,133,133,0,54,2351474,2,0
1,0,102,5117,217,217,1,82,2943,0,0
0,0,81,120751,187,187,0,3,119534,3,1
0,0,16,9642,214,214,0,125,7252,1,0
0,0,125,28514,0,112,0,105,26043,1,0
0,0,59,1699,87,86,0,8,101,3,1
1,0,16,3774,19,18,1,66,1570,0,0
1,0,132,468090,40,39,1,2,465892,0,0
0,0,61,3637,164,164,0,34,1680,2,1
1,0,39,619207,206,206,1,9,617003,0,0
0,0,32,369971,62,61,0,56,367785,1,0
1,0,64,10067,28,27,1,46,8418,0,1
1,0,105,1108,162,162,1,77,1,0,0
0,0,125,3468,72,71,0,96,1171,1,0
0,0,132,1009265,79,78,0,38,1006986,1,0
1,0,95,609450,135,135,1,16,607396,0,0
0,0,132,28523,82,81,0,38,26538,1,1
0,0,40,2650,26,25,0,35,386,1,1
0,0,114,6868,185,185,0,121,4559,1,1
0,0,134,50074,190,190,0,3,47909,1,1
1,0,63,669243,188,188,1,18,667156,0,0
1,0,128,17178,110,109,1,103,14941,0,1
0,0,43,4593,2,1,0,17,2230,1,1
0,0,107,161779,96,95,0,12,159506,1,1
0,0,94,798,168,168,0,79,1,3,1
1,0,112,1167843,147,147,1,42,1165567,0,0
1,0,79,299939,227,227,1,11,297915,0,1
1,0,46,18493,47,46,1,34,16673,0,1
0,0,125,5471,140,140,0,112,3207,1,1
0,0,49,5333,22,21,0,67,3093,1,1
0,0,56,59387,95,94,0,42,57738,3,1
0,0,40,477141,199,199,0,7,476586,2,0
0,0,125,5583,101,100,0,100,3223,1,0
1,0,10,40877,204,204,1,29,40377,0,1
1,0,4,175988,212,212,1,21,173664,0,0
0,0,80,180595,121,121,0,60,178343,1,0
0,0,118,827,14,13,0,63,3,2,0
0,0,66,140815,228,228,0,11,140096,2,1
0,0,105,16433,194,194,0,81,14709,2,1
1,0,23,35613,196,196,1,122,33460,0,1
1,0,133,16106,75,74,1,97,14127,0,0
0,0,38,194620,127,127,0,55,192110,1,0
0,0,41,85349,67,66,0,4,84366,2,1
0,0,107,311650,215,215,0,12,309482,1,1
0,0,20,703891,74,73,0,23,701787,2,0
0,0,125,7225,108,107,0,102,4853,1,0
0,0,36,3201,61,60,0,75,2560,2,1
0,0,125,17152,139,139,0,111,14774,1,1
0,0,96,43304,159,159,0,57,40902,1,1
0,0,34,52112,106,105,0,45,49749,1,1
0,0,14,2335,171,171,0,12,101,3,1
0,0,135,3704,23,22,0,68,1446,1,1
1,0,35,12933,115,115,1,40,10912,0,1
1,0,105,60946,149,149,1,54,58898,0,1
1,0,6,1287,20,19,1,70,1,0,0
0,0,125,3133,53,52,0,90,824,1,1
0,0,83,23314,236,236,0,2,21104,1,0
0,0,132,18709,35,34,0,27,16532,1,1
1,0,0,399311,93,92,1,14,397290,0,0
0,0,124,66424,233,233,0,36,64094,1,1
1,0,126,469090,34,33,1,1,466913,0,0
0,0,124,4184,235,235,0,36,1923,1,1
0,0,0,754574,175,175,0,26,752403,1,0
0,0,44,646569,183,183,0,12,644707,2,0
1,0,64,480279,207,207,1,46,478171,0,0
1,0,48,636865,81,80,1,20,634829,0,0
0,0,121,377705,100,99,0,59,375522,1,0
0,0,109,400277,27,26,0,10,398004,1,0
0,0,104,703107,151,151,0,22,702547,2,0
1,0,82,411395,37,36,1,13,410220,0,0
0,0,103,5540,44,43,0,85,3963,2,1
0,0,40,526037,39,38,0,3,525222,3,0
0,0,116,115059,161,161,0,22,112891,1,1
1,0,12,28472,221,221,1,47,26358,0,1
1,0,19,3258,211,211,1,124,754,0,1
1,0,17,961848,157,157,1,37,959689,0,0
1,0,65,16197,179,179,1,120,13717,0,1
0,0,125,1669,48,47,0,87,2,3,1
1,0,50,113111,169,169,1,15,111105,0,1
0,0,60,81116,5,4,0,13,80040,2,1
1,0,64,27218,69,68,1,51,24993,0,1
0,0,15,2152465,191,191,0,53,2150273,1,0
1,0,35,5726,1,0,1,126,3723,0,0
1,0,28,1909430,132,132,1,53,1907460,0,1
0,0,108,1835184,68,67,0,48,1832923,1,0
1,0,95,67187,210,210,1,16,64983,0,1
0,0,107,315631,216,216,0,12,313523,1,1
0,0,111,6765,193,193,0,81,4204,1,1
0,1,125,1518,60,59,0,94,1,3,1
1,0,24,477984,154,154,1,5,475453,0,0
1,0,71,19107,107,106,1,45,16912,0,1
1,0,136,2336,152,152,1,115,3,0,1
1,0,18,468765,85,84,1,54,466540,0,0
0,0,125,4334,98,97,0,99,1968,1,1
0,0,43,71096,141,141,0,41,68619,1,1
0,0,127,909502,76,75,0,35,907241,1,0
1,0,37,1116077,156,156,1,41,1113876,0,0
1,0,106,62927,153,153,1,24,60651,0,1
0,0,25,57522,128,128,0,22,55348,1,1
0,0,118,1333,16,15,0,65,3,2,0
1,0,75,811009,213,213,1,33,808763,0,0
0,0,79,1475,3,2,0,127,3,3,0
0,0,72,471716,220,220,0,5,470270,2,0
0,0,69,2123600,88,87,0,53,2121408,1,0
0,0,49,4215,73,72,0,19,1969,1,1
1,0,123,252998,134,134,1,28,250869,0,0
0,0,125,6479,138,138,0,110,5838,2,1
0,0,84,68193,150,150,0,25,66007,1,1
