Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,14845,45,3,0,60,11996
0,0,8092,215,2,0,83,5759
1,0,13979,199,1,1,80,11352
0,0,1053239,111,2,0,23,1050549
0,0,15062,84,2,0,66,12438
1,0,1100880,196,1,1,23,1098211
1,0,8115,173,3,0,49,5269
1,0,379418,171,2,0,34,376740
1,0,2047179,186,2,0,31,2044399
1,0,665447,72,3,0,23,662586
0,0,475012,141,2,0,7,472298
0,0,1324430,87,2,0,32,1322082
0,0,1156973,237,2,0,31,1154469
1,0,9580,198,1,1,79,6749
0,0,428427,86,3,0,20,425755
1,0,1096585,236,2,0,31,1093946
0,0,810651,170,2,0,22,808318
0,0,12594,151,2,0,76,9967
1,0,9089,218,2,0,85,6579
0,0,45075,123,1,1,72,42286
1,0,1611964,99,1,1,30,1609262
0,0,1828534,106,2,0,31,1825916
1,0,483376,95,2,0,24,480707
0,0,1865809,104,2,0,31,1862957
0,0,139709,255,2,0,1,138117
0,0,404584,117,2,0,22,402206
0,0,1731005,192,3,0,29,1728183
1,0,2060220,185,2,0,31,2057611
0,0,255561,16,1,1,23,253126
1,0,12158,9,2,0,43,9363
0,0,21771,82,2,0,64,19363
0,0,506933,17,3,0,23,504105
0,0,465591,163,2,0,15,462814
0,0,262330,245,2,0,6,259847
0,0,579976,259,2,0,15,577358
1,0,16377,145,2,0,74,13513
1,0,199898,34,1,1,19,197364
0,0,1633076,188,1,1,31,1630521
0,0,602587,40,2,0,31,600077
0,0,768058,74,2,0,23,765323
1,0,1129346,169,2,0,32,1126764
0,0,20976,55,2,0,46,18310
0,0,5331,150,2,0,75,2932
1,0,204433,60,2,0,14,201761
0,0,1825289,189,2,0,32,1822929
0,0,700388,13,2,0,15,697620
1,0,6553,119,2,0,68,4166
0,0,1169591,224,3,0,24,1166769
1,0,13678,156,2,0,3,10931
0,0,468388,66,3,0,6,465485
0,0,476059,149,1,1,5,473501
0,0,1251196,182,2,0,30,1248512
1,0,1015945,209,2,0,23,1013150
1,0,1147282,168,2,0,32,1144757
1,0,721934,73,2,0,23,719244
0,0,1582479,187,1,1,31,1579936
1,0,221070,140,2,0,9,218443
1,0,218715,53,2,0,17,215884
0,0,11062,3,2,0,39,8450
1,0,1570228,98,5,0,30,1568267
0,0,308185,63,1,1,23,306188
0,0,546370,44,2,0,8,543824
0,0,410579,135,2,0,16,407808
0,0,57145,54,3,0,46,54284
0,0,849988,206,2,0,23,847319
0,0,408107,15,1,1,5,405750
1,0,60414,228,2,0,87,57859
1,0,1007699,207,2,0,23,1005114
1,0,7898,8,2,0,42,5274
0,0,245264,46,2,0,0,242583
0,0,4732,122,2,0,71,2051
0,0,21506,56,2,0,62,18858
1,0,23129,125,3,0,73,20358
0,0,472189,68,2,0,18,469499
0,0,1014233,133,1,1,31,1011738
0,0,34218,57,2,0,62,31414
1,0,2102129,101,2,0,31,2099463
1,0,82609,137,3,0,19,79808
0,0,1317329,97,2,0,30,1314768
1,0,396615,252,1,1,18,394090
1,0,565683,139,2,0,6,563344
1,0,10603,5,3,0,40,7772
1,0,460231,148,2,0,13,457457
0,0,276688,211,1,1,24,274223
0,0,652210,94,2,0,8,649424
1,0,10893,89,2,0,33,8359
1,0,4709,29,2,0,57,2067
0,0,119436,257,2,0,2,116878
1,0,14331,231,2,0,88,11776
1,0,1650945,10,2,0,31,1648582
0,0,7054,121,2,0,70,4541
1,0,456596,14,2,0,5,453903
1,0,3590,212,2,0,82,942
0,0,1816759,191,2,0,32,1814429
1,0,2010450,108,2,0,32,2008033
1,0,529696,177,2,0,1,526820
0,0,280853,61,2,0,23,278046
1,0,423886,64,2,0,6,421607
1,0,408724,138,1,1,35,406415
0,0,1036042,116,2,0,25,1033382
0,0,25731,7,3,0,41,22858
0,0,35248,49,2,0,61,32438
1,0,2099,1,5,0,37,3
0,0,903444,114,1,1,23,900637
1,0,559805,147,1,1,13,557001
1,0,2171498,184,2,0,31,2169063
0,0,817323,76,2,0,23,814468
1,0,35322,193,2,0,77,32611
0,0,585177,205,3,0,23,582301
1,0,41459,220,3,0,86,38613
0,0,584285,176,0,0,1,581721
0,0,421319,161,2,0,15,418704
0,0,16042,110,3,0,67,13142
1,0,629809,112,3,0,13,627020
1,0,596823,93,2,0,8,594229
0,0,71558,154,1,1,3,69066
0,0,1115182,221,2,0,24,1112378
0,0,556640,254,2,0,7,553878
0,0,22835,146,2,0,74,20457
0,0,65602,23,2,0,54,62846
0,0,321121,172,2,0,32,318503
1,0,3099,83,2,0,65,313
1,0,2201057,52,2,0,32,2198634
0,0,1882048,103,1,1,31,1879670
0,0,2065088,100,1,1,31,2062416
1,0,8030,144,2,0,74,5538
1,0,54570,26,3,0,44,51787
1,0,12466,230,2,0,87,9926
0,0,1745786,11,2,0,31,1743231
0,0,1189938,226,2,0,24,1187140
1,0,580806,92,5,0,8,578836
1,0,565358,81,2,0,32,563163
1,0,935144,130,2,0,31,932427
1,0,7331,90,3,0,48,4482
1,0,167573,35,3,0,19,164778
1,0,249052,70,2,0,9,246272
1,0,344245,12,2,0,0,341906
1,0,194602,250,3,0,9,191840
0,0,546874,142,2,0,15,544250
0,0,1851640,105,2,0,31,1848668
1,0,450835,65,2,0,6,448496
0,0,14547,19,2,0,52,12235
0,0,425184,136,2,0,16,422410
1,0,237391,69,2,0,9,234584
0,0,7271,21,2,0,53,4884
0,0,3982,0,2,0,36,1541
1,0,21057,155,2,0,3,18763
0,0,399549,240,2,0,16,396772
0,0,11601,38,2,0,59,9187
1,0,175571,91,2,0,28,172800
0,0,110238,229,3,0,87,107374
0,0,783613,75,2,0,23,780839
1,0,8573,216,2,0,84,6039
1,0,7513,2,2,0,38,4757
1,0,191757,113,2,0,10,188965
1,0,205713,248,2,0,9,202903
1,0,1484951,183,3,0,30,1482129
1,0,880730,132,2,0,31,877992
1,0,12861,242,2,0,89,10087
0,0,763632,128,2,0,31,761305
1,0,1152001,181,1,1,30,1149578
0,0,171302,232,4,0,12,169443
1,0,187696,249,2,0,9,185057
1,0,2180588,51,2,0,32,2178147
1,0,17047,36,2,0,45,14579
0,0,222070,179,2,0,5,219359
0,0,1181628,225,2,0,24,1179322
1,0,2776,47,1,1,61,113
1,0,950785,131,2,0,31,948302
0,0,8596,124,2,0,72,5819
0,0,24923,59,2,0,47,22032
0,0,42017,201,1,1,81,39222
0,0,1200167,195,2,0,23,1197396
0,0,696919,71,2,0,23,694046
0,0,316755,118,1,1,24,314314
0,0,428401,67,2,0,18,425663
0,0,388287,241,2,0,16,385492
0,0,2113696,50,1,1,31,2111357
0,0,272153,62,2,0,23,269451
1,0,22052,243,2,0,90,19278
0,0,198843,126,2,0,5,196225
1,0,775880,129,2,0,31,773208
0,0,432436,159,1,1,15,429818
1,0,180486,33,2,0,19,177754
1,0,11536,31,2,0,58,9554
0,0,15093,157,3,0,19,12226
