Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,10603,7,7,38,3,1,7772,1
0,212927,0,0,13,5,24,211077,1
0,1200167,193,193,23,2,34,1197396,0
0,652210,97,97,8,2,11,649424,0
0,10893,93,93,31,2,60,8359,1
0,4709,32,32,55,2,51,2067,1
0,119436,255,255,2,2,13,116878,0
0,14331,230,230,86,2,24,11776,1
0,1650945,13,13,29,2,125,1648582,1
0,7054,123,123,68,2,51,4541,0
0,456596,17,17,5,2,37,453903,1
0,3590,211,211,80,2,29,942,1
0,1816759,189,189,30,2,111,1814429,0
0,2010450,110,110,30,2,112,2008033,1
0,529696,176,176,1,2,66,526820,1
0,272153,67,67,23,2,72,269451,0
0,423886,68,68,6,2,116,421607,1
1,408724,139,139,33,1,31,406415,1
0,1189938,225,225,24,2,108,1187140,0
0,25731,10,10,39,3,58,22858,0
0,35248,53,53,59,2,98,32438,0
0,2099,3,3,35,5,124,3,1
0,867065,116,116,23,2,72,864531,0
0,460231,148,148,13,2,24,457457,1
0,2171498,183,183,29,2,101,2169063,1
0,783613,79,79,23,2,34,780839,0
0,35322,191,191,75,2,63,32611,1
0,506933,20,20,23,3,72,504105,0
0,41459,219,219,84,3,107,38613,1
0,584285,175,175,1,0,21,581721,0
0,404953,161,161,15,2,87,402317,0
0,16042,112,112,65,3,51,13142,0
1,574686,147,147,13,1,92,571897,1
0,596823,96,96,8,2,118,594229,1
1,71558,154,154,3,1,77,69066,0
0,1102343,226,226,24,2,78,1099539,0
0,556640,252,252,7,2,97,553878,0
0,22835,146,146,72,2,98,20457,0
0,65602,26,26,52,2,46,62846,0
0,321121,171,171,30,2,96,318503,0
0,3099,87,87,63,2,51,313,1
0,2201057,56,56,30,2,111,2198634,1
1,1882048,105,105,29,1,117,1879670,0
1,2065088,102,102,29,1,28,2062416,0
0,8030,144,144,72,2,51,5538,1
0,54570,29,29,42,3,56,51787,1
0,12466,229,229,85,2,102,9926,1
0,1745786,14,14,29,2,74,1743231,0
0,1181628,224,224,24,2,78,1179322,0
0,580806,95,95,8,5,84,578836,1
0,565358,85,85,30,2,111,563163,1
0,880730,134,134,29,2,40,877992,1
0,7331,94,94,46,3,61,4482,1
0,156435,35,35,19,3,85,153649,1
0,249052,74,74,9,2,3,246272,1
0,344245,15,15,0,2,99,341906,1
0,194602,248,248,9,3,85,191840,1
0,536061,256,256,15,2,87,533287,0
0,1851640,107,107,29,2,81,1848668,0
0,450835,69,69,6,2,116,448496,1
0,14547,22,22,50,2,46,12235,0
0,417885,137,137,16,2,53,415123,0
0,237391,73,73,9,2,20,234584,1
0,7271,24,24,51,2,98,4884,0
0,3982,2,2,34,2,70,1541,0
0,21057,155,155,3,2,43,18763,1
0,388287,239,239,16,2,115,385492,0
0,11601,42,42,57,2,51,9187,0
0,185153,25,25,26,2,128,182502,0
0,110238,228,228,85,3,100,107374,0
0,768058,78,78,23,2,72,765323,0
0,8573,215,215,82,2,65,6039,1
0,7513,4,4,36,2,123,4757,1
0,191757,115,115,10,2,59,188965,1
0,205713,246,246,9,2,19,202903,1
0,1409461,100,100,28,3,34,1406588,1
0,775880,131,131,29,2,81,773208,1
0,12861,240,240,87,2,108,10087,1
0,735391,129,129,29,2,74,733043,0
0,1731005,190,190,27,3,7,1728183,0
0,171302,231,231,12,4,11,169443,0
0,187696,247,247,9,2,14,185057,1
0,2180588,55,55,30,2,57,2178147,1
0,17047,39,39,43,2,104,14579,1
0,222070,178,178,5,2,67,219359,0
0,1169591,223,223,24,3,107,1166769,0
1,2776,51,51,59,1,10,113,1
0,935144,132,132,29,2,85,932427,1
0,8596,126,126,70,2,51,5819,0
0,24923,64,64,45,2,18,22032,0
1,42017,199,199,79,1,49,39222,0
1,1150558,192,192,23,1,88,1147775,1
0,665447,76,76,23,3,22,662586,1
1,276688,210,210,24,1,96,274223,0
1,396615,250,250,18,1,9,394090,1
0,381075,237,237,16,2,16,378301,0
1,2113696,54,54,29,1,28,2111357,0
1,255561,19,19,23,1,39,253126,0
0,22052,241,241,88,2,7,19278,1
0,198843,128,128,5,2,79,196225,0
0,763632,130,130,29,2,74,761305,0
0,421319,160,160,15,2,126,418704,0
0,167573,38,38,19,3,27,164778,1
0,11536,34,34,56,2,51,9554,1
1,597333,1,1,18,1,9,595705,1
