Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,590672,258,258,1,1,62,15,588504,0
0,0,6553,121,121,2,0,63,66,4166,1
0,0,1152306,223,223,2,0,115,24,1149583,0
0,0,13678,156,156,2,0,15,3,10931,1
0,0,468388,70,70,3,0,80,6,465485,0
1,0,476059,149,149,1,1,103,5,473501,0
1,0,1152001,180,180,1,1,109,28,1149578,1
0,0,1007699,207,207,2,0,72,23,1005114,1
0,0,1147282,168,168,2,0,62,30,1144757,1
0,0,696919,75,75,2,0,22,23,694046,0
1,0,1582479,186,186,1,1,96,29,1579936,0
0,0,221070,141,141,2,0,85,9,218443,1
0,0,463778,82,82,2,0,35,16,460986,0
0,0,11062,5,5,2,0,36,37,8450,0
0,0,1553361,182,182,2,0,41,28,1550629,1
0,0,280853,66,66,2,0,127,23,278046,0
0,0,546370,48,48,2,0,95,8,543824,0
0,0,399549,238,238,2,0,54,16,396772,0
0,0,57145,58,58,3,0,91,44,54284,0
0,0,817323,80,80,2,0,72,23,814468,0
1,0,408107,18,18,1,1,23,5,405750,0
0,0,60414,228,228,2,0,12,85,57859,1
0,0,988200,208,208,2,0,34,23,985546,1
0,0,7898,11,11,2,0,64,40,5274,1
0,0,245264,50,50,2,0,2,0,242583,0
0,0,4732,124,124,2,0,98,69,2051,0
0,0,21506,61,61,2,0,98,60,18858,0
0,0,23129,127,127,3,0,98,71,20358,1
0,0,428401,71,71,2,0,76,18,425663,0
0,0,950785,133,133,2,0,40,29,948302,1
0,0,34218,62,62,2,0,98,60,31414,0
0,0,2102129,103,103,2,0,101,29,2099463,1
0,0,15093,157,157,3,0,128,19,12226,0
0,0,1251196,181,181,2,0,120,28,1248512,0
0,0,352788,249,249,2,0,110,18,350182,1
0,0,565683,140,140,2,0,116,6,563344,1
0,0,10603,7,7,3,0,1,38,7772,1
0,0,212927,0,0,5,0,24,13,211077,1
0,0,1200167,194,194,2,0,34,23,1197396,0
0,0,652210,97,97,2,0,11,8,649424,0
0,0,10893,93,93,2,0,60,31,8359,1
0,0,4709,32,32,2,0,51,55,2067,1
0,0,119436,255,255,2,0,13,2,116878,0
0,0,14331,231,231,2,0,24,86,11776,1
0,0,1650945,13,13,2,0,125,29,1648582,1
0,0,7054,123,123,2,0,51,68,4541,0
0,0,456596,17,17,2,0,37,5,453903,1
0,0,3590,212,212,2,0,29,80,942,1
0,0,1816759,190,190,2,0,111,30,1814429,0
0,0,2010450,110,110,2,0,112,30,2008033,1
0,0,529696,176,176,2,0,66,1,526820,1
0,0,272153,67,67,2,0,72,23,269451,0
0,0,423886,68,68,2,0,116,6,421607,1
1,0,408724,139,139,1,1,31,33,406415,1
0,0,1189938,226,226,2,0,108,24,1187140,0
0,0,25731,10,10,3,0,58,39,22858,0
0,0,35248,53,53,2,0,98,59,32438,0
0,0,2099,3,3,5,0,124,35,3,1
0,0,867065,116,116,2,0,72,23,864531,0
0,0,460231,148,148,2,0,24,13,457457,1
0,0,2171498,183,183,2,0,101,29,2169063,1
0,0,783613,79,79,2,0,34,23,780839,0
0,0,35322,192,192,2,0,63,75,32611,1
0,0,506933,20,20,3,0,72,23,504105,0
0,0,41459,220,220,3,0,107,84,38613,1
0,0,584285,175,175,0,0,21,1,581721,0
0,0,404953,161,161,2,0,87,15,402317,0
0,0,16042,112,112,3,0,51,65,13142,0
1,0,574686,147,147,1,1,92,13,571897,1
0,0,596823,96,96,2,0,118,8,594229,1
1,0,71558,154,154,1,1,77,3,69066,0
0,0,1102343,227,227,2,0,78,24,1099539,0
0,0,556640,252,252,2,0,97,7,553878,0
0,0,22835,146,146,2,0,98,72,20457,0
0,0,65602,26,26,2,0,46,52,62846,0
0,0,321121,171,171,2,0,96,30,318503,0
0,0,3099,87,87,2,0,51,63,313,1
0,0,2201057,56,56,2,0,111,30,2198634,1
1,0,1882048,105,105,1,1,117,29,1879670,0
1,0,2065088,102,102,1,1,28,29,2062416,0
0,0,8030,144,144,2,0,51,72,5538,1
0,0,54570,29,29,3,0,56,42,51787,1
0,0,12466,230,230,2,0,102,85,9926,1
0,0,1745786,14,14,2,0,74,29,1743231,0
0,0,1181628,225,225,2,0,78,24,1179322,0
0,0,580806,95,95,5,0,84,8,578836,1
0,0,565358,85,85,2,0,111,30,563163,1
0,0,880730,134,134,2,0,40,29,877992,1
0,0,7331,94,94,3,0,61,46,4482,1
0,0,156435,35,35,3,0,85,19,153649,1
0,0,249052,74,74,2,0,3,9,246272,1
0,0,344245,15,15,2,0,99,0,341906,1
0,0,194602,248,248,3,0,85,9,191840,1
0,0,536061,256,256,2,0,87,15,533287,0
0,0,1851640,107,107,2,0,81,29,1848668,0
0,0,450835,69,69,2,0,116,6,448496,1
0,0,14547,22,22,2,0,46,50,12235,0
0,0,417885,137,137,2,0,53,16,415123,0
0,0,237391,73,73,2,0,20,9,234584,1
0,0,7271,24,24,2,0,98,51,4884,0
0,0,3982,2,2,2,0,70,34,1541,0
0,0,21057,155,155,2,0,43,3,18763,1
0,0,388287,239,239,2,0,115,16,385492,0
0,0,11601,42,42,2,0,51,57,9187,0
0,0,185153,25,25,2,0,128,26,182502,0
0,0,110238,229,229,3,0,100,85,107374,0
0,0,768058,78,78,2,0,72,23,765323,0
0,0,8573,216,216,2,0,65,82,6039,1
0,0,7513,4,4,2,0,123,36,4757,1
0,0,191757,115,115,2,0,59,10,188965,1
0,0,205713,246,246,2,0,19,9,202903,1
0,0,1409461,100,100,3,0,34,28,1406588,1
0,0,775880,131,131,2,0,81,29,773208,1
0,0,12861,240,240,2,0,108,87,10087,1
0,0,735391,129,129,2,0,74,29,733043,0
0,0,1731005,191,191,3,0,7,27,1728183,0
0,0,171302,232,232,4,0,11,12,169443,0
0,0,187696,247,247,2,0,14,9,185057,1
0,0,2180588,55,55,2,0,57,30,2178147,1
0,0,17047,39,39,2,0,104,43,14579,1
0,0,222070,178,178,2,0,67,5,219359,0
0,0,1169591,224,224,3,0,107,24,1166769,0
1,0,2776,51,51,1,1,10,59,113,1
0,0,935144,132,132,2,0,85,29,932427,1
0,0,8596,126,126,2,0,51,70,5819,0
0,0,24923,64,64,2,0,18,45,22032,0
1,0,42017,200,200,1,1,49,79,39222,0
1,0,1150558,193,193,1,1,88,23,1147775,1
0,0,665447,76,76,3,0,22,23,662586,1
1,0,276688,211,211,1,1,96,24,274223,0
1,0,396615,250,250,1,1,9,18,394090,1
0,0,381075,237,237,2,0,16,16,378301,0
1,0,2113696,54,54,1,1,28,29,2111357,0
1,0,255561,19,19,1,1,39,23,253126,0
0,0,22052,241,241,2,0,7,88,19278,1
0,0,198843,128,128,2,0,79,5,196225,0
0,0,763632,130,130,2,0,74,29,761305,0
0,0,421319,160,160,2,0,126,15,418704,0
0,0,167573,38,38,3,0,27,19,164778,1
0,0,11536,34,34,2,0,51,56,9554,1
1,0,597333,1,1,1,1,9,18,595705,1
