Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,5115,52,52,6,0,36,38,2545,1
1,0,5807,129,129,2,1,32,26,3882,1
1,0,762911,102,102,2,1,32,26,760413,0
0,0,100844,29,29,8,0,71,12,99663,0
1,0,506465,68,68,2,1,40,19,504186,1
1,0,1242856,77,77,2,1,49,40,1242191,1
1,0,57661,38,38,2,1,57,42,55166,1
1,0,824374,60,60,2,1,32,26,822413,0
1,0,672501,84,84,2,1,85,24,670264,0
0,0,484,139,139,9,0,60,91,2,1
0,0,7732,62,62,7,0,36,72,4595,0
0,0,506906,98,98,0,0,86,14,503742,0
1,0,96937,119,119,2,1,63,30,96035,1
0,0,3141,87,87,8,0,30,62,982,1
0,0,302755,57,57,9,0,42,14,301802,0
0,0,1289,8,8,9,0,90,50,3,0
1,0,492209,21,21,2,1,82,1,489726,0
0,0,703218,16,16,9,0,24,36,701626,0
1,0,7840,64,64,2,1,7,16,6842,1
1,0,383983,3,3,2,1,60,47,383429,1
1,0,1482,105,105,2,1,43,80,1,0
0,0,304,127,127,8,0,81,65,2,0
0,0,40333,118,118,7,0,21,84,37199,1
0,0,6322,40,40,7,0,16,15,3197,1
1,0,673825,79,79,2,1,73,26,670661,0
1,0,201983,146,146,2,1,51,10,197949,0
1,0,232598,154,154,2,1,29,3,230508,0
1,0,46653,83,83,2,1,15,38,44743,1
1,0,789292,94,94,2,1,9,29,788021,0
1,0,714709,99,99,2,1,73,26,711560,0
1,0,1815,91,91,2,1,52,78,1,0
0,0,11460,143,143,8,0,71,95,9091,1
0,0,772874,149,149,7,0,81,28,769737,0
1,0,341160,155,155,2,1,85,3,338881,1
0,0,135805,156,156,7,0,26,5,132644,0
0,0,326955,28,28,7,0,9,18,323962,0
1,0,2735,74,74,2,1,60,74,246,1
1,0,371763,2,2,10,1,38,46,371065,1
0,0,562767,56,56,7,0,57,6,559651,0
1,0,676357,27,27,2,1,92,23,675068,0
0,0,11360,88,88,7,0,43,77,8184,1
0,0,24175,33,33,7,0,16,48,21059,1
1,0,8113,61,61,2,1,89,71,5945,0
0,0,696,114,114,8,0,80,83,1,0
1,0,552643,116,116,2,1,26,20,550361,1
0,0,225838,89,89,7,0,31,17,222980,0
0,0,46094,72,72,6,0,62,37,43491,1
0,0,296392,23,23,7,0,51,15,293633,0
1,0,36371,141,141,2,1,58,93,34218,1
0,0,220362,115,115,6,0,9,18,217744,0
1,0,532553,153,153,2,1,5,14,531252,0
0,0,34862,85,85,1,0,6,28,34431,1
1,0,638513,69,69,2,1,41,7,636579,0
1,0,685611,66,66,2,1,28,17,683131,0
0,0,9728,36,36,7,0,39,68,6585,0
0,0,5438,138,138,8,0,71,90,3198,1
0,0,13944,59,59,6,0,0,45,11467,1
0,0,37772,134,134,7,0,62,11,34755,1
0,0,7310,32,32,7,0,39,66,4179,1
1,0,8362,131,131,2,1,88,87,5834,0
0,0,96112,112,112,7,0,11,1,92984,1
1,0,6579,63,63,2,1,7,16,5257,1
1,0,8781,25,25,2,1,48,60,5653,0
0,0,8449,121,121,7,0,76,46,5315,1
0,0,34018,53,53,6,0,47,61,31541,0
0,0,1015710,30,30,7,0,46,35,1014604,0
1,0,93861,97,97,2,1,50,32,92599,1
0,0,905463,46,46,7,0,64,39,902746,0
1,0,673601,71,71,2,1,80,27,670680,0
1,0,741862,157,157,2,1,74,23,740972,0
0,0,559272,78,78,7,0,54,41,556483,0
1,0,12199,144,144,2,1,35,96,10430,0
1,0,631461,70,70,2,1,41,7,630235,0
0,0,2165,135,135,8,0,20,88,1,1
0,0,68231,96,96,7,0,74,23,65097,1
0,0,704396,13,13,9,0,44,36,703461,0
1,0,301337,20,20,2,1,4,5,298548,1
1,0,796646,58,58,2,1,9,29,794730,0
0,0,11508,107,107,6,0,45,81,8902,1
1,0,1017672,44,44,2,1,10,34,1015075,0
