Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,0,874302,279,279,3,27,873739
0,0,1522297,88,88,4,28,1521722
0,0,456160,323,323,4,23,455483
0,0,28680,130,130,3,63,27985
0,0,478938,103,103,4,0,478315
1,0,494817,205,205,4,23,494134
0,0,21792,346,346,4,79,21193
1,0,649380,241,241,4,10,648745
0,0,499409,366,366,3,22,498789
0,0,21840,235,235,4,71,21079
0,0,551183,231,231,2,19,550740
0,0,53116,397,397,5,93,52718
0,0,302673,250,250,4,16,302005
1,0,633183,239,239,2,10,632827
0,0,1148872,410,410,4,27,1148204
0,0,548259,145,145,2,20,547909
1,0,627298,101,101,4,6,626603
1,0,555039,429,429,4,4,554545
0,0,269583,420,420,4,4,268954
0,0,1587490,215,215,4,26,1586741
1,0,1038285,193,193,4,28,1037734
0,0,266589,177,177,4,17,265723
0,0,21892,340,340,4,78,21179
1,0,400683,57,57,4,3,400036
0,0,11825,46,46,4,53,11139
1,0,564291,149,149,4,22,563632
1,0,1722444,339,339,4,25,1721857
0,0,1871216,110,110,4,28,1870641
1,0,1081012,406,406,4,27,1080440
0,0,217404,23,23,4,16,216745
1,0,2130876,106,106,4,28,2130250
1,0,5418,236,236,4,71,4696
0,0,266951,175,175,4,14,266226
0,0,643220,202,202,4,6,642618
1,0,238595,173,173,4,14,237978
1,0,174019,66,66,4,14,173294
1,0,33533,391,391,4,92,32910
0,0,66227,304,304,4,1,65685
1,0,1032696,194,194,4,28,1032121
1,0,1279824,190,190,4,28,1279111
0,0,549268,76,76,4,7,548651
0,0,1738968,28,28,3,27,1738420
1,0,110877,157,157,5,2,110344
1,0,44362,303,303,3,15,43754
1,0,375323,426,426,4,4,374682
1,1,1894275,112,112,4,28,1893637
0,0,48963,358,358,4,83,48349
0,0,63431,64,64,4,59,62859
0,0,559332,146,146,2,20,558976
1,0,1947,15,15,3,39,1330
1,0,807869,25,25,3,27,807330
0,0,17246,271,271,4,76,16593
1,0,11667,264,264,4,74,10975
1,0,1182146,315,315,4,28,1181541
0,0,777907,152,152,4,22,777242
0,0,474095,355,355,4,17,473496
0,0,548591,230,230,2,19,548190
1,0,1654543,31,31,4,27,1654004
0,0,15815,361,361,4,83,15231
1,0,417430,207,207,4,23,416753
0,0,50225,396,396,4,93,49587
0,0,23909,362,362,4,83,23259
0,0,1886263,222,222,4,27,1885670
0,0,1420673,93,93,4,28,1420101
0,0,1628056,216,216,4,26,1627475
1,0,5356,351,351,4,82,4736
0,0,272757,181,181,4,17,271798
0,0,422988,184,184,4,15,422386
0,0,431207,427,427,4,4,430704
0,0,563485,95,95,2,20,563114
1,0,4939,7,7,4,33,4241
0,0,488252,256,256,4,16,487683
0,0,2141017,329,329,4,27,2140400
0,0,305429,372,372,4,24,304515
1,0,210445,137,137,3,11,209840
1,0,636879,161,161,4,4,636250
1,0,2103139,225,225,4,28,2102468
0,0,211634,419,419,5,0,211245
1,0,34921,272,272,4,77,34262
1,0,1570983,121,121,4,28,1570405
0,0,596495,162,162,4,4,595866
1,0,9539,199,199,4,47,8904
1,0,491431,299,299,4,10,490859
0,0,458814,353,353,4,17,458125
0,0,283286,425,425,4,4,282588
0,0,1863,44,44,4,53,1279
1,0,1306828,212,212,4,26,1306226
1,0,10499,39,39,2,51,10110
0,0,6256,131,131,2,63,5888
0,0,77237,61,61,4,58,76545
0,0,1685667,117,117,0,28,1685527
1,0,566496,300,300,4,10,565864
0,0,1200244,314,314,4,28,1199621
1,0,8071,393,393,4,92,7124
1,0,631273,160,160,4,4,630704
0,0,1299223,188,188,4,28,1298663
0,0,1337715,214,214,3,26,1337152
1,0,893116,244,244,3,22,892445
1,0,102031,0,0,4,2,101630
0,0,452612,287,287,4,28,451995
1,0,542828,294,294,4,10,542232
1,0,2082607,36,36,4,28,2081918
1,0,632235,87,87,4,27,631654
0,0,253563,291,291,4,16,252895
1,0,1060193,192,192,4,28,1059636
1,0,54130,400,400,4,94,53294
1,0,225709,70,70,3,14,225092
0,0,2016292,330,330,4,27,2015537
0,0,55031,270,270,4,76,54300
1,0,42738,392,392,4,92,42403
0,0,683253,99,99,4,28,682675
1,0,930600,247,247,4,22,929947
0,0,510533,431,431,4,5,509916
1,0,1653046,114,114,4,28,1652444
0,0,602022,163,163,4,4,601444
0,0,9693,360,360,4,83,9067
0,0,325661,371,371,4,16,325122
1,0,57983,63,63,4,59,57381
0,0,482096,259,259,4,16,481446
0,0,152203,402,402,4,94,151562
1,0,7816,170,170,4,67,6941
0,0,459742,255,255,4,16,459083
1,0,8984,261,261,4,72,8412
0,0,285006,251,251,4,16,284026
0,0,786,373,373,4,84,88
0,0,521226,211,211,4,6,520573
1,0,1896,260,260,4,72,1198
0,0,423275,206,206,4,23,422700
0,0,297265,228,228,4,3,296609
0,0,413954,418,418,4,28,413337
1,0,10738,166,166,4,66,10142
0,0,410431,183,183,4,15,409799
1,0,717564,274,274,4,27,716974
0,0,497547,257,257,4,16,496699
1,0,2021354,37,37,4,28,2020752
0,0,22510,55,55,3,42,21845
0,0,12963,342,342,4,78,12349
1,0,1274037,191,191,4,28,1273459
1,0,2090413,219,219,3,27,2089832
1,0,203566,71,71,2,14,203195
1,0,641268,240,240,4,10,640657
1,0,1773473,335,335,3,28,1772775
1,0,537100,295,295,4,10,536468
1,0,3185,164,164,4,65,2544
0,0,1078119,195,195,4,28,1077559
0,0,567898,124,124,2,19,567485
0,0,4704,233,233,4,70,4066
0,0,55203,82,82,4,14,54550
0,0,288418,227,227,4,3,287768
0,0,165971,19,19,4,9,165327
1,0,627125,86,86,4,11,626559
0,0,1646736,217,217,4,26,1646206
1,0,11303,51,51,4,56,10641
1,0,661517,1,1,4,10,660867
