Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1324430,92,2,30,1322082,0
0,0,1096585,235,2,29,1093946,1
1,0,9580,196,1,77,6749,1
0,0,50888,153,2,20,48174,1
0,0,1062895,234,2,29,1060310,1
0,0,758419,48,2,21,756089,0
0,0,12594,152,2,74,9967,0
0,0,9089,217,2,83,6579,1
1,0,45075,126,1,70,42286,0
1,0,1578209,102,1,28,1575672,1
0,0,1818146,110,2,29,1815771,0
0,0,466038,176,2,24,463714,0
0,0,1851640,108,2,29,1848668,0
0,0,139709,253,2,1,138117,0
1,0,290907,119,1,21,288478,0
0,0,1171520,41,2,27,1169280,1
0,0,2047179,184,2,29,2044399,1
0,0,800723,166,2,22,798375,0
0,0,12158,13,2,41,9363,1
0,0,21771,87,2,62,19363,0
0,0,488327,203,3,23,485541,0
0,0,454333,159,2,15,451748,0
0,0,262330,243,2,6,259847,0
0,0,568854,259,2,15,566233,0
0,0,16377,146,2,72,13513,1
0,0,180486,37,2,19,177754,1
0,0,1596686,185,2,29,1594209,0
0,0,301826,242,2,29,299487,0
0,0,736453,82,3,23,733583,0
0,0,1006971,1,5,30,1005142,0
0,0,20976,60,2,44,18310,0
0,0,5331,151,2,73,2932,0
0,0,629809,115,3,13,627020,1
0,0,1825289,187,2,30,1822929,0
1,0,590672,258,1,15,588504,0
0,0,6553,122,2,66,4166,1
0,0,1152306,222,2,24,1149583,0
0,0,13678,157,2,3,10931,1
0,0,468388,71,3,6,465485,0
1,0,476059,150,1,5,473501,0
1,0,1152001,179,1,28,1149578,1
0,0,1007699,206,2,23,1005114,1
0,0,1129346,169,2,30,1126764,1
0,0,696919,76,2,23,694046,0
0,0,1156973,236,2,29,1154469,0
0,0,221070,142,2,9,218443,1
0,0,463778,83,2,16,460986,0
0,0,11062,6,2,37,8450,0
0,0,1553361,181,2,28,1550629,1
0,0,280853,67,2,23,278046,0
0,0,546370,49,2,8,543824,0
0,0,399549,238,2,16,396772,0
0,0,57145,59,3,44,54284,0
0,0,817323,81,2,23,814468,0
1,0,408107,19,1,5,405750,0
0,0,60414,227,2,85,57859,1
0,0,988200,207,2,23,985546,1
0,0,7898,12,2,40,5274,1
0,0,245264,51,2,0,242583,0
0,0,4732,125,2,69,2051,0
0,0,21506,62,2,60,18858,0
0,0,23129,128,3,71,20358,1
0,0,428401,72,2,18,425663,0
0,0,950785,134,2,29,948302,1
0,0,34218,63,2,60,31414,0
1,0,2065088,103,1,29,2062416,0
0,0,15093,158,3,19,12226,0
0,0,1251196,180,2,28,1248512,0
0,0,352788,249,2,18,350182,1
0,0,565683,141,2,6,563344,1
0,0,10603,8,3,38,7772,1
0,0,212927,0,5,13,211077,1
0,0,1200167,193,2,23,1197396,0
0,0,652210,98,2,8,649424,0
0,0,10893,94,2,31,8359,1
0,0,4709,33,2,55,2067,1
0,0,119436,255,2,2,116878,0
0,0,14331,230,2,86,11776,1
1,0,1633076,186,1,29,1630521,0
0,0,7054,124,2,68,4541,0
0,0,456596,18,2,5,453903,1
0,0,3590,211,2,80,942,1
0,0,1816759,189,2,30,1814429,0
0,0,2010450,111,2,30,2008033,1
0,0,529696,175,2,1,526820,1
0,0,272153,68,2,23,269451,0
0,0,423886,69,2,6,421607,1
1,0,408724,140,1,33,406415,1
0,0,1189938,225,2,24,1187140,0
0,0,25731,11,3,39,22858,0
0,0,35248,54,2,59,32438,0
0,0,2099,4,5,35,3,1
0,0,867065,117,2,23,864531,0
0,0,460231,149,2,13,457457,1
1,0,2113696,55,1,29,2111357,0
0,0,783613,80,2,23,780839,0
0,0,35322,191,2,75,32611,1
0,0,506933,21,3,23,504105,0
0,0,41459,219,3,84,38613,1
0,0,584285,174,0,1,581721,0
0,0,404953,162,2,15,402317,0
0,0,16042,113,3,65,13142,0
1,0,574686,148,1,13,571897,1
0,0,596823,97,2,8,594229,1
1,0,71558,155,1,3,69066,0
0,0,1102343,226,2,24,1099539,0
0,0,556640,252,2,7,553878,0
0,0,22835,147,2,72,20457,0
0,0,65602,27,2,52,62846,0
0,0,2171498,182,2,29,2169063,1
0,0,3099,88,2,63,313,1
0,0,2201057,57,2,30,2198634,1
0,0,1865809,107,2,29,1862957,0
0,0,2060220,183,2,29,2057611,1
0,0,8030,145,2,72,5538,1
0,0,54570,30,3,42,51787,1
0,0,12466,229,2,85,9926,1
0,0,1650945,14,2,29,1648582,1
0,0,1181628,224,2,24,1179322,0
0,0,580806,96,5,8,578836,1
0,0,321121,171,2,30,318503,0
0,0,880730,135,2,29,877992,1
0,0,7331,95,3,46,4482,1
0,0,156435,36,3,19,153649,1
0,0,249052,75,2,9,246272,1
0,0,344245,16,2,0,341906,1
0,0,194602,248,3,9,191840,1
0,0,536061,256,2,15,533287,0
0,0,1828534,109,2,29,1825916,0
0,0,450835,70,2,6,448496,1
0,0,14547,23,2,50,12235,0
0,0,417885,138,2,16,415123,0
0,0,237391,74,2,9,234584,1
0,0,7271,25,2,51,4884,0
0,0,3982,3,2,34,1541,0
0,0,21057,156,2,3,18763,1
0,0,388287,239,2,16,385492,0
0,0,11601,43,2,57,9187,0
0,0,185153,26,2,26,182502,0
0,0,110238,228,3,85,107374,0
0,0,768058,79,2,23,765323,0
0,0,8573,215,2,82,6039,1
0,0,7513,5,2,36,4757,1
0,0,191757,116,2,10,188965,1
0,0,205713,246,2,9,202903,1
0,0,1409461,101,3,28,1406588,1
0,0,775880,132,2,29,773208,1
0,0,12861,240,2,87,10087,1
0,0,735391,130,2,29,733043,0
0,0,1731005,190,3,27,1728183,0
0,0,171302,231,4,12,169443,0
0,0,187696,247,2,9,185057,1
0,0,2180588,56,2,30,2178147,1
0,0,17047,40,2,43,14579,1
0,0,222070,177,2,5,219359,0
0,0,1169591,223,3,24,1166769,0
1,0,2776,52,1,59,113,1
0,0,935144,133,2,29,932427,1
0,0,8596,127,2,70,5819,0
0,0,24923,65,2,45,22032,0
1,0,42017,199,1,79,39222,0
1,0,1150558,192,1,23,1147775,1
0,0,665447,77,3,23,662586,1
1,0,276688,210,1,24,274223,0
1,0,396615,250,1,18,394090,1
0,0,381075,237,2,16,378301,0
0,0,2102129,104,2,29,2099463,1
1,0,255561,20,1,23,253126,0
0,0,22052,241,2,88,19278,1
0,0,198843,129,2,5,196225,0
0,0,763632,131,2,29,761305,0
0,0,421319,161,2,15,418704,0
0,0,167573,39,3,19,164778,1
0,0,11536,35,2,56,9554,1
1,0,597333,2,1,18,595705,1
