Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,394758,21,20,0,9,393970
0,574603,169,169,0,21,572120
1,4883,43,42,1,83,2628
1,519612,204,204,1,28,517492
0,2976,164,164,0,78,781
0,1159648,145,145,0,42,1157084
1,7454,54,53,0,90,5259
1,654471,77,76,1,53,652312
0,2907,37,36,0,73,667
1,4593,2,1,0,17,2230
1,1705791,91,90,0,54,1703299
0,598394,168,168,1,21,596190
0,2152,10,9,0,61,38
0,507624,191,191,0,3,505363
0,459000,173,173,1,10,456733
0,123424,232,232,1,8,121439
0,805063,179,179,1,39,803291
1,3147,44,43,0,84,535
0,7548,56,55,0,92,5362
0,11573,111,110,0,104,9210
1,81116,5,4,0,13,80040
0,703891,74,73,0,23,701787
1,351915,200,200,0,58,350539
1,6111,24,23,0,69,4843
1,299939,227,227,1,11,297915
1,115059,160,160,0,22,112891
1,1036,15,14,0,64,2
0,763015,85,84,1,38,760970
0,547726,136,136,1,7,545198
0,19404,199,199,0,123,17227
1,53099,223,223,0,39,50910
1,2191081,90,89,0,54,2188577
0,52834,183,183,1,0,50840
1,13918,123,123,1,106,11750
1,18062,135,135,1,109,16122
0,436942,176,176,1,24,434816
1,34512,93,92,1,98,32440
0,5683,58,57,0,93,3845
0,1835456,207,207,1,49,1833030
0,711734,33,32,0,23,710958
0,482055,113,113,0,10,479794
1,89110,209,209,1,16,86993
1,92121,141,141,0,41,90979
1,7735,185,185,0,80,5258
0,2352753,132,132,0,54,2351474
0,5117,217,217,1,82,2943
1,120751,186,186,0,3,119534
0,9642,212,212,0,125,7252
0,28514,0,111,0,105,26043
1,1699,88,87,0,8,101
0,3774,19,18,1,66,1570
0,468090,41,40,1,2,465892
1,3637,163,163,0,34,1680
0,619207,205,205,1,9,617003
0,369971,62,61,0,56,367785
1,10067,29,28,1,46,8418
0,1108,161,161,1,77,1
0,3468,72,71,0,96,1171
0,1009265,79,78,0,38,1006986
0,560608,180,180,0,16,558551
1,28523,83,82,0,38,26538
1,2650,26,25,0,35,386
1,6868,184,184,0,121,4559
1,50074,189,189,0,3,47909
0,487691,32,31,0,18,485538
1,17178,109,108,1,103,14941
0,669010,134,134,0,16,666635
1,2335,170,170,0,12,101
1,798,166,166,0,79,1
0,1167843,146,146,1,42,1165567
1,140815,228,228,0,11,140096
1,18493,48,47,1,34,16673
1,5471,139,139,0,112,3207
1,5333,22,21,0,67,3093
1,59387,96,95,0,42,57738
0,477141,198,198,0,7,476586
0,5583,100,99,0,100,3223
1,40877,203,203,1,29,40377
0,636865,81,80,1,20,634829
0,180595,120,120,0,60,178343
0,827,14,13,0,63,3
1,122003,229,229,1,11,119982
1,16433,193,193,0,81,14709
1,35613,195,195,1,122,33460
0,16106,75,74,1,97,14127
0,194620,126,126,0,55,192110
1,85349,67,66,0,4,84366
1,303473,216,216,0,12,301437
1,49973,27,26,0,23,48072
0,7225,107,106,0,102,4853
1,3201,61,60,0,75,2560
1,17152,138,138,0,111,14774
1,43304,157,157,0,57,40902
1,52112,105,104,0,45,49749
1,316113,226,226,0,11,313945
1,3704,23,22,0,68,1446
1,12933,114,114,1,40,10912
1,60946,148,148,1,54,58898
0,1287,20,19,1,70,1
1,3133,53,52,0,90,824
0,23314,236,236,0,2,21104
1,18709,36,35,0,27,16532
0,411395,38,37,1,13,410220
1,66424,233,233,0,36,64094
0,469090,35,34,1,1,466913
1,4184,235,235,0,36,1923
0,754574,174,174,0,26,752403
1,315631,215,215,0,12,313523
0,480279,206,206,1,46,478171
0,609383,80,79,1,20,607077
0,377705,99,98,0,59,375522
0,400277,28,27,0,10,398004
0,702444,213,213,0,22,701878
1,369509,63,62,1,13,367296
1,5540,45,44,0,85,3963
0,526037,40,39,0,3,525222
1,57522,127,127,0,22,55348
1,28472,221,221,1,47,26358
1,3258,210,210,1,124,754
0,961848,155,155,1,37,959689
1,16197,178,178,1,120,13717
1,1669,49,48,0,87,2
0,399311,94,93,1,14,397290
0,646569,182,182,0,12,644707
1,27218,69,68,1,51,24993
0,2152465,190,190,0,53,2150273
0,5726,1,0,1,126,3723
1,1909430,131,131,1,53,1907460
0,1835184,68,67,0,48,1832923
1,27070,142,142,0,16,24536
1,311650,214,214,0,12,309482
1,6765,192,192,0,81,4204
1,1518,60,59,0,94,1
0,477984,152,152,1,5,475453
1,19107,106,105,1,45,16912
1,2336,150,150,1,115,3
0,468765,86,85,1,54,466540
1,4334,98,97,0,99,1968
1,71096,140,140,0,41,68619
0,909502,76,75,0,35,907241
0,1116077,154,154,1,41,1113876
1,62927,151,151,1,24,60651
1,7491,128,128,0,22,5182
0,1333,16,15,0,65,3
0,811009,211,211,1,33,808763
0,1475,3,2,0,127,3
0,471716,220,220,0,5,470270
0,2123600,89,88,0,53,2121408
0,669243,187,187,1,18,667156
0,252998,133,133,1,28,250869
1,6479,137,137,0,110,5838
1,68193,149,149,0,25,66007
