Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,2810144,150,12,9,1,25,2809842,1
1,335414,108,14,9,1,22,333937,1
1,11536,9,18,9,1,42,10562,0
1,208752,104,14,9,1,1,207286,1
1,56392,10,18,9,1,42,54844,0
0,682801,117,14,8,0,4,681272,1
0,616961,114,14,7,0,11,615417,1
1,106612,2,17,9,1,50,106202,1
1,4907622,98,16,3,1,46,4906250,1
1,1565816,124,8,9,1,7,1564291,1
0,4776857,72,15,8,0,58,4776225,1
1,4912,19,21,9,1,19,4080,1
0,4967327,79,15,7,0,24,4966602,1
1,34744,158,12,9,1,43,33178,0
1,21634,30,29,10,1,24,20639,0
0,4874210,76,15,7,0,24,4872705,1
1,4685459,90,16,1,1,39,4683882,1
0,1579460,125,8,8,0,45,1577859,1
1,2790703,147,12,9,1,13,2789186,1
0,4803585,94,16,8,0,53,4802227,1
1,660088,115,14,9,1,22,658460,1
1,13354,34,32,9,1,29,11827,1
1,13439,25,26,9,1,44,11985,0
1,41821,41,34,9,1,0,40324,1
0,5282553,81,15,7,0,24,5281459,0
1,1518492,123,8,9,1,7,1516971,1
0,2882434,67,15,8,0,24,2880989,0
0,1789201,130,8,0,0,3,1788008,0
1,2900714,152,12,9,1,43,2899262,1
1,45373,137,11,9,1,59,43850,0
1,1639048,127,8,9,1,9,1637475,1
1,12732,29,28,10,1,42,11219,1
1,16779,35,32,9,1,49,15187,1
1,35078,135,11,9,1,59,33526,0
0,1792811,131,8,0,0,3,1791306,0
0,2586486,143,12,8,0,28,2584942,0
0,23403,31,30,7,0,37,22009,1
1,4496,23,24,9,1,32,3127,1
1,546312,112,14,9,1,1,544894,1
0,4064628,84,13,0,0,62,4063192,0
1,6249,27,3,9,1,44,4591,0
1,15374,54,44,9,1,3,14245,0
1,1622,57,15,11,1,27,585,1
1,2436,18,21,9,1,25,1291,1
1,56650,37,32,9,1,49,55175,1
0,47277,43,35,8,0,46,45691,0
0,19432,0,17,8,0,5,17837,1
1,2797682,149,12,9,1,43,2796528,0
0,5380636,82,15,7,0,24,5379008,0
1,9494,53,43,9,1,16,7965,1
1,29574,17,20,9,1,47,28997,0
0,8343,28,27,7,0,41,6676,1
0,4971029,80,15,7,0,24,4969470,1
1,9188,134,10,9,1,60,7638,0
0,309925,107,14,8,0,11,308399,0
0,22070,22,23,7,0,30,20550,0
1,69439,11,18,9,1,26,67885,0
1,19005,48,39,9,1,23,17968,1
1,501101,110,14,9,1,22,499566,1
0,4542881,70,15,7,0,24,4541535,0
1,138167,5,17,9,1,50,137305,1
1,63306,44,35,9,1,38,61772,0
0,1057855,83,4,8,0,51,1056242,1
0,4658068,89,16,7,0,53,4656557,0
1,4875012,97,16,5,1,39,4874521,1
1,511211,111,14,3,1,1,509571,1
1,4930611,99,16,2,1,46,4929155,0
1,2769881,145,12,9,1,43,2769468,1
1,268059,141,12,9,1,43,266604,0
1,4067975,85,13,9,1,38,4066581,0
1,1589097,133,9,9,1,6,1587573,1
1,1182456,119,5,9,1,21,1180816,1
1,158094,102,14,9,1,22,156706,1
1,16687,55,45,9,1,33,14902,1
0,237565,106,14,7,0,11,236150,1
1,34585,40,34,9,1,53,33074,1
1,10341,8,2,9,1,61,9201,0
1,2794118,148,12,9,1,43,2793789,0
0,2972153,154,12,7,0,28,2970543,0
1,70716,138,11,9,1,51,69197,0
1,16196,26,26,9,1,14,14732,0
1,2653794,144,12,9,1,13,2652725,1
