Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,940675,90,90,1,0,34,49,930293,1
0,21015,77,77,1,0,64,18,14486,1
0,94486,147,147,1,0,56,37,84056,1
0,19647,55,55,1,0,106,85,9304,1
0,1142692,89,89,2,0,29,48,1136952,1
0,51596,54,54,1,0,109,12,48017,1
1,6309,71,71,3,1,22,89,1,1
0,6144,63,63,1,0,43,86,3,0
0,818767,121,121,1,0,119,29,810066,0
1,566844,205,205,3,1,80,17,556376,0
1,6275,17,17,3,1,49,72,3,0
1,9243,23,23,3,1,11,65,3028,1
0,424181,139,139,1,0,67,10,413739,0
0,545365,223,223,1,0,82,19,535076,0
0,54812,5,5,1,0,103,32,50482,1
1,5690,79,79,3,1,125,92,3,0
0,6239,136,136,2,0,62,104,3,1
1,47046,58,58,3,1,70,67,36631,0
0,1352921,107,107,1,0,48,49,1342479,0
0,548110,154,154,1,0,80,18,541838,0
1,1415129,7,7,3,1,134,46,1406220,0
0,53597,31,31,1,0,0,57,43140,1
0,6877,30,30,1,0,83,77,2,0
0,82139,164,164,1,0,21,3,71676,1
1,571446,181,181,3,1,65,33,561022,1
0,138943,49,49,2,0,68,23,131411,0
1,40882,93,93,3,1,95,41,30431,1
0,64329,98,98,1,0,129,1,53935,0
0,19778,84,84,1,0,94,94,9420,0
0,409474,180,180,1,0,24,33,399029,1
0,656716,88,88,1,0,5,21,646334,0
0,1441553,106,106,1,0,34,49,1431102,0
0,796416,190,190,1,0,5,29,789632,0
0,18102,16,16,1,0,117,71,7759,0
0,207695,52,52,1,0,110,15,204667,0
0,29124,137,137,1,0,14,104,18715,1
0,510863,222,222,1,0,10,6,500484,0
0,347622,85,85,1,0,108,50,337195,0
1,8750,10,10,3,1,104,64,352,0
1,12299,146,146,3,1,49,106,2049,1
0,816094,68,68,1,0,92,33,805796,0
0,746001,145,145,1,0,8,31,735628,0
0,18044,37,37,1,0,10,30,13358,1
0,902706,96,96,1,0,32,38,892584,0
0,97751,81,81,2,0,83,23,91272,1
0,406298,26,26,1,0,7,31,400980,0
0,490459,112,112,1,0,49,7,480062,0
0,230403,212,212,1,0,67,10,222871,0
0,191125,46,46,1,0,13,24,180626,0
0,400877,72,72,2,0,7,31,396354,0
0,571102,15,15,1,0,102,39,563645,0
0,573981,159,159,1,0,122,10,563530,0
0,22907,1,2,2,0,22,50,17262,1
1,192236,130,130,3,1,46,28,185259,1
0,7036,197,197,1,0,124,119,1,1
0,1048694,138,138,1,0,36,41,1038261,0
1,14711,135,135,3,1,135,103,4479,1
0,5905,53,53,1,0,55,84,1,1
1,8139,178,178,3,1,59,113,1,1
1,15047,123,123,3,1,42,99,4680,1
0,610602,141,141,1,0,124,26,600223,0
0,46671,99,99,1,0,43,96,36289,1
0,149649,116,116,2,0,26,23,143326,0
0,682115,115,115,1,0,24,33,675892,0
0,30892,75,75,1,0,122,22,20468,0
0,56068,176,176,1,0,24,112,45617,0
0,2370774,165,165,1,0,94,50,2360422,0
0,107347,18,18,1,0,118,56,100946,1
1,364951,60,60,3,1,39,55,356759,1
1,79790,210,210,3,1,4,50,69342,1
0,34480,144,144,1,0,13,24,24017,1
0,501262,103,103,1,0,24,20,494255,0
0,7213,73,73,1,0,31,90,1,1
1,12287,133,133,3,1,6,101,1776,1
0,592872,184,184,1,0,75,11,582397,0
0,1301475,104,104,1,0,57,49,1291027,1
0,53674,206,206,1,0,138,58,43286,1
0,7785,140,140,2,0,45,105,1726,0
0,1049310,59,59,1,0,44,47,1038856,0
0,22220,224,224,1,0,102,39,11901,1
1,934030,204,204,3,1,28,48,926063,1
0,243214,169,169,1,0,54,33,232769,0
0,76316,29,29,2,0,79,31,71757,1
0,5029,28,28,2,0,73,76,2,1
0,780586,127,127,1,0,9,36,770171,0
0,12152,207,207,1,0,116,122,4158,1
0,572820,183,183,1,0,126,11,566630,0
0,19621,51,51,1,0,118,56,13649,1
0,72152,149,149,1,0,60,28,61794,1
0,600090,182,182,1,0,101,33,589645,1
1,9497,187,187,3,1,33,114,3,0
0,364064,57,57,1,0,24,33,353619,1
