Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,30892,74,1,22,20468,0
0,54812,6,1,32,50482,1
0,353296,97,2,51,348857,1
0,7476,0,2,59,127,0
0,21015,76,1,18,14486,1
0,5481,154,2,109,1,0
0,5231,27,1,66,1,1
0,78745,64,1,43,68291,1
1,574518,141,3,12,565420,0
1,27113,193,3,118,16665,1
1,647211,115,3,46,636820,0
0,802151,14,1,50,791817,1
0,65194,22,1,0,54806,0
0,6388,122,1,100,323,1
0,243214,167,1,33,232769,0
0,62219,39,1,82,51870,0
0,19188,34,1,80,11071,1
0,22103,169,1,33,14689,1
0,239506,160,2,15,231410,0
1,217558,3,3,25,208664,0
1,52443,44,3,48,42064,1
0,5929,149,1,69,3,0
1,35770,43,3,83,25298,1
0,5956,21,1,73,733,0
0,586972,46,1,8,576509,0
0,88568,198,1,120,78117,1
1,13525,108,3,97,3143,0
0,623676,90,1,12,613279,0
0,11537,174,1,112,1098,1
0,505288,12,1,4,494840,0
0,39653,25,1,37,33702,1
0,158064,214,1,13,147781,1
0,54831,125,1,51,44338,1
0,1392969,105,1,49,1382515,1
0,2345195,165,1,51,2334792,0
0,5893,36,1,81,1,0
0,1174010,188,2,43,1168695,0
1,595061,49,3,25,584655,0
0,89016,117,1,42,78604,1
0,487135,85,1,38,478468,1
0,3341,189,2,115,3,0
0,5467,73,2,91,2,0
0,225073,35,1,27,217409,1
0,6046,79,2,93,2,1
0,610602,139,1,26,600223,0
0,548110,152,1,18,541838,0
0,8611,116,1,68,3,0
0,940675,89,1,49,930293,1
1,566844,202,3,17,556376,0
0,94486,145,1,37,84056,1
0,19647,55,1,85,9304,1
0,1142692,88,2,48,1136952,1
0,17336,68,1,12,6891,1
1,6309,70,3,89,1,1
0,6144,63,1,86,3,0
0,796416,187,1,29,789632,0
0,252780,210,1,16,242332,0
1,6275,18,3,72,3,0
1,9243,24,3,65,3028,1
0,230403,209,1,10,222871,0
0,638425,171,1,18,628055,0
0,34341,16,2,32,26002,1
1,5690,78,3,92,3,0
0,6239,134,2,104,3,1
1,47046,58,3,67,36631,0
0,1352921,107,1,49,1342479,0
0,536745,48,1,18,531839,0
1,1415129,8,3,46,1406220,0
0,53597,31,1,57,43140,1
0,6877,30,1,77,2,0
0,82139,162,1,3,71676,1
0,534898,113,2,33,529028,1
0,97751,80,2,23,91272,1
1,40882,92,3,41,30431,1
0,64329,98,1,1,53935,0
0,19778,83,1,94,9420,0
0,364064,57,1,33,353619,1
0,501262,103,1,20,494255,0
0,1441553,106,1,49,1431102,0
1,736142,224,3,29,726108,0
0,18102,17,1,71,7759,0
0,635740,96,1,14,625292,0
0,29124,135,1,104,18715,1
0,510863,220,1,6,500484,0
0,347622,84,1,50,337195,0
1,8750,11,3,64,352,0
1,12299,144,3,106,2049,1
0,816094,67,1,33,805796,0
0,424985,124,1,31,418893,0
1,11317,86,3,30,5433,1
0,902706,95,1,38,892584,0
0,656937,155,1,22,646543,0
0,400877,71,2,31,396354,0
0,490459,111,1,7,480062,0
0,188433,128,1,10,178087,1
0,34480,143,1,24,24017,1
0,76316,29,2,31,71757,1
0,571102,15,1,39,563645,0
0,508446,158,1,10,497998,0
0,22907,1,2,50,17262,1
0,72152,147,1,28,61794,1
0,7036,194,1,119,1,1
0,1048694,136,1,41,1038261,0
1,14711,133,3,103,4479,1
0,5905,54,1,84,1,1
1,8139,177,3,113,1,1
1,15047,121,3,99,4680,1
0,563694,142,1,26,556752,1
0,46671,99,1,96,36289,1
0,138943,50,2,23,131411,0
0,600090,181,1,33,589645,1
0,656716,87,1,21,646334,0
0,56068,175,1,112,45617,0
0,2370774,163,1,50,2360422,0
0,107347,19,1,56,100946,1
1,364951,60,3,55,356759,1
1,79790,207,3,50,69342,1
0,698669,82,1,23,688299,0
0,545365,221,1,19,535076,0
0,7213,72,1,90,1,1
1,12287,131,3,101,1776,1
0,572820,182,1,11,566630,0
0,1301475,104,1,49,1291027,1
0,53674,203,1,58,43286,1
0,7785,138,2,105,1726,0
0,1049310,59,1,47,1038856,0
0,22220,223,1,39,11901,1
1,934030,201,3,48,926063,1
0,34912,168,1,33,27714,1
0,685626,118,1,30,675331,0
0,5029,28,2,76,2,1
0,780586,126,1,36,770171,0
0,12152,204,1,122,4158,1
0,102066,45,1,11,91621,1
0,19621,52,1,56,13649,1
0,6015,146,2,28,103,1
1,571446,180,3,33,561022,1
1,9497,185,3,114,3,0
0,332104,166,1,33,321641,0
