Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,6529,156,0,36,4547,1
1,0,174847,193,1,9,172793,1
1,0,8963,174,1,131,6399,1
0,0,6840,284,0,146,3826,0
0,0,34372,2,0,50,33320,1
1,0,110366,248,1,64,107442,1
1,0,7278,97,1,116,4399,0
0,0,67475,295,0,56,65139,1
0,0,1140600,195,0,46,1138639,0
1,0,1174681,76,1,48,1172813,0
1,0,1443,20,1,71,1,1
0,0,7112,282,0,145,4374,1
1,0,1113039,294,1,58,1110685,1
1,0,7245,289,1,147,4687,1
1,0,12451,173,1,130,9695,1
0,0,2274,50,0,78,1,0
1,0,2194888,107,1,59,2192474,1
1,0,16715,185,1,46,14439,1
0,0,729858,199,0,37,727477,0
1,0,214887,305,1,9,212992,0
1,0,44770,26,1,50,42977,1
0,0,38223,31,0,43,36197,1
1,0,18751,110,1,84,16475,1
1,0,2149200,264,1,58,2146741,0
1,0,3783,86,1,25,1453,1
1,0,596370,276,1,11,593812,0
1,0,19819,123,1,0,16985,1
0,0,392186,223,0,11,389424,0
0,0,36463,117,0,16,33455,1
0,0,447897,285,0,46,446350,0
0,0,598524,94,0,7,596251,0
1,0,342240,153,1,59,339421,1
1,0,107280,48,1,19,104554,0
1,0,2892,67,1,106,97,0
0,0,478312,10,0,11,477440,0
1,0,46833,75,1,110,44356,0
1,0,670094,37,1,59,667467,0
0,0,2028848,177,0,56,2027736,0
1,0,68416,260,1,2,66416,1
1,0,4460,128,1,87,2295,0
0,0,553364,249,0,18,550602,0
1,0,201254,158,1,60,198909,0
0,0,851849,121,0,37,849015,0
1,0,3538,291,1,98,857,1
1,0,12394,303,1,150,9605,0
0,0,748745,35,0,30,745776,0
1,0,14564,60,1,81,12819,1
0,0,39476,267,0,143,36720,1
1,0,13956,214,1,90,10954,0
1,0,68621,190,1,57,67503,1
0,0,645301,275,0,11,642806,0
1,0,5678,129,1,122,4257,1
1,0,458839,17,1,11,457553,0
0,0,811998,312,0,40,810235,0
1,0,26744,325,1,43,24147,1
0,0,968,8,0,153,3,0
1,0,905988,98,1,42,903148,0
1,0,9121,287,1,39,6152,1
1,0,582104,237,1,12,579438,0
1,0,79885,228,1,11,77750,1
1,0,2982,71,1,109,445,1
1,0,22938,87,1,56,21226,1
1,0,1573917,166,1,58,1571158,0
0,0,531490,33,0,3,528650,0
0,0,4734,124,0,86,2191,0
1,0,710712,198,1,37,708220,0
0,0,367390,215,0,62,364778,0
1,0,56555,324,1,43,54387,1
0,0,18183,232,0,139,15433,0
1,0,4073,5,1,69,1218,0
1,0,15577,70,1,108,12521,1
1,0,2071578,164,1,58,2068987,0
1,0,27589,109,1,83,25172,0
0,0,4119,42,0,34,967,1
1,0,27235,148,1,30,24623,1
1,0,783456,80,1,34,780772,0
0,0,11142,112,0,120,8839,1
1,0,242630,119,1,23,239769,1
1,0,10610,171,1,129,8169,1
1,0,106204,279,1,18,104012,1
1,0,16963,47,1,100,14936,0
0,0,1171911,147,0,49,1168945,0
1,0,577397,7,1,28,576201,0
1,0,1820,9,1,155,189,0
1,0,485801,34,1,3,483723,0
1,3,11541,326,1,43,8509,1
1,0,619021,152,1,14,617285,0
0,0,13820,29,0,25,12766,1
1,0,2325261,41,1,59,2323705,0
1,0,10910,90,1,113,8910,0
1,0,639965,256,1,24,637563,0
