Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,590672,258,1,15,588504,0
0,0,16042,114,3,65,13142,0
0,0,1152306,222,2,24,1149583,0
0,0,13678,156,2,3,10931,1
0,0,468388,73,3,6,465485,0
1,0,476059,150,1,5,473501,0
1,0,1152001,180,1,28,1149578,1
0,0,1007699,206,2,23,1005114,1
0,0,1129346,170,2,30,1126764,1
0,0,696919,78,2,23,694046,0
0,0,1156973,236,2,29,1154469,0
0,0,221070,142,2,9,218443,1
0,0,463778,85,2,16,460986,0
0,0,7513,6,2,36,4757,1
0,0,1553361,182,2,28,1550629,1
0,0,280853,69,2,23,278046,0
0,0,546370,51,2,8,543824,0
0,0,399549,238,2,16,396772,0
0,0,20976,62,2,44,18310,0
0,0,817323,83,2,23,814468,0
1,0,408107,19,1,5,405750,0
0,0,60414,227,2,84,57859,1
0,0,988200,207,2,23,985546,1
0,0,25731,12,3,39,22858,0
0,0,245264,53,2,0,242583,0
0,0,7054,125,2,68,4541,0
0,0,35248,56,2,59,32438,0
1,0,45075,128,1,70,42286,0
0,0,428401,74,2,18,425663,0
0,0,950785,135,2,29,948302,1
0,0,21506,64,2,60,18858,0
1,0,2065088,105,1,29,2062416,0
0,0,15093,158,3,19,12226,0
0,0,1251196,181,2,28,1248512,0
0,0,352788,249,2,18,350182,1
0,0,565683,141,2,6,563344,1
0,0,11062,7,2,37,8450,0
0,0,212927,0,5,13,211077,1
0,0,1200167,194,2,23,1197396,0
0,0,652210,100,2,8,649424,0
0,0,2201057,59,2,30,2198634,1
0,0,16153,34,2,54,13502,0
0,0,119436,255,2,2,116878,0
0,0,14331,230,2,85,11776,1
1,0,1633076,187,1,29,1630521,0
0,0,9383,124,2,67,6849,1
0,0,456596,18,2,5,453903,1
0,0,1878,211,5,79,1,1
0,0,1757922,189,2,30,1755496,1
0,0,1984371,188,2,30,1981915,0
0,0,529696,176,2,1,526820,1
0,0,272153,70,2,23,269451,0
0,0,423886,71,2,6,421607,1
0,0,379418,171,2,32,376740,1
0,0,1189938,225,2,24,1187140,0
0,0,10603,9,3,38,7772,1
0,0,25495,55,2,59,22811,0
0,0,3982,4,2,34,1541,0
0,0,867065,118,2,23,864531,0
0,0,460231,149,2,13,457457,1
1,0,2113696,57,1,29,2111357,0
0,0,783613,82,2,23,780839,0
0,0,10424,157,2,74,7980,0
0,0,506933,23,3,23,504105,0
1,0,32977,217,1,83,30248,1
0,0,584285,175,0,1,581721,0
0,0,404953,162,2,15,402317,0
0,0,3012,93,3,64,175,0
1,0,574686,148,1,13,571897,1
0,0,596823,99,2,8,594229,1
1,0,71558,154,1,3,69066,0
0,0,1102343,226,2,24,1099539,0
0,0,556640,252,2,7,553878,0
0,0,16377,146,2,72,13513,1
1,0,17633,26,1,51,14982,0
0,0,2171498,183,2,29,2169063,1
0,0,21771,89,2,62,19363,0
0,0,2180588,58,2,30,2178147,1
0,0,1865809,109,2,29,1862957,0
0,0,2060220,184,2,29,2057611,1
0,0,23129,129,3,71,20358,1
0,0,33755,31,2,42,30969,0
0,0,12466,229,2,84,9926,1
0,0,1650945,14,2,29,1648582,1
0,0,1181628,224,2,24,1179322,0
0,0,580806,98,5,8,578836,1
0,0,321121,172,2,30,318503,0
0,0,880730,136,2,29,877992,1
1,0,37975,67,1,45,35192,0
0,0,156435,38,3,19,153649,1
0,0,249052,77,2,9,246272,1
0,0,344245,16,2,0,341906,1
0,0,194602,248,3,9,191840,1
0,0,536061,256,2,15,533287,0
0,0,1828534,111,2,29,1825916,0
0,0,450835,72,2,6,448496,1
0,0,7162,24,2,49,4697,0
0,0,417885,139,2,16,415123,0
0,0,237391,76,2,9,234584,1
0,0,14547,25,2,50,12235,0
0,0,1983,1,5,33,1,1
0,0,21057,155,2,3,18763,1
0,0,388287,239,2,16,385492,0
0,0,69594,36,2,56,66700,0
0,0,185153,28,2,26,182502,0
0,0,110238,228,3,84,107374,0
0,0,768058,81,2,23,765323,0
0,0,8092,215,2,81,5759,0
0,0,2099,5,5,35,3,1
0,0,191757,117,2,10,188965,1
0,0,205713,246,2,9,202903,1
0,0,1409461,103,3,28,1406588,1
0,0,775880,133,2,29,773208,1
0,0,12861,240,2,86,10087,1
0,0,735391,131,2,29,733043,0
0,0,1731005,191,3,27,1728183,0
0,0,171302,231,4,12,169443,0
0,0,187696,247,2,9,185057,1
0,0,2050620,21,2,30,2048281,1
0,0,54570,32,3,42,51787,1
0,0,222070,178,2,5,219359,0
0,0,1169591,223,3,24,1166769,0
0,0,14845,52,3,58,11996,0
0,0,935144,134,2,29,932427,1
0,0,4732,126,2,69,2051,0
0,0,63923,61,2,44,61338,0
1,0,13979,198,1,78,11352,1
1,0,1150558,193,1,23,1147775,1
0,0,665447,79,3,23,662586,1
1,0,276688,210,1,24,274223,0
1,0,396615,250,1,18,394090,1
0,0,381075,237,2,16,378301,0
0,0,2102129,106,2,29,2099463,1
1,0,255561,22,1,23,253126,0
0,0,22052,241,2,87,19278,1
0,0,198843,130,2,5,196225,0
0,0,763632,132,2,29,761305,0
0,0,421319,161,2,15,418704,0
0,0,167573,41,3,19,164778,1
0,0,4709,35,2,55,2067,1
1,0,597333,3,1,18,595705,1
