Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,160801,404,404,4,0,94,160181
0,10872,104,104,3,1,60,10210
1,412598,285,285,4,0,30,411981
1,514088,298,298,4,0,10,513441
1,667099,4,4,4,0,10,666332
0,244449,293,293,4,0,16,243556
0,223254,294,294,4,0,16,222562
0,260483,178,178,4,0,17,259935
0,1078119,195,195,4,0,28,1077559
1,198335,42,42,4,0,10,197730
1,1243238,189,189,4,0,28,1242540
0,1109266,399,399,4,0,23,1108595
0,6197,388,388,4,0,89,5628
1,38888,79,79,4,0,14,38181
0,2159962,329,329,4,0,27,2159390
0,1420673,91,91,4,0,28,1420101
1,388432,197,197,2,0,29,388043
0,70633,59,59,4,0,58,70109
0,11230,375,375,4,0,49,10535
1,673589,187,187,4,0,27,672981
0,1677970,118,118,4,0,28,1677395
0,5761,376,376,4,0,50,5141
0,1875155,223,223,4,0,27,1874526
1,311313,422,422,4,0,4,310645
1,274287,174,174,4,0,14,273715
0,433446,208,208,4,0,23,432955
1,36542,386,386,4,0,88,35961
0,541203,103,103,4,0,6,540331
1,375081,122,122,4,0,12,374536
1,1134002,409,409,4,0,27,1133424
1,1481322,93,93,4,0,28,1480762
0,1261581,327,327,3,1,26,1260970
1,1739,6,6,4,0,33,1236
0,405277,142,142,4,0,14,404699
1,1581481,218,218,4,0,26,1580900
1,2442,290,290,4,0,48,1612
1,327963,424,424,4,0,4,327337
0,1411596,21,21,4,0,28,1410949
0,253089,179,179,4,0,17,252442
0,897457,277,277,4,0,27,896894
1,358436,282,282,2,0,14,358038
1,11470,47,47,2,0,55,11081
1,371048,281,281,4,0,14,370350
0,1943209,9,9,4,0,28,1942577
1,7470,273,273,4,0,77,6853
1,76266,284,284,4,0,14,75574
1,21243,14,14,4,0,38,20602
1,605996,243,243,4,0,10,605367
0,332148,412,412,4,0,14,331510
0,844685,369,369,3,1,22,844098
1,1790185,224,224,4,0,27,1789544
1,617680,238,238,4,0,10,617066
0,59685,49,49,4,0,56,58891
0,1591262,333,333,4,0,27,1590720
0,31626,358,358,4,0,83,31012
0,67780,416,416,4,0,14,67067
0,425359,253,253,4,0,16,424565
0,281837,180,180,4,0,17,281250
0,1169771,349,349,4,0,22,1169145
0,1200244,315,315,4,0,28,1199621
0,18926,391,391,4,0,92,18276
1,2115566,25,25,4,0,28,2114982
1,1109679,319,319,4,0,28,1109041
1,1559,51,51,4,0,57,987
1,395098,41,41,4,0,28,394403
0,128464,417,417,2,0,14,128075
1,1139142,318,318,4,0,28,1138561
0,385637,20,20,3,1,22,384969
1,1348,169,169,4,0,67,512
0,567879,382,382,2,0,20,567310
1,190891,66,66,4,0,14,190256
1,3660,198,198,4,0,68,3085
0,1001979,95,95,4,0,28,1001410
0,1671935,119,119,3,1,28,1671336
1,3008,165,165,4,0,46,2760
0,17644,350,350,4,0,80,17072
0,393310,286,286,4,0,30,392783
0,1025055,194,194,4,0,28,1024453
0,1611491,332,332,4,0,27,1610868
1,11006,13,13,4,0,37,10434
0,1840810,110,110,4,0,28,1840178
1,1182146,316,316,4,0,28,1181541
1,377041,364,364,4,0,12,376496
0,389569,254,254,4,0,16,388676
1,1235855,190,190,2,0,28,1235211
0,1806636,339,339,4,0,28,1806064
0,7249,53,53,4,0,57,6641
0,452612,287,287,4,0,28,451995
0,410649,144,144,2,0,14,410251
0,1121,2,2,4,0,32,531
0,690105,150,150,3,1,22,689434
0,7534,345,345,2,0,79,7151
0,14571,378,378,4,0,50,14272
0,237931,291,291,4,0,16,237338
0,622513,26,26,4,0,28,621803
0,253619,172,172,4,0,14,252897
0,244194,182,182,4,0,17,243160
0,1176204,400,400,4,0,23,1175530
1,668902,151,151,4,0,22,668282
1,22995,308,308,2,0,14,22609
1,47042,80,80,4,0,14,46335
1,6670,232,232,4,0,69,6140
1,462219,365,365,4,0,22,461563
0,1079,128,128,2,0,62,750
1,1784731,335,335,4,0,28,1784156
0,1392058,311,311,4,0,28,1391459
1,170789,68,68,4,0,14,170208
1,44727,396,396,3,1,93,44119
0,917604,278,278,4,0,27,916954
0,7294,266,266,4,0,75,6638
0,9111,132,132,2,0,63,8734
1,633393,82,82,4,0,11,632488
0,2852,16,16,4,0,40,2211
0,1610144,115,115,4,0,28,1609563
1,219644,71,71,4,0,14,218985
1,873,5,5,4,0,35,262
0,462632,141,141,4,0,4,462006
0,1707,379,379,4,0,85,1054
0,555039,78,78,4,0,7,554104
1,891600,276,276,1,1,27,891058
1,522983,297,297,4,0,10,522417
0,897652,245,245,4,0,22,897068
0,445439,135,135,4,0,16,444747
0,8892,377,377,4,0,50,8245
0,407298,185,185,4,0,15,406639
1,95645,64,64,4,0,2,95094
1,296809,421,421,4,0,4,296102
1,438791,32,32,4,0,3,438168
0,296422,249,249,4,0,16,295724
1,311595,413,413,2,0,14,311224
0,22912,58,58,2,0,58,22523
1,20624,74,74,4,0,43,19953
0,262228,37,37,4,0,22,261515
1,603114,242,242,4,0,10,602248
0,610905,158,158,4,0,4,610333
0,862102,246,246,3,1,22,861431
1,9993,33,33,4,0,41,9376
1,1448091,89,89,4,0,28,1447573
1,12594,200,200,4,0,47,11959
0,367683,156,156,4,0,16,367096
0,28027,44,44,4,0,53,27344
0,406686,140,140,4,0,4,406078
0,32545,267,267,4,0,76,31979
0,11424,40,40,3,1,52,10828
0,465000,355,355,4,0,17,464038
1,874302,279,279,3,1,27,873739
1,1570983,121,121,4,0,28,1570405
0,456160,324,324,4,0,23,455483
0,28680,130,130,3,1,63,27985
0,478938,102,102,4,0,0,478315
1,494817,205,205,4,0,23,494134
0,21792,347,347,4,0,79,21193
1,649380,241,241,4,0,10,648745
0,499409,367,367,3,1,22,498789
0,21840,235,235,4,0,71,21079
0,551183,231,231,2,0,19,550740
0,53116,398,398,5,0,93,52718
0,302673,250,250,4,0,16,302005
1,633183,239,239,2,0,10,632827
0,1148872,411,411,4,0,27,1148204
0,548259,145,145,2,0,20,547909
1,627298,100,100,4,0,6,626603
1,555039,429,429,4,0,4,554545
0,269583,420,420,4,0,4,268954
0,1587490,215,215,4,0,26,1586741
1,1060193,192,192,4,0,28,1059636
0,266589,177,177,4,0,17,265723
0,21892,341,341,4,0,78,21179
1,400683,56,56,4,0,3,400036
0,11825,45,45,4,0,53,11139
1,564291,149,149,4,0,22,563632
1,1722444,340,340,4,0,25,1721857
0,1871216,109,109,4,0,28,1870641
1,1081012,407,407,4,0,27,1080440
0,217404,22,22,4,0,16,216745
1,2130876,105,105,4,0,28,2130250
1,5418,236,236,4,0,71,4696
0,266951,175,175,4,0,14,266226
0,643220,202,202,4,0,6,642618
1,238595,173,173,4,0,14,237978
1,174019,65,65,4,0,14,173294
1,33533,392,392,4,0,92,32910
0,66227,305,305,4,0,1,65685
1,1038285,193,193,4,0,28,1037734
0,1299223,188,188,4,0,28,1298663
0,549268,75,75,4,0,7,548651
0,1738968,27,27,3,1,27,1738420
1,110877,157,157,5,0,2,110344
1,44362,304,304,3,1,15,43754
1,375323,426,426,4,0,4,374682
1,1894275,111,111,4,0,28,1893637
0,48963,359,359,4,0,83,48349
0,63431,63,63,4,0,59,62859
0,559332,146,146,2,0,20,558976
1,1947,15,15,3,1,39,1330
1,807869,24,24,3,1,27,807330
0,17246,271,271,4,0,76,16593
1,11667,264,264,4,0,74,10975
1,1192370,317,317,4,0,28,1191744
0,777907,152,152,4,0,22,777242
0,474095,356,356,4,0,17,473496
0,548591,230,230,2,0,19,548190
1,1654543,30,30,4,0,27,1654004
0,15815,362,362,4,0,83,15231
1,417430,207,207,4,0,23,416753
0,50225,397,397,4,0,93,49587
0,23909,363,363,4,0,83,23259
0,1886263,222,222,4,0,27,1885670
1,1439745,90,90,4,0,28,1439215
0,1628056,216,216,4,0,26,1627475
1,5356,352,352,4,0,82,4736
0,272757,181,181,4,0,17,271798
0,422988,184,184,4,0,15,422386
0,431207,427,427,4,0,4,430704
0,563485,94,94,2,0,20,563114
1,4939,7,7,4,0,33,4241
0,488252,256,256,4,0,16,487683
0,2141017,330,330,4,0,27,2140400
0,305429,373,373,4,0,24,304515
1,210445,137,137,3,1,11,209840
1,636879,161,161,4,0,4,636250
1,2103139,225,225,4,0,28,2102468
0,211634,419,419,5,0,0,211245
1,34921,272,272,4,0,77,34262
0,1578872,120,120,4,0,28,1578312
0,596495,162,162,4,0,4,595866
1,9539,199,199,4,0,47,8904
1,491431,300,300,4,0,10,490859
0,458814,354,354,4,0,17,458125
0,283286,425,425,4,0,4,282588
0,1863,43,43,4,0,53,1279
1,1306828,212,212,4,0,26,1306226
1,10499,38,38,2,0,51,10110
0,6256,131,131,2,0,63,5888
0,77237,60,60,4,0,58,76545
0,1685667,117,117,0,0,28,1685527
1,566496,301,301,4,0,10,565864
0,1212108,314,314,4,0,28,1211533
1,8071,394,394,4,0,92,7124
1,631273,160,160,4,0,4,630704
1,1357417,313,313,4,0,28,1356881
0,1337715,214,214,3,1,26,1337152
1,893116,244,244,3,1,22,892445
1,102031,0,0,4,0,2,101630
0,460277,288,288,4,0,28,459570
1,542828,295,295,4,0,10,542232
1,2082607,35,35,4,0,28,2081918
1,632235,86,86,4,0,27,631654
0,253563,292,292,4,0,16,252895
0,1069989,196,196,4,0,28,1069351
1,54130,401,401,4,0,94,53294
1,225709,69,69,3,1,14,225092
0,2016292,331,331,4,0,27,2015537
0,55031,270,270,4,0,76,54300
1,42738,393,393,4,0,92,42403
1,698962,97,97,4,0,28,698387
1,930600,247,247,4,0,22,929947
0,510533,431,431,4,0,5,509916
1,1653046,113,113,4,0,28,1652444
0,602022,163,163,4,0,4,601444
0,9693,361,361,4,0,83,9067
0,325661,372,372,4,0,16,325122
1,57983,62,62,4,0,59,57381
0,482096,259,259,4,0,16,481446
0,152203,403,403,4,0,94,151562
1,7816,170,170,4,0,67,6941
0,459742,255,255,4,0,16,459083
1,8984,261,261,4,0,72,8412
0,285006,251,251,4,0,16,284026
0,786,374,374,4,0,84,88
0,521226,211,211,4,0,6,520573
1,1896,260,260,4,0,72,1198
0,423275,206,206,4,0,23,422700
0,297265,228,228,4,0,3,296609
0,413954,418,418,4,0,28,413337
1,10738,166,166,4,0,66,10142
0,410431,183,183,4,0,15,409799
1,717564,274,274,4,0,27,716974
0,497547,257,257,4,0,16,496699
1,2021354,36,36,4,0,28,2020752
0,22510,54,54,3,1,42,21845
0,12963,343,343,4,0,78,12349
1,1279824,191,191,4,0,28,1279111
1,2090413,219,219,3,1,27,2089832
1,203566,70,70,2,0,14,203195
1,641268,240,240,4,0,10,640657
1,1773473,336,336,3,1,28,1772775
1,537100,296,296,4,0,10,536468
1,3185,164,164,4,0,65,2544
1,1094415,321,321,4,0,28,1093786
0,567898,124,124,2,0,19,567485
0,4704,233,233,4,0,70,4066
0,55203,81,81,4,0,14,54550
0,288418,227,227,4,0,3,287768
0,165971,18,18,4,0,9,165327
1,627125,85,85,4,0,11,626559
0,1646736,217,217,4,0,26,1646206
1,11303,50,50,4,0,56,10641
1,661517,1,1,4,0,10,660867
