Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
1,9580,198,198,1,1,38,79,6749
0,428427,86,86,3,0,82,20,425755
1,1096585,236,236,2,0,100,31,1093946
0,810651,170,170,2,0,124,22,808318
0,12594,151,151,2,0,46,76,9967
1,9089,218,218,2,0,24,85,6579
0,45075,123,123,1,1,26,72,42286
1,1611964,99,99,1,1,81,30,1609262
0,1828534,106,106,2,0,84,31,1825916
1,483376,95,95,2,0,107,24,480707
0,1865809,104,104,2,0,73,31,1862957
0,139709,255,255,2,0,89,1,138117
0,404584,117,117,2,0,91,22,402206
0,1731005,192,192,3,0,9,29,1728183
1,2060220,185,185,2,0,100,31,2057611
0,255561,16,16,1,1,39,23,253126
1,12158,9,9,2,0,54,43,9363
0,21771,82,82,2,0,46,64,19363
0,506933,17,17,3,0,71,23,504105
0,465591,163,163,2,0,112,15,462814
0,262330,245,245,2,0,82,6,259847
0,579976,259,259,2,0,86,15,577358
1,16377,145,145,2,0,46,74,13513
1,199898,34,34,1,1,92,19,197364
0,1633076,188,188,1,1,29,31,1630521
0,602587,40,40,2,0,84,31,600077
0,768058,74,74,2,0,71,23,765323
1,1129346,169,169,2,0,61,32,1126764
0,20976,55,55,2,0,10,46,18310
0,5331,150,150,2,0,97,75,2932
1,204433,60,60,2,0,45,14,201761
0,1825289,189,189,2,0,61,32,1822929
0,700388,13,13,2,0,106,15,697620
1,6553,119,119,2,0,62,68,4166
0,1169591,224,224,3,0,107,24,1166769
1,13678,156,156,2,0,17,3,10931
0,468388,66,66,3,0,79,6,465485
0,476059,149,149,1,1,103,5,473501
0,1251196,182,182,2,0,120,30,1248512
1,1015945,209,209,2,0,71,23,1013150
1,1147282,168,168,2,0,61,32,1144757
1,721934,73,73,2,0,35,23,719244
0,1582479,187,187,1,1,95,31,1579936
1,221070,140,140,2,0,84,9,218443
1,218715,53,53,2,0,70,17,215884
0,11062,3,3,2,0,36,39,8450
1,1570228,98,98,5,0,41,30,1568267
0,308185,63,63,1,1,87,23,306188
0,546370,44,44,2,0,94,8,543824
0,410579,135,135,2,0,18,16,407808
0,57145,54,54,3,0,90,46,54284
0,849988,206,206,2,0,79,23,847319
0,408107,15,15,1,1,24,5,405750
1,60414,228,228,2,0,14,87,57859
1,1007699,207,207,2,0,71,23,1005114
1,7898,8,8,2,0,63,42,5274
0,245264,46,46,2,0,2,0,242583
0,4732,122,122,2,0,97,71,2051
0,21506,56,56,2,0,97,62,18858
1,23129,125,125,3,0,97,73,20358
0,472189,68,68,2,0,49,18,469499
0,1014233,133,133,1,1,29,31,1011738
0,34218,57,57,2,0,97,62,31414
1,2102129,101,101,2,0,100,31,2099463
1,82609,137,137,3,0,42,19,79808
0,1317329,97,97,2,0,85,30,1314768
1,396615,252,252,1,1,11,18,394090
1,565683,139,139,2,0,116,6,563344
1,10603,5,5,3,0,1,40,7772
1,460231,148,148,2,0,25,13,457457
0,276688,211,211,1,1,95,24,274223
0,652210,94,94,2,0,13,8,649424
1,10893,89,89,2,0,59,33,8359
1,4709,29,29,2,0,51,57,2067
0,119436,257,257,2,0,15,2,116878
1,14331,231,231,2,0,25,88,11776
1,1650945,10,10,2,0,127,31,1648582
0,7054,121,121,2,0,51,70,4541
1,456596,14,14,2,0,37,5,453903
1,3590,212,212,2,0,30,82,942
0,1816759,191,191,2,0,111,32,1814429
1,2010450,108,108,2,0,112,32,2008033
1,529696,177,177,2,0,65,1,526820
0,280853,61,61,2,0,129,23,278046
1,423886,64,64,2,0,116,6,421607
1,408724,138,138,1,1,32,35,406415
0,1036042,116,116,2,0,123,25,1033382
0,25731,7,7,3,0,57,41,22858
0,35248,49,49,2,0,97,61,32438
1,2099,1,1,5,0,126,37,3
0,903444,114,114,1,1,48,23,900637
1,559805,147,147,1,1,91,13,557001
1,2171498,184,184,2,0,100,31,2169063
0,817323,76,76,2,0,71,23,814468
1,35322,193,193,2,0,62,77,32611
0,585177,205,205,3,0,23,23,582301
1,41459,220,220,3,0,107,86,38613
0,584285,176,176,0,0,22,1,581721
0,421319,161,161,2,0,128,15,418704
0,16042,110,110,3,0,51,67,13142
1,629809,112,112,3,0,7,13,627020
1,596823,93,93,2,0,118,8,594229
0,71558,154,154,1,1,76,3,69066
0,1115182,221,221,2,0,77,24,1112378
0,556640,254,254,2,0,96,7,553878
0,22835,146,146,2,0,97,74,20457
0,65602,23,23,2,0,46,54,62846
0,321121,172,172,2,0,95,32,318503
1,3099,83,83,2,0,51,65,313
1,2201057,52,52,2,0,111,32,2198634
0,1882048,103,103,1,1,117,31,1879670
0,2065088,100,100,1,1,29,31,2062416
1,8030,144,144,2,0,51,74,5538
1,54570,26,26,3,0,55,44,51787
1,12466,230,230,2,0,101,87,9926
0,1745786,11,11,2,0,73,31,1743231
0,1189938,226,226,2,0,108,24,1187140
1,580806,92,92,5,0,83,8,578836
1,565358,81,81,2,0,111,32,563163
1,935144,130,130,2,0,84,31,932427
1,7331,90,90,3,0,60,48,4482
1,167573,35,35,3,0,28,19,164778
1,249052,70,70,2,0,4,9,246272
1,344245,12,12,2,0,98,0,341906
1,194602,250,250,3,0,84,9,191840
0,546874,142,142,2,0,105,15,544250
0,1851640,105,105,2,0,80,31,1848668
1,450835,65,65,2,0,116,6,448496
0,14547,19,19,2,0,46,52,12235
0,425184,136,136,2,0,53,16,422410
1,237391,69,69,2,0,21,9,234584
0,7271,21,21,2,0,97,53,4884
0,3982,0,0,2,0,69,36,1541
1,21057,155,155,2,0,43,3,18763
0,399549,240,240,2,0,53,16,396772
0,11601,38,38,2,0,51,59,9187
1,175571,91,91,2,0,102,28,172800
0,110238,229,229,3,0,99,87,107374
0,783613,75,75,2,0,35,23,780839
1,8573,216,216,2,0,64,84,6039
1,7513,2,2,2,0,125,38,4757
1,191757,113,113,2,0,58,10,188965
1,205713,248,248,2,0,20,9,202903
1,1484951,183,183,3,0,45,30,1482129
1,880730,132,132,2,0,40,31,877992
1,12861,242,242,2,0,108,89,10087
0,763632,128,128,2,0,73,31,761305
1,1152001,181,181,1,1,109,30,1149578
0,171302,232,232,4,0,13,12,169443
1,187696,249,249,2,0,16,9,185057
1,2180588,51,51,2,0,56,32,2178147
1,17047,36,36,2,0,104,45,14579
0,222070,179,179,2,0,66,5,219359
0,1181628,225,225,2,0,77,24,1179322
1,2776,47,47,1,1,12,61,113
1,950785,131,131,2,0,40,31,948302
0,8596,124,124,2,0,51,72,5819
0,24923,59,59,2,0,19,47,22032
0,42017,201,201,1,1,50,81,39222
0,1200167,195,195,2,0,35,23,1197396
0,696919,71,71,2,0,23,23,694046
0,316755,118,118,1,1,93,24,314314
0,428401,67,67,2,0,75,18,425663
0,388287,241,241,2,0,115,16,385492
0,2113696,50,50,1,1,29,31,2111357
0,272153,62,62,2,0,71,23,269451
1,22052,243,243,2,0,9,90,19278
0,198843,126,126,2,0,78,5,196225
1,775880,129,129,2,0,80,31,773208
0,432436,159,159,1,1,61,15,429818
1,180486,33,33,2,0,42,19,177754
1,11536,31,31,2,0,51,58,9554
0,15093,157,157,3,0,130,19,12226
