Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,442799,201,201,48,1,23,439932,1
0,0,1695278,10,10,40,2,28,1692543,1
0,0,700388,17,17,105,2,15,697620,0
1,0,18963,48,48,41,1,57,16273,1
0,0,8092,214,214,43,2,80,5759,0
1,0,13979,197,197,0,1,77,11352,1
0,0,1045611,208,208,70,3,23,1042786,0
0,0,2542,90,90,97,4,63,2,0
0,0,1061168,115,115,70,4,23,1059124,0
0,0,7331,97,97,60,3,46,4482,1
0,0,10893,96,96,59,2,31,8359,1
0,0,1966199,107,107,39,2,29,1963551,1
0,0,585177,204,204,22,3,23,582301,0
0,0,475012,143,143,112,2,7,472298,0
0,0,1314205,95,95,110,2,30,1311887,0
0,0,1096585,235,235,100,2,29,1093946,1
1,0,9580,196,196,37,1,76,6749,1
0,0,50888,152,152,52,2,20,48174,1
0,0,1062895,234,234,84,2,29,1060310,1
0,0,758419,50,50,21,2,21,756089,0
0,0,12594,151,151,46,2,73,9967,0
0,0,9089,217,217,23,2,82,6579,1
0,0,23046,127,127,97,3,70,20260,0
1,0,1578209,104,104,108,1,28,1575672,1
0,0,1818146,112,112,100,2,29,1815771,0
0,0,466038,176,176,64,2,24,463714,0
0,0,1851640,110,110,79,2,29,1848668,0
0,0,139709,253,253,89,2,1,138117,0
1,0,290907,120,120,18,1,21,288478,0
0,0,1171520,43,43,8,2,27,1169280,1
0,0,2047179,184,184,79,2,29,2044399,1
0,0,800723,165,165,3,2,22,798375,0
0,0,7898,13,13,63,2,40,5274,1
0,0,9867,66,66,97,2,61,7462,0
0,0,488327,203,203,22,3,23,485541,0
0,0,454333,158,158,105,2,15,451748,0
0,0,262330,243,243,82,2,6,259847,0
0,0,568854,259,259,104,2,15,566233,0
0,0,8030,145,145,51,2,72,5538,1
0,0,180486,39,39,42,2,19,177754,1
0,0,1596686,185,185,39,2,29,1594209,0
0,0,301826,242,242,88,2,29,299487,0
0,0,736453,84,84,70,3,23,733583,0
0,0,1006971,2,2,80,5,30,1005142,0
1,0,34183,42,42,33,1,43,31349,1
0,0,22835,147,147,97,2,72,20457,0
0,0,629809,116,116,6,3,13,627020,1
0,0,1816759,189,189,110,2,30,1814429,0
1,0,590672,258,258,61,1,15,588504,0
0,0,16042,114,114,51,3,65,13142,0
0,0,1152306,222,222,114,2,24,1149583,0
0,0,13678,156,156,16,2,3,10931,1
0,0,468388,73,73,78,3,6,465485,0
1,0,476059,150,150,102,1,5,473501,0
1,0,1152001,179,179,108,1,28,1149578,1
0,0,1007699,206,206,70,2,23,1005114,1
0,0,1129346,169,169,61,2,30,1126764,1
0,0,696919,78,78,22,2,23,694046,0
0,0,1156973,236,236,30,2,29,1154469,0
0,0,221070,142,142,84,2,9,218443,1
0,0,463778,85,85,34,2,16,460986,0
0,0,7513,6,6,122,2,36,4757,1
0,0,1553361,181,181,40,2,28,1550629,1
0,0,280853,69,69,126,2,23,278046,0
0,0,546370,51,51,94,2,8,543824,0
0,0,399549,238,238,54,2,16,396772,0
0,0,20976,62,62,9,2,44,18310,0
0,0,817323,83,83,70,2,23,814468,0
1,0,408107,19,19,23,1,5,405750,0
0,0,60414,227,227,13,2,84,57859,1
0,0,988200,207,207,33,2,23,985546,1
0,0,25731,12,12,57,3,39,22858,0
0,0,245264,53,53,2,2,0,242583,0
0,0,7054,125,125,51,2,68,4541,0
0,0,35248,56,56,97,2,59,32438,0
1,0,45075,128,128,25,1,70,42286,0
0,0,428401,74,74,74,2,18,425663,0
0,0,950785,135,135,39,2,29,948302,1
0,0,21506,64,64,97,2,60,18858,0
1,0,2065088,105,105,28,1,29,2062416,0
0,0,15093,157,157,127,3,19,12226,0
0,0,1251196,180,180,119,2,28,1248512,0
0,0,352788,249,249,109,2,18,350182,1
0,0,565683,141,141,115,2,6,563344,1
0,0,11062,7,7,35,2,37,8450,0
0,0,212927,0,0,24,5,13,211077,1
0,0,1200167,193,193,33,2,23,1197396,0
0,0,652210,100,100,12,2,8,649424,0
0,0,2201057,59,59,110,2,30,2198634,1
0,0,16153,34,34,46,2,54,13502,0
0,0,119436,255,255,14,2,2,116878,0
0,0,14331,230,230,24,2,85,11776,1
1,0,1633076,186,186,28,1,29,1630521,0
0,0,9383,124,124,97,2,67,6849,1
0,0,456596,18,18,36,2,5,453903,1
0,0,3590,211,211,29,2,79,942,1
0,0,1757922,188,188,32,2,30,1755496,1
0,0,1984371,187,187,61,2,30,1981915,0
0,0,529696,175,175,65,2,1,526820,1
0,0,272153,70,70,70,2,23,269451,0
0,0,423886,71,71,115,2,6,421607,1
0,0,379418,170,170,52,2,32,376740,1
0,0,1189938,225,225,107,2,24,1187140,0
0,0,10603,9,9,1,3,38,7772,1
0,0,25495,55,55,97,2,59,22811,0
0,0,3982,4,4,68,2,34,1541,0
0,0,867065,118,118,70,2,23,864531,0
0,0,460231,149,149,24,2,13,457457,1
1,0,2113696,57,57,28,1,29,2111357,0
0,0,783613,82,82,33,2,23,780839,0
0,0,35322,191,191,62,2,74,32611,1
0,0,506933,23,23,70,3,23,504105,0
0,0,41459,219,219,106,3,83,38613,1
0,0,584285,174,174,21,0,1,581721,0
0,0,404953,161,161,86,2,15,402317,0
0,0,3012,93,93,51,3,64,175,0
1,0,574686,148,148,91,1,13,571897,1
0,0,596823,99,99,117,2,8,594229,1
1,0,71558,154,154,75,1,3,69066,0
0,0,1102343,226,226,76,2,24,1099539,0
0,0,556640,252,252,96,2,7,553878,0
0,0,16377,146,146,46,2,72,13513,1
1,0,17633,26,26,64,1,51,14982,0
0,0,2171498,182,182,100,2,29,2169063,1
0,0,21771,89,89,46,2,62,19363,0
0,0,2180588,58,58,56,2,30,2178147,1
0,0,1865809,109,109,72,2,29,1862957,0
0,0,2060220,183,183,100,2,29,2057611,1
0,0,23129,129,129,97,3,71,20358,1
0,0,33755,31,31,55,2,42,30969,0
0,0,12466,229,229,101,2,84,9926,1
0,0,1650945,14,14,124,2,29,1648582,1
0,0,1181628,224,224,76,2,24,1179322,0
0,0,580806,98,98,83,5,8,578836,1
0,0,321121,171,171,95,2,30,318503,0
0,0,880730,136,136,39,2,29,877992,1
1,0,37975,67,67,116,1,45,35192,0
0,0,156435,38,38,84,3,19,153649,1
0,0,249052,77,77,3,2,9,246272,1
0,0,344245,16,16,98,2,0,341906,1
0,0,194602,248,248,84,3,9,191840,1
0,0,536061,256,256,86,2,15,533287,0
0,0,1828534,111,111,84,2,29,1825916,0
0,0,450835,72,72,115,2,6,448496,1
0,0,7162,24,24,46,2,49,4697,0
0,0,417885,139,139,53,2,16,415123,0
0,0,237391,76,76,20,2,9,234584,1
0,0,14547,25,25,46,2,50,12235,0
0,0,1983,1,1,4,5,33,1,1
0,0,21057,155,155,43,2,3,18763,1
0,0,388287,239,239,114,2,16,385492,0
0,0,69594,36,36,46,2,56,66700,0
0,0,185153,28,28,127,2,26,182502,0
0,0,110238,228,228,99,3,84,107374,0
0,0,768058,81,81,70,2,23,765323,0
0,0,8573,215,215,64,2,81,6039,1
0,0,2099,5,5,123,5,35,3,1
0,0,191757,117,117,58,2,10,188965,1
0,0,205713,246,246,19,2,9,202903,1
0,0,1409461,103,103,33,3,28,1406588,1
0,0,775880,133,133,79,2,29,773208,1
0,0,12861,240,240,107,2,86,10087,1
0,0,735391,131,131,72,2,29,733043,0
0,0,1731005,190,190,8,3,27,1728183,0
0,0,171302,231,231,12,4,12,169443,0
0,0,187696,247,247,15,2,9,185057,1
0,0,2050620,21,21,110,2,30,2048281,1
0,0,54570,32,32,55,3,42,51787,1
0,0,222070,177,177,66,2,5,219359,0
0,0,1169591,223,223,106,3,24,1166769,0
0,0,14845,52,52,51,3,58,11996,0
0,0,935144,134,134,84,2,29,932427,1
0,0,4732,126,126,97,2,69,2051,0
0,0,63923,61,61,90,2,44,61338,0
1,0,42017,199,199,49,1,78,39222,0
1,0,1150558,192,192,87,1,23,1147775,1
0,0,665447,79,79,22,3,23,662586,1
1,0,276688,210,210,95,1,24,274223,0
1,0,396615,250,250,10,1,18,394090,1
0,0,381075,237,237,17,2,16,378301,0
0,0,2102129,106,106,100,2,29,2099463,1
1,0,255561,22,22,38,1,23,253126,0
0,0,22052,241,241,8,2,87,19278,1
0,0,198843,130,130,77,2,5,196225,0
0,0,763632,132,132,72,2,29,761305,0
0,0,421319,160,160,125,2,15,418704,0
0,0,167573,41,41,27,3,19,164778,1
0,0,4709,35,35,51,2,55,2067,1
1,0,597333,3,3,10,1,18,595705,1
