Strand_Orientation,Orthologous_Gene_Id,Chromosome_Id,Genomic_Start_Position,Gene_Type,Encoded_Protein,Gene_Db_Id,Gene_Id,Genomic_End_Position
0,64,6,514617,0,4,210,210,515441
1,153,28,1117975,0,4,322,322,1118634
0,9,3,347313,1,3,17,17,347837
0,158,3,250097,0,4,326,326,250738
1,167,34,1004,0,4,3,3,1579
0,115,7,569783,0,4,76,76,570400
0,113,22,543658,1,1,148,148,544317
0,131,76,51491,0,4,269,269,52129
1,31,86,18480,1,3,381,381,19103
0,38,73,4128,0,4,262,262,4829
1,6,10,598996,0,4,237,237,599763
0,134,16,430509,0,4,12,12,430625
1,48,27,1142287,0,4,410,410,1142859
0,82,3,338926,0,4,229,229,339516
1,13,26,1412725,0,4,213,213,1413348
1,68,27,1065931,0,4,406,406,1066542
0,20,79,15015,0,4,346,346,15668
1,151,1,5874,0,4,307,307,6518
1,31,14,25487,0,4,309,309,26110
1,146,4,503911,1,3,428,428,504309
1,169,22,610288,0,4,368,368,610947
0,123,27,1934724,0,4,220,220,1935320
0,144,3,216122,0,4,325,325,216763
1,109,4,587969,1,3,159,159,588625
0,63,31,415541,0,4,384,384,416038
1,79,0,462885,1,3,101,101,463493
1,154,92,13402,0,4,395,395,14001
0,81,22,275592,0,4,138,138,276224
1,92,6,601643,0,4,323,323,602338
1,87,91,1489,0,2,390,390,1845
0,25,12,314181,0,4,123,123,314714
0,27,28,1472456,0,4,87,87,1473130
1,101,27,1099440,0,4,408,408,1100102
0,111,3,444042,0,4,31,31,444695
0,150,88,41594,0,4,387,387,42175
0,42,62,8539,0,4,129,129,9261
0,158,3,382086,0,4,57,57,382637
1,121,1,34388,0,4,306,306,35038
0,23,16,409331,0,4,252,252,410050
1,105,81,12661,1,3,351,351,13194
1,54,11,640880,0,4,83,83,641578
1,97,4,319437,0,4,423,423,320021
0,159,15,69732,0,4,303,303,70385
0,148,87,2228,0,4,385,385,2893
1,53,14,35462,0,4,19,19,36160
1,64,13,627354,1,3,186,186,628319
0,118,27,978390,1,1,280,280,978860
0,99,17,287506,0,4,176,176,288480
0,134,16,331098,0,4,155,155,331967
0,164,22,467418,0,4,366,366,467996
0,124,21,1344239,0,4,201,201,1344856
0,98,14,339536,0,4,414,414,340144
0,21,17,217234,0,4,168,168,218124
0,42,56,16375,0,4,48,48,17055
1,67,48,204,0,4,289,289,1049
1,58,22,789061,0,4,153,153,789660
1,170,27,854569,0,4,23,23,855201
1,72,36,3,0,5,10,10,281
0,52,78,15472,0,4,344,344,16035
1,31,14,301183,0,4,283,283,301818
1,72,36,5631,0,4,11,11,6125
0,115,7,578253,0,4,77,77,578960
0,151,27,1664528,0,4,29,29,1665163
1,118,22,537880,0,4,147,147,538452
0,46,16,277617,0,4,248,248,278450
0,134,16,472107,0,4,258,258,473006
0,127,66,15977,0,4,167,167,16573
0,0,44,691,0,4,125,125,1236
1,161,28,2152117,0,4,106,106,2152710
0,132,16,750414,0,4,203,203,750998
1,42,10,497083,0,4,299,299,497850
1,54,11,652923,0,4,84,84,653543
0,17,28,729363,0,4,96,96,729959
1,98,14,350453,0,2,415,415,350824
1,6,10,583626,0,4,134,134,584282
0,47,14,425384,0,2,143,143,425782
0,39,26,1182499,0,4,328,328,1183104
0,49,94,160181,0,4,404,404,160801
0,102,60,10210,1,3,104,104,10872
1,45,30,411981,0,4,285,285,412598
1,42,10,513441,0,4,298,298,514088
1,6,10,666332,0,4,4,4,667099
0,120,16,243556,0,4,293,293,244449
0,23,16,222562,0,4,294,294,223254
0,99,17,259935,0,4,178,178,260483
0,161,28,1077559,0,4,195,195,1078119
1,6,10,197730,0,4,42,42,198335
1,161,28,1242540,0,4,189,189,1243238
0,139,23,1108595,0,4,399,399,1109266
0,155,89,5628,0,4,388,388,6197
1,56,14,38181,0,4,79,79,38888
0,69,27,2159390,0,4,329,329,2159962
0,161,28,1420101,0,4,91,91,1420673
1,73,29,388043,0,2,197,197,388432
0,127,58,70109,0,4,59,59,70633
0,126,49,10535,0,4,375,375,11230
1,12,27,672981,0,4,187,187,673589
0,137,28,1677395,0,4,118,118,1677970
0,22,50,5141,0,4,376,376,5761
0,48,27,1874526,0,4,223,223,1875155
1,136,4,310645,0,4,422,422,311313
1,98,14,273715,0,4,174,174,274287
0,5,23,432955,0,4,208,208,433446
1,150,88,35961,0,4,386,386,36542
0,64,6,540331,0,4,103,103,541203
1,25,12,374536,0,4,122,122,375081
1,48,27,1133424,0,4,409,409,1134002
1,75,28,1480762,0,4,93,93,1481322
0,130,26,1260970,1,3,327,327,1261581
1,34,33,1236,0,4,6,6,1739
0,31,14,404699,0,4,142,142,405277
1,84,26,1580900,0,4,218,218,1581481
1,29,48,1612,0,4,290,290,2442
1,97,4,327337,0,4,424,424,327963
0,17,28,1410949,0,4,21,21,1411596
0,21,17,252442,0,4,179,179,253089
0,60,27,896894,0,4,277,277,897457
1,56,14,358038,0,2,282,282,358436
1,127,55,11081,0,2,47,47,11470
1,98,14,370350,0,4,281,281,371048
0,57,28,1942577,0,4,9,9,1943209
1,127,77,6853,0,4,273,273,7470
1,47,14,75574,0,4,284,284,76266
1,16,38,20602,0,4,14,14,21243
1,6,10,605367,0,4,243,243,605996
0,98,14,331510,0,4,412,412,332148
0,113,22,844098,1,3,369,369,844685
1,34,27,1789544,0,4,224,224,1790185
1,15,10,617066,0,4,238,238,617680
0,76,56,58891,0,4,49,49,59685
0,69,27,1590720,0,4,333,333,1591262
0,22,83,31012,0,4,358,358,31626
0,31,14,67067,0,4,416,416,67780
0,23,16,424565,0,4,253,253,425359
0,99,17,281250,0,4,180,180,281837
0,74,22,1169145,0,4,349,349,1169771
0,57,28,1199621,0,4,315,315,1200244
0,152,92,18276,0,4,391,391,18926
1,96,28,2114982,0,4,25,25,2115566
1,96,28,1109041,0,4,319,319,1109679
1,42,57,987,0,4,51,51,1559
1,161,28,394403,0,4,41,41,395098
0,7,14,128075,0,2,417,417,128464
1,57,28,1138561,0,4,318,318,1139142
0,55,22,384969,1,3,20,20,385637
1,42,67,512,0,4,169,169,1348
0,88,20,567310,0,2,382,382,567879
1,98,14,190256,0,4,66,66,190891
1,42,68,3085,0,4,198,198,3660
0,166,28,1001410,0,4,95,95,1001979
0,121,28,1671336,1,3,119,119,1671935
1,144,46,2760,0,4,165,165,3008
0,156,80,17072,0,4,350,350,17644
0,10,30,392783,0,4,286,286,393310
0,75,28,1024453,0,4,194,194,1025055
0,123,27,1610868,0,4,332,332,1611491
1,140,37,10434,0,4,13,13,11006
0,57,28,1840178,0,4,110,110,1840810
1,57,28,1181541,0,4,316,316,1182146
1,25,12,376496,0,4,364,364,377041
0,110,16,388676,0,4,254,254,389569
1,96,28,1235211,0,2,190,190,1235855
0,147,28,1806064,0,4,339,339,1806636
0,42,57,6641,0,4,53,53,7249
0,96,28,451995,0,4,287,287,452612
0,31,14,410251,0,2,144,144,410649
0,163,32,531,0,4,2,2,1121
0,55,22,689434,1,3,150,150,690105
0,149,79,7151,0,2,345,345,7534
0,101,50,14272,0,4,378,378,14571
0,23,16,237338,0,4,291,291,237931
0,96,28,621803,0,4,26,26,622513
0,31,14,252897,0,4,172,172,253619
0,21,17,243160,0,4,182,182,244194
0,5,23,1175530,0,4,400,400,1176204
1,77,22,668282,0,4,151,151,668902
1,56,14,22609,0,2,308,308,22995
1,31,14,46335,0,4,80,80,47042
1,42,69,6140,0,4,232,232,6670
1,116,22,461563,0,4,365,365,462219
0,76,62,750,0,2,128,128,1079
1,147,28,1784156,0,4,335,335,1784731
0,166,28,1391459,0,4,311,311,1392058
1,31,14,170208,0,4,68,68,170789
1,65,93,44119,1,3,396,396,44727
0,101,27,916954,0,4,278,278,917604
0,42,75,6638,0,4,266,266,7294
0,76,63,8734,0,2,132,132,9111
1,59,11,632488,0,4,82,82,633393
0,36,40,2211,0,4,16,16,2852
0,75,28,1609563,0,4,115,115,1610144
1,53,14,218985,0,4,71,71,219644
1,32,35,262,0,4,5,5,873
0,97,4,462006,0,4,141,141,462632
0,87,85,1054,0,4,379,379,1707
0,78,7,554104,0,4,78,78,555039
1,41,27,891058,1,1,276,276,891600
1,6,10,522417,0,4,297,297,522983
0,164,22,897068,0,4,245,245,897652
0,110,16,444747,0,4,135,135,445439
0,4,50,8245,0,4,377,377,8892
0,85,15,406639,0,4,185,185,407298
1,112,2,95094,0,4,64,64,95645
1,97,4,296102,0,4,421,421,296809
1,144,3,438168,0,4,32,32,438791
0,134,16,295724,0,4,249,249,296422
1,98,14,311224,0,2,413,413,311595
0,131,58,22523,0,2,58,58,22912
1,66,43,19953,0,4,74,74,20624
0,169,22,261515,0,4,37,37,262228
1,15,10,602248,0,4,242,242,603114
0,136,4,610333,0,4,158,158,610905
0,1,22,861431,1,3,246,246,862102
1,128,41,9376,0,4,33,33,9993
1,17,28,1447573,0,4,89,89,1448091
1,94,47,11959,0,4,200,200,12594
0,26,16,367096,0,4,156,156,367683
0,127,53,27344,0,4,44,44,28027
0,97,4,406078,0,4,140,140,406686
0,127,76,31979,0,4,267,267,32545
0,108,52,10828,1,3,40,40,11424
0,2,17,464038,0,4,355,355,465000
1,118,27,873739,1,3,279,279,874302
1,96,28,1570405,0,4,121,121,1570983
0,119,23,455483,0,4,324,324,456160
0,165,63,27985,1,3,130,130,28680
0,3,0,478315,0,4,102,102,478938
1,14,23,494134,0,4,205,205,494817
0,40,79,21193,0,4,347,347,21792
1,6,10,648745,0,4,241,241,649380
0,55,22,498789,1,3,367,367,499409
0,131,71,21079,0,4,235,235,21840
0,162,19,550740,0,2,231,231,551183
0,37,93,52718,0,5,398,398,53116
0,46,16,302005,0,4,250,250,302673
1,95,10,632827,0,2,239,239,633183
0,34,27,1148204,0,4,411,411,1148872
0,71,20,547909,0,2,145,145,548259
1,83,6,626603,0,4,100,100,627298
1,97,4,554545,0,4,429,429,555039
0,136,4,268954,0,4,420,420,269583
0,91,26,1586741,0,4,215,215,1587490
1,57,28,1059636,0,4,192,192,1060193
0,21,17,265723,0,4,177,177,266589
0,52,78,21179,0,4,341,341,21892
1,158,3,400036,0,4,56,56,400683
0,127,53,11139,0,4,45,45,11825
1,116,22,563632,0,4,149,149,564291
1,21,25,1721857,0,4,340,340,1722444
0,17,28,1870641,0,4,109,109,1871216
1,170,27,1080440,0,4,407,407,1081012
0,23,16,216745,0,4,22,22,217404
1,96,28,2130250,0,4,105,105,2130876
1,76,71,4696,0,4,236,236,5418
0,98,14,266226,0,4,175,175,266951
0,64,6,642618,0,4,202,202,643220
1,31,14,237978,0,4,173,173,238595
1,47,14,173294,0,4,65,65,174019
1,148,92,32910,0,4,392,392,33533
0,121,1,65685,0,4,305,305,66227
1,96,28,1037734,0,4,193,193,1038285
0,96,28,1298663,0,4,188,188,1299223
0,160,7,548651,0,4,75,75,549268
0,41,27,1738420,1,3,27,27,1738968
1,162,2,110344,0,5,157,157,110877
1,122,15,43754,1,3,304,304,44362
1,129,4,374682,0,4,426,426,375323
1,28,28,1893637,0,4,111,111,1894275
0,104,83,48349,0,4,359,359,48963
0,127,59,62859,0,4,63,63,63431
0,80,20,558976,0,2,146,146,559332
1,141,39,1330,1,3,15,15,1947
1,118,27,807330,1,3,24,24,807869
0,42,76,16593,0,4,271,271,17246
1,42,74,10975,0,4,264,264,11667
1,161,28,1191744,0,4,317,317,1192370
0,117,22,777242,0,4,152,152,777907
0,114,17,473496,0,4,356,356,474095
0,41,19,548190,0,2,230,230,548591
1,151,27,1654004,0,4,30,30,1654543
0,50,83,15231,0,4,362,362,15815
1,14,23,416753,0,4,207,207,417430
0,101,93,49587,0,4,397,397,50225
0,142,83,23259,0,4,363,363,23909
0,101,27,1885670,0,4,222,222,1886263
1,57,28,1439215,0,4,90,90,1439745
0,106,26,1627475,0,4,216,216,1628056
1,135,82,4736,0,4,352,352,5356
0,21,17,271798,0,4,181,181,272757
0,62,15,422386,0,4,184,184,422988
0,145,4,430704,0,4,427,427,431207
0,18,20,563114,0,2,94,94,563485
1,1,33,4241,0,4,7,7,4939
0,132,16,487683,0,4,256,256,488252
0,48,27,2140400,0,4,330,330,2141017
0,9,24,304515,0,4,373,373,305429
1,43,11,209840,1,3,137,137,210445
1,129,4,636250,0,4,161,161,636879
1,57,28,2102468,0,4,225,225,2103139
0,8,0,211245,0,5,419,419,211634
1,127,77,34262,0,4,272,272,34921
0,17,28,1578312,0,4,120,120,1578872
0,136,4,595866,0,4,162,162,596495
1,94,47,8904,0,4,199,199,9539
1,6,10,490859,0,4,300,300,491431
0,99,17,458125,0,4,354,354,458814
0,136,4,282588,0,4,425,425,283286
0,131,53,1279,0,4,43,43,1863
1,91,26,1306226,0,4,212,212,1306828
1,93,51,10110,0,2,38,38,10499
0,131,63,5888,0,2,131,131,6256
0,131,58,76545,0,4,60,60,77237
0,161,28,1685527,0,0,117,117,1685667
1,133,10,565864,0,4,301,301,566496
0,17,28,1211533,0,4,314,314,1212108
1,86,92,7124,0,4,394,394,8071
1,97,4,630704,0,4,160,160,631273
1,147,28,1356881,0,4,313,313,1357417
0,30,26,1337152,1,3,214,214,1337715
1,11,22,892445,1,3,244,244,893116
1,103,2,101630,0,4,0,0,102031
0,57,28,459570,0,4,288,288,460277
1,6,10,542232,0,4,295,295,542828
1,57,28,2081918,0,4,35,35,2082607
1,34,27,631654,0,4,86,86,632235
0,132,16,252895,0,4,292,292,253563
0,57,28,1069351,0,4,196,196,1069989
1,51,94,53294,0,4,401,401,54130
1,33,14,225092,1,3,69,69,225709
0,61,27,2015537,0,4,331,331,2016292
0,131,76,54300,0,4,270,270,55031
1,86,92,42403,0,4,393,393,42738
1,96,28,698387,0,4,97,97,698962
1,169,22,929947,0,4,247,247,930600
0,44,5,509916,0,4,431,431,510533
1,57,28,1652444,0,4,113,113,1653046
0,145,4,601444,0,4,163,163,602022
0,142,83,9067,0,4,361,361,9693
0,134,16,325122,0,4,372,372,325661
1,131,59,57381,0,4,62,62,57983
0,110,16,481446,0,4,259,259,482096
0,91,94,151562,0,4,403,403,152203
1,127,67,6941,0,4,170,170,7816
0,26,16,459083,0,4,255,255,459742
1,76,72,8412,0,4,261,261,8984
0,134,16,284026,0,4,251,251,285006
0,35,84,88,0,4,374,374,786
0,113,6,520573,0,4,211,211,521226
1,76,72,1198,0,4,260,260,1896
0,5,23,422700,0,4,206,206,423275
0,158,3,296609,0,4,228,228,297265
0,17,28,413337,0,4,418,418,413954
1,131,66,10142,0,4,166,166,10738
0,62,15,409799,0,4,183,183,410431
1,123,27,716974,0,4,274,274,717564
0,23,16,496699,0,4,257,257,497547
1,17,28,2020752,0,4,36,36,2021354
0,158,42,21845,1,3,54,54,22510
0,52,78,12349,0,4,343,343,12963
1,17,28,1279111,0,4,191,191,1279824
1,41,27,2089832,1,3,219,219,2090413
1,56,14,203195,0,2,70,70,203566
1,133,10,640657,0,4,240,240,641268
1,121,28,1772775,1,3,336,336,1773473
1,6,10,536468,0,4,296,296,537100
1,127,65,2544,0,4,164,164,3185
1,57,28,1093786,0,4,321,321,1094415
0,61,19,567485,0,2,124,124,567898
0,127,70,4066,0,4,233,233,4704
0,31,14,54550,0,4,81,81,55203
0,111,3,287768,0,4,227,227,288418
0,1,9,165327,0,4,18,18,165971
1,171,11,626559,0,4,85,85,627125
0,19,26,1646206,0,4,217,217,1646736
1,76,56,10641,0,4,50,50,11303
1,6,10,660867,0,4,1,1,661517
