Strand_Orientation,Orthologous_Gene_Id,Chromosome_Id,Genomic_Start_Position,Gene_Type,Encoded_Protein,Gene_Db_Id,Gene_Id,Genomic_End_Position
0,90,115,3,0,2,188,188,3341
0,75,91,2,0,2,73,73,5467
1,40,27,217409,0,1,36,36,225073
1,42,93,2,0,2,79,79,6046
0,125,26,600223,0,1,140,140,610602
0,78,18,541838,0,1,152,152,548110
0,48,68,3,0,1,117,117,8611
1,36,49,930293,0,1,89,89,940675
0,78,17,556376,1,3,202,202,566844
1,59,37,33702,0,1,26,26,39653
1,107,85,9304,0,1,55,55,19647
1,30,48,1136952,0,2,88,88,1142692
1,77,12,6891,0,1,68,68,17336
1,22,89,1,1,3,70,70,6309
0,43,86,3,0,1,63,63,6144
0,5,29,789632,0,1,186,186,796416
0,111,16,242332,0,1,210,210,252780
0,48,72,3,1,3,18,18,6275
1,11,65,3028,1,3,25,25,9243
0,63,10,222871,0,1,209,209,230403
0,46,18,628055,0,1,171,171,638425
1,105,32,26002,0,2,16,16,34341
0,126,92,3,1,3,78,78,5690
1,59,104,3,0,2,136,136,6239
0,66,67,36631,1,3,58,58,47046
0,47,49,1342479,0,1,107,107,1352921
0,103,18,531839,0,1,48,48,536745
0,135,46,1406220,1,3,8,8,1415129
1,0,57,43140,0,1,32,32,53597
0,81,77,2,0,1,31,31,6877
1,21,3,71676,0,1,162,162,82139
1,102,33,529028,0,2,114,114,534898
1,81,23,91272,0,2,80,80,97751
0,100,40,1018586,0,1,21,21,1028641
0,130,1,53935,0,1,98,98,64329
0,94,94,9420,0,1,83,83,19778
1,25,33,353619,0,1,57,57,364064
0,25,20,494255,0,1,103,103,501262
0,36,49,1431102,0,1,106,106,1441553
0,123,29,726108,1,3,224,224,736142
0,118,71,7759,0,1,17,17,18102
0,34,14,625292,0,1,96,96,635740
1,14,104,18715,0,1,137,137,29124
0,10,6,500484,0,1,220,220,510863
0,109,50,337195,0,1,84,84,347622
0,106,64,352,1,3,11,11,8750
1,48,106,2049,1,3,145,145,12299
0,91,33,765552,0,1,132,132,775910
0,45,31,418893,0,1,125,125,424985
1,41,30,5433,1,3,86,86,11317
1,108,38,478468,0,1,85,85,487135
0,1,22,646543,0,1,155,155,656937
0,8,31,396354,0,2,71,71,400877
0,48,7,480062,0,1,111,111,490459
1,123,10,178087,0,1,129,129,188433
1,13,24,24017,0,1,144,144,34480
1,76,31,71757,0,2,30,30,76316
1,104,39,11901,0,1,223,223,22220
0,63,10,497998,0,1,158,158,508446
1,22,50,17262,0,2,1,2,22907
1,58,28,61794,0,1,147,147,72152
1,125,119,1,0,1,194,194,7036
1,95,41,30431,1,3,92,92,40882
1,136,103,4479,1,3,135,135,14711
1,54,84,1,0,1,54,54,5905
1,57,113,1,1,3,177,177,8139
1,42,99,4680,1,3,122,122,15047
1,87,26,556752,0,1,143,143,563694
1,43,96,36289,0,1,99,99,46671
0,64,23,131411,0,2,50,50,138943
1,102,33,589645,0,1,180,180,600090
0,5,21,646334,0,1,87,87,656716
0,25,112,45617,0,1,175,175,56068
0,94,50,2360422,0,1,163,163,2370774
1,119,56,100946,0,1,19,19,107347
1,40,55,356759,1,3,60,60,364951
1,4,50,69342,1,3,207,207,79790
0,64,23,688299,0,1,82,82,698669
0,80,19,535076,0,1,221,221,545365
1,32,90,1,0,1,72,72,7213
1,6,101,1776,1,3,133,133,12287
0,127,11,566630,0,1,181,181,572820
1,55,49,1291027,0,1,104,104,1301475
1,139,58,43286,0,1,203,203,53674
0,45,105,1726,0,2,139,139,7785
0,44,47,1038856,0,1,59,59,1049310
0,33,38,892584,0,1,95,95,902706
1,29,48,926063,1,3,201,201,934030
1,131,33,27714,0,1,168,168,34912
0,81,30,675331,0,1,119,119,685626
1,69,76,2,0,2,29,29,5029
1,26,36,21127,0,1,75,75,31572
1,117,122,4158,0,1,204,204,12152
1,127,11,91621,0,1,45,45,102066
1,119,56,13649,0,1,52,52,19621
1,31,28,103,0,2,146,146,6015
1,62,33,561022,1,3,179,179,571446
0,35,114,3,1,3,184,184,9497
0,53,33,321641,0,1,166,166,332104
