Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,21,7838,214,1,135,7741,1
1,46,794,8,1,66,3,0
0,100,1231,13,0,73,899,1
1,74,51751,107,1,21,49106,0
1,91,2332647,198,1,54,2330257,0
1,73,114401,62,1,60,112584,1
1,91,41471,157,1,54,39177,1
1,21,1399795,23,1,46,1397420,0
1,61,6985,82,1,103,4031,1
1,30,46358,92,1,15,44298,1
1,109,1122061,145,1,42,1121249,0
1,15,535,6,1,65,1,0
1,122,11717,176,1,130,11061,0
1,108,629366,207,1,46,627348,0
1,129,34648,29,1,37,31775,1
1,1,56420,158,1,54,55923,1
1,133,42976,227,1,39,42014,1
1,33,2400,166,1,126,211,0
1,42,3058,138,1,120,647,0
1,76,33980,164,1,53,31590,1
1,56,358301,172,1,57,355485,0
0,110,202126,76,0,58,201683,0
1,59,83691,196,1,2,83233,1
1,127,33312,79,1,38,32212,1
1,125,393196,81,1,48,390821,1
1,85,368350,49,1,57,367493,0
1,7,23148,139,1,41,20869,1
1,38,877,16,1,76,2,0
1,40,1381,103,1,110,2,0
0,93,1130987,147,0,42,1130442,0
1,131,33975,34,1,26,32362,1
1,84,47107,231,1,13,46339,1
1,119,25397,152,1,27,23602,1
1,6,2035,128,1,118,1445,0
1,79,254233,180,1,35,251879,1
0,50,282,117,0,84,1,1
1,76,903359,160,1,53,902475,0
1,46,3364,170,1,128,1112,0
1,3,8634,59,1,98,6310,0
1,45,6051,110,1,83,3256,0
1,64,88109,218,1,24,87465,0
1,10,147,10,1,67,1,0
1,119,36817,150,1,27,35931,1
1,27,15156,24,1,78,14362,1
1,76,944659,161,1,53,941918,1
1,3,513917,236,1,5,513297,0
1,53,24472,188,1,14,23342,1
1,140,46075,232,1,13,44094,1
1,32,4117,224,1,47,1346,1
1,116,1991,178,1,131,321,1
1,26,7580,87,1,104,6150,1
1,1,317768,192,1,54,315381,0
0,55,581031,237,0,19,580762,0
1,58,783875,67,1,29,783721,0
1,41,929,17,1,74,492,0
1,139,6341,60,1,99,3546,0
1,134,28634,142,1,17,28311,1
1,123,392192,105,1,28,389835,0
0,60,2270,57,0,96,1968,1
0,22,17833,30,0,46,17345,1
1,73,609376,206,1,11,606950,0
1,14,2735,215,1,136,1362,1
1,108,1444050,22,1,46,1442287,0
1,36,6226,11,1,68,4295,0
1,81,481120,108,1,0,478592,0
1,39,215,5,1,117,3,0
1,68,2208,144,1,121,1,1
1,92,15743,205,1,31,15195,1
1,2,4959,100,1,109,2632,0
1,38,38673,90,1,105,38134,1
1,1,2184398,86,1,54,2181870,1
1,6,781276,167,1,30,779186,0
1,53,46181,183,1,14,45609,1
1,18,703894,114,1,22,701207,0
0,82,2029693,140,0,51,2028950,0
1,0,4564,44,1,92,2810,1
1,13,1582,12,1,70,692,1
1,65,3052,55,1,95,605,0
1,3,498493,235,1,5,497942,0
1,75,6017,220,1,138,3066,0
1,130,4965,125,1,116,2173,1
1,90,585603,189,1,12,583600,0
1,83,2706,88,1,82,1,1
1,15,89160,182,1,3,86623,1
1,8,88412,95,1,42,86619,1
1,84,101201,25,1,13,100433,1
1,118,6087,15,1,71,4936,1
1,76,1639600,197,1,53,1637255,0
1,129,1686,2,1,75,1,1
1,22,10351,177,1,131,7736,1
1,108,1338938,193,1,46,1337487,0
1,138,699100,71,1,23,696140,0
1,21,16367,31,1,46,13620,1
1,121,1153652,148,1,42,1152030,0
1,43,32383,201,1,133,29822,0
1,85,69602,83,1,4,68706,1
1,7,71222,127,1,25,69540,1
1,12,18217,118,1,114,15659,0
1,64,57820,33,1,24,56951,0
1,77,73875,210,1,17,71692,1
1,126,5666,169,1,127,3972,0
1,4,267665,225,1,53,267153,0
1,29,578251,163,1,16,576644,0
1,121,475584,96,1,42,473026,0
1,106,583,159,1,124,2,0
1,97,2783,38,1,80,909,1
1,6,67398,221,1,52,66466,1
1,16,453362,131,1,11,452610,0
1,28,11981,104,1,111,9216,0
1,99,915785,191,1,36,913926,0
1,131,772241,47,1,26,769332,0
1,49,228,18,1,74,1,0
0,34,2248,20,0,77,1520,1
1,30,74451,228,1,15,72187,1
1,127,3080,53,1,93,735,1
1,96,45115,202,1,134,42281,0
1,57,2190,98,1,108,1,1
1,19,922,9,1,67,412,0
1,126,521339,134,1,6,518895,0
1,134,612431,132,1,17,611934,0
1,1,750468,66,1,29,747616,0
1,80,24991,115,1,113,22313,0
0,75,1238,212,0,87,288,1
1,13,4197,149,1,122,3526,1
0,101,1066,0,0,69,947,1
1,76,1161359,93,1,53,1159086,0
1,134,63967,209,1,17,63425,1
1,15,8168,48,1,81,5343,0
1,70,1842055,208,1,49,1840004,0
1,107,40883,50,1,63,38052,1
1,25,9729,89,1,82,7402,1
1,2,17064,77,1,101,15238,0
1,59,521580,39,1,2,519241,0
1,104,814312,219,1,34,811961,0
1,67,34273,7,1,20,33176,1
1,106,58454,113,1,45,55821,1
1,29,504842,72,1,1,502038,0
1,106,26773,111,1,45,26201,1
1,17,856711,129,1,33,855554,0
1,142,112160,85,1,18,109194,0
1,131,752571,46,1,26,750136,0
0,117,1411,1,0,72,1097,0
1,84,630925,171,1,13,630173,0
0,120,795045,190,0,28,794215,0
0,72,587282,68,0,19,586959,0
1,5,617,54,1,94,1,0
1,126,478396,135,1,6,477242,0
1,120,822273,211,1,27,821002,0
1,113,28437,217,1,54,25624,1
1,122,4194,216,1,137,3232,0
1,21,957,168,1,46,103,1
1,88,13228,194,1,132,10472,1
1,48,1874,56,1,96,3,1
1,94,640440,116,1,20,637990,0
1,112,963,75,1,19,103,1
1,48,184333,74,1,56,183608,0
1,51,382722,101,1,62,380155,0
1,31,9773,226,1,139,7086,0
1,51,10829,80,1,62,8487,1
1,1,281858,154,1,54,279111,0
1,18,23155,185,1,22,22973,1
1,134,663276,133,1,17,662509,0
1,141,563,43,1,91,3,1
1,134,8610,78,1,102,7165,0
1,78,250640,173,1,9,247890,0
1,4,1020701,162,1,53,1018377,0
1,111,23344,165,1,125,21104,0
1,44,57748,51,1,63,55331,1
1,124,7904,97,1,107,5580,1
0,93,2011553,3,0,51,2010699,0
0,57,45867,21,0,44,45670,1
1,54,2033316,141,1,51,2030554,0
1,6,821170,99,1,30,818471,0
1,119,805101,143,1,27,802591,0
1,71,16756,28,1,79,15296,0
1,121,66037,94,1,42,63011,1
1,75,7310,233,1,140,4494,0
0,69,586872,179,0,8,586129,0
1,51,360854,45,1,62,358083,1
1,7,182518,42,1,25,180932,1
1,79,207218,120,1,35,204852,1
1,76,26957,137,1,119,26184,0
0,30,870832,52,0,32,869711,0
