Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,468817,295,295,4,10,467864
1,1243238,184,184,4,28,1242540
0,1176204,398,398,4,23,1175530
0,6197,386,386,4,89,5628
1,47042,78,78,4,14,46335
0,374682,40,40,4,28,374062
0,1420673,89,89,4,28,1420101
1,388432,192,192,2,29,388043
0,70633,57,57,4,58,70109
0,11230,373,373,4,49,10535
0,694973,306,306,4,27,694383
0,1677970,116,116,4,28,1677395
0,5761,374,374,4,50,5141
0,1886263,215,215,4,27,1885670
1,311313,421,421,4,4,310645
1,282372,171,171,4,14,281740
0,456160,320,320,4,23,455483
1,36542,384,384,4,88,35961
0,541203,101,101,4,6,540331
1,377041,362,362,4,12,376496
1,1142859,408,408,4,27,1142287
1,1481322,91,91,4,28,1480762
1,1306828,206,206,4,26,1306226
1,1739,5,5,4,33,1236
0,410649,138,138,2,14,410251
0,1587490,209,209,4,26,1586741
1,2442,283,283,4,48,1612
1,327963,423,423,4,4,327337
0,1411596,20,20,4,28,1410949
0,260483,175,175,4,17,259935
0,917604,272,272,4,27,916954
1,371048,275,275,4,14,370350
1,11470,45,45,2,55,11081
0,377176,139,139,4,14,376607
0,1943209,8,8,4,28,1942577
1,7470,267,267,4,77,6853
0,120884,33,33,2,14,120498
1,21243,14,14,4,38,20602
1,617680,231,231,4,10,617066
0,340144,412,412,4,14,339536
0,862102,240,240,3,22,861431
0,1875155,216,216,4,27,1874526
1,633183,232,232,2,10,632827
0,59685,47,47,4,56,58891
0,1611491,329,329,4,27,1610868
0,31626,356,356,4,83,31012
1,76266,277,277,4,14,75574
0,430625,12,12,4,16,430509
0,288480,173,173,4,17,287506
0,1187163,345,345,4,22,1186465
0,1200244,311,311,4,28,1199621
0,18926,389,389,4,92,18276
1,2115566,24,24,4,28,2114982
1,1109679,315,315,4,28,1109041
1,1559,49,49,4,57,987
0,413954,417,417,4,28,413337
1,159847,65,65,4,14,159101
1,1139142,314,314,4,28,1138561
1,462219,363,363,4,22,461563
1,1348,165,165,4,67,512
0,1344856,196,196,4,21,1344239
1,203566,68,68,2,14,203195
1,3660,193,193,4,68,3085
0,1001979,93,93,4,28,1001410
0,1671935,117,117,3,28,1671336
1,3008,160,160,4,46,2760
0,17644,347,347,4,80,17072
0,393310,279,279,4,30,392783
0,1025055,189,189,4,28,1024453
1,1654543,29,29,4,27,1654004
1,11006,13,13,4,37,10434
0,1840810,108,108,4,28,1840178
1,1182146,312,312,4,28,1181541
1,356421,430,430,3,13,355831
0,398667,247,247,4,16,398035
1,1235855,185,185,2,28,1235211
0,1806636,336,336,4,28,1806064
0,7249,51,51,4,57,6641
0,452612,280,280,4,28,451995
0,425782,137,137,2,14,425384
0,1121,1,1,4,32,531
1,725245,148,148,4,22,724664
0,7534,342,342,2,79,7151
0,14571,376,376,4,50,14272
0,244449,287,287,4,16,243556
0,622513,25,25,4,28,621803
0,261062,172,172,4,14,260553
0,253089,176,176,4,17,252442
0,305429,371,371,4,24,304515
0,690105,145,145,3,22,689434
1,26110,304,304,4,14,25487
0,55203,79,79,4,14,54550
1,6670,225,225,4,69,6140
0,467996,364,364,4,22,467418
0,1079,125,125,2,62,750
1,1784731,332,332,4,28,1784156
0,1392058,307,307,4,28,1391459
1,174019,63,63,4,14,173294
1,44727,394,394,3,93,44119
0,978860,274,274,1,27,978390
0,7294,260,260,4,75,6638
0,9111,129,129,2,63,8734
1,641578,81,81,4,11,640880
0,2852,16,16,4,40,2211
0,1610144,113,113,4,28,1609563
1,225709,67,67,3,14,225092
1,873,4,4,4,35,262
0,462632,136,136,4,4,462006
0,1707,377,377,4,85,1054
0,555039,76,76,4,7,554104
0,897457,271,271,4,27,896894
1,528985,291,291,4,10,528356
1,930600,241,241,4,22,929947
0,459742,248,248,4,16,459083
0,8892,375,375,4,50,8245
0,410431,179,179,4,15,409799
1,95645,62,62,4,2,95094
1,296809,420,420,4,4,296102
1,438791,31,31,4,3,438168
0,302673,243,243,4,16,302005
0,332148,410,410,4,14,331510
0,22912,56,56,2,58,22523
1,20624,72,72,4,43,19953
0,276224,133,133,4,22,275592
1,605996,237,237,4,10,605367
0,610905,153,153,4,4,610333
1,893116,238,238,3,22,892445
1,9993,32,32,4,41,9376
1,1448091,87,87,4,28,1447573
1,12594,195,195,4,47,11959
0,389569,246,246,4,16,388676
0,28027,42,42,4,53,27344
0,406686,135,135,4,4,406078
0,32545,261,261,4,76,31979
0,11424,39,39,3,52,10828
0,474095,353,353,4,17,473496
1,891600,270,270,1,27,891058
1,1570983,119,119,4,28,1570405
1,487260,199,199,4,23,486679
0,28680,127,127,3,63,27985
0,478938,100,100,4,0,478315
0,1109266,397,397,4,23,1108595
0,21792,344,344,4,79,21193
1,652493,235,235,4,10,651543
1,538452,143,143,4,22,537880
0,21840,228,228,4,71,21079
0,567898,122,122,2,19,567485
0,53116,396,396,5,93,52718
0,308712,369,369,4,16,308044
1,641268,233,233,4,10,640657
0,1591262,330,330,4,27,1590720
0,559332,141,141,2,20,558976
1,627298,98,98,4,6,626603
1,555039,428,428,4,4,554545
0,269583,419,419,4,4,268954
0,1591401,210,210,3,26,1590901
1,1060193,187,187,4,28,1059636
0,272757,178,178,4,17,271798
0,21892,338,338,4,78,21179
1,400683,54,54,4,3,400036
0,11825,43,43,4,53,11139
1,610947,366,366,4,22,610288
0,1183104,324,324,4,26,1182499
0,1871216,107,107,4,28,1870641
1,1100102,406,406,4,27,1099440
0,223254,288,288,4,16,222562
1,2130876,103,103,4,28,2130250
1,5418,229,229,4,71,4696
1,274287,170,170,4,14,273715
0,643220,197,197,4,6,642618
0,253619,168,168,4,14,252897
1,190891,64,64,4,14,190256
1,33533,390,390,4,92,32910
0,66227,300,300,4,1,65685
1,1038285,188,188,4,28,1037734
0,1299223,183,183,4,28,1298663
0,549268,73,73,4,7,548651
1,1790185,217,217,4,27,1789544
1,110877,152,152,5,2,110344
0,70385,297,297,4,15,69732
1,375323,425,425,4,4,374682
1,1894275,109,109,4,28,1893637
0,48963,357,357,4,83,48349
0,63431,61,61,4,59,62859
0,563485,92,92,2,20,563114
1,1947,15,15,3,39,1330
1,849658,22,22,4,27,849029
0,17246,265,265,4,76,16593
1,11667,258,258,4,74,10975
1,1192370,313,313,4,28,1191744
1,789660,147,147,4,22,789061
0,484940,354,354,4,17,484143
0,551183,224,224,2,19,550740
0,1665163,28,28,4,27,1664528
0,15815,360,360,4,83,15231
0,423275,201,201,4,23,422700
0,50225,395,395,4,93,49587
0,23909,361,361,4,83,23259
0,1935320,213,213,4,27,1934724
1,1439745,88,88,4,28,1439215
0,1646736,211,211,4,26,1646206
1,5356,349,349,4,82,4736
0,281837,177,177,4,17,281250
0,217404,21,21,4,16,216745
0,431207,426,426,4,4,430704
0,565167,381,381,2,20,564760
1,4939,6,6,4,33,4241
0,497547,250,250,4,16,496699
0,2159962,325,325,4,27,2159390
1,1722444,337,337,4,25,1721857
1,627125,83,83,4,11,626559
1,636879,156,156,4,4,636250
1,2103139,218,218,4,28,2102468
0,211634,418,418,5,0,211245
1,34921,266,266,4,77,34262
0,1578872,118,118,4,28,1578312
0,596495,157,157,4,4,595866
1,9539,194,194,4,47,8904
1,497850,294,294,4,10,497083
0,465000,352,352,4,17,464038
0,283286,424,424,4,4,282588
0,1863,41,41,4,53,1279
0,1337715,208,208,3,26,1337152
1,10499,37,37,2,51,10110
0,6256,128,128,2,63,5888
0,77237,58,58,4,58,76545
0,1685667,115,115,0,28,1685527
1,584282,131,131,4,10,583626
0,1212108,310,310,4,28,1211533
1,8071,392,392,4,92,7124
1,631273,155,155,4,4,630704
1,1357417,309,309,4,28,1356881
1,1413348,207,207,4,26,1412725
0,897652,239,239,4,22,897068
1,102031,0,0,4,2,101630
0,460277,281,281,4,28,459570
1,550961,289,289,4,10,550314
1,2082607,34,34,4,28,2081918
1,673589,182,182,4,27,672981
0,262590,285,285,4,16,261997
0,1069989,191,191,4,28,1069351
1,54130,399,399,4,94,53294
1,238595,169,169,4,14,237978
1,2039757,327,327,4,27,2039173
0,55031,264,264,4,76,54300
1,42738,391,391,4,92,42403
1,698962,95,95,4,28,698387
1,1037760,368,368,4,22,1037092
0,510533,431,431,4,5,509916
1,1653046,111,111,4,28,1652444
0,602022,158,158,4,4,601444
0,9693,359,359,4,83,9067
0,331967,150,150,4,16,331098
1,57983,60,60,4,59,57381
0,488252,249,249,4,16,487683
0,152203,401,401,4,94,151562
1,7816,166,166,4,67,6941
0,473006,251,251,4,16,472107
1,8984,254,254,4,72,8412
0,296422,242,242,4,16,295724
0,786,372,372,4,84,88
0,521226,205,205,4,6,520573
1,1896,253,253,4,72,1198
0,433446,202,202,4,23,432955
0,297265,221,221,4,3,296609
0,421453,416,416,4,28,420860
1,10738,161,161,4,66,10142
0,422988,180,180,4,15,422386
0,739582,269,269,4,27,738989
0,741926,198,198,4,16,741234
1,2021354,35,35,4,28,2020752
0,22510,52,52,3,42,21845
0,12963,340,340,4,78,12349
1,1279824,186,186,4,28,1279111
0,2141017,326,326,4,27,2140400
1,213605,69,69,4,14,212727
1,649380,234,234,4,10,648745
1,1773473,333,333,3,28,1772775
1,542828,290,290,4,10,542232
1,3185,159,159,4,65,2544
1,1094415,317,317,4,28,1093786
0,548259,140,140,2,20,547909
0,4704,226,226,4,70,4066
0,67780,414,414,4,14,67067
0,288418,220,220,4,3,287768
1,498188,429,429,4,9,497556
1,633393,80,80,4,11,632488
0,606832,84,84,4,27,606242
1,11303,48,48,4,56,10641
1,667099,3,3,4,10,666332
