Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,3258,209,209,122,754,1
0,66424,233,233,35,64094,1
1,16197,178,178,118,13717,1
0,1669,47,46,85,2,1
1,399311,92,91,14,397290,0
0,646569,183,183,12,644707,0
0,20107,68,67,49,17801,1
0,2152465,191,191,51,2150273,0
1,5726,1,0,124,3723,0
1,1909430,129,129,51,1907460,1
1,828777,109,108,46,827212,1
0,27070,140,140,16,24536,1
0,311650,215,215,12,309482,1
0,6765,193,193,79,4204,1
0,1518,58,57,92,1,1
1,477984,150,150,5,475453,0
0,1178466,116,116,42,1176085,0
1,2336,148,148,113,3,1
1,468765,84,83,52,466540,0
0,4334,96,95,97,1968,1
1,1028709,168,168,39,1026565,0
1,224206,202,202,34,222371,1
0,92121,139,139,40,90979,1
1,731499,33,32,23,729406,0
0,7491,127,127,22,5182,1
0,1333,17,16,63,3,0
0,14203,57,56,32,11819,1
0,1475,3,2,125,3,0
0,471716,221,221,5,470270,0
0,2123600,87,86,51,2121408,0
1,669243,188,188,18,667156,0
0,18709,35,34,27,16532,1
0,6479,135,135,108,5838,1
0,668634,156,156,24,666520,0
