Entity_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Encoded_Protein_Name
0,62,822069,208,208,14,821287,0,18
1,38,177073,105,105,21,175745,0,2
0,50,265814,200,200,11,265029,1,26
1,98,5205,97,97,54,4201,1,2
0,8,992655,211,211,14,991897,1,10
0,8,297062,79,79,14,295851,0,21
0,27,18784,98,98,55,18002,0,18
0,0,26139,27,27,42,25351,1,10
0,5,422034,18,18,4,420934,0,14
0,62,907521,139,139,14,906301,0,21
0,27,23025,135,135,63,22318,0,0
0,94,2202884,181,181,19,2202237,1,25
0,31,65754,233,233,79,64810,1,29
0,97,1487286,177,177,18,1486264,1,14
0,9,17173,217,217,76,16040,1,22
0,0,61556,28,28,42,60249,0,21
0,8,313431,83,83,14,312547,0,10
0,8,285745,81,81,14,284939,0,10
0,72,970864,118,118,20,969914,1,31
0,72,1631767,70,70,20,1631120,0,25
1,41,6002,241,241,81,5043,0,2
0,35,1564778,72,72,20,1564014,1,16
0,79,643595,16,16,20,642765,1,10
0,8,407549,137,137,14,406749,1,10
0,5,251858,22,22,14,251211,0,0
1,85,15410,226,226,38,14340,1,2
0,0,18582,59,59,47,17713,0,10
0,75,231201,246,246,5,230431,0,28
0,54,2089274,125,125,19,2088630,1,25
0,27,9985,149,149,66,9303,0,0
0,53,1687805,69,69,20,1687044,0,4
1,16,25842,199,199,74,24370,0,2
0,43,1677,75,75,49,712,1,29
0,51,1153229,240,240,19,1151997,0,21
0,97,1221966,174,174,18,1220947,0,14
0,15,1604402,186,186,19,1603254,0,17
0,5,1075329,3,3,14,1075195,1,1
1,64,884301,138,138,14,883339,1,2
1,70,13960,14,14,27,13361,1,2
0,91,1106541,227,227,15,1105297,0,21
1,21,655,0,0,82,2,1,2
1,33,223492,245,245,5,222386,0,34
1,13,1592913,73,73,20,1591840,1,34
0,8,658646,90,90,14,657867,0,10
0,71,266241,143,143,15,265438,0,10
0,27,13082,113,113,60,12327,1,0
0,14,1207750,192,192,14,1206605,0,21
