Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,30892,74,74,1,22,20468,0
0,56068,176,176,1,112,45617,0
0,2370774,165,165,1,50,2360422,0
0,107347,18,18,1,56,100946,1
1,364951,59,59,3,55,356759,1
1,79790,209,209,3,50,69342,1
0,34480,145,145,1,24,24017,1
0,501262,103,103,1,20,494255,0
0,7213,72,72,1,90,1,1
1,12287,133,133,3,101,1776,1
0,572820,183,183,1,11,566630,0
0,1301475,104,104,1,49,1291027,1
0,53674,205,205,1,58,43286,1
0,7785,140,140,2,105,1726,0
0,1049310,58,58,1,47,1038856,0
0,22220,224,224,1,39,11901,1
1,934030,203,203,3,48,926063,1
0,243214,169,169,1,33,232769,0
0,76316,29,29,2,31,71757,1
0,5029,28,28,2,76,2,1
0,780586,127,127,1,36,770171,0
0,12152,206,206,1,122,4158,1
0,102066,45,45,1,11,91621,1
0,19621,51,51,1,56,13649,1
0,72152,150,150,1,28,61794,1
0,600090,182,182,1,33,589645,1
1,9497,186,186,3,114,3,0
0,364064,56,56,1,33,353619,1
