Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,66,27218,66,65,1,51,24993,0
0,16,2152465,191,191,0,53,2150273,1
0,36,5726,1,0,1,126,3723,0
1,29,1909430,131,131,1,53,1907460,0
0,110,1835184,65,64,0,48,1832923,1
1,96,67187,210,210,1,16,64983,0
1,108,315631,216,216,0,12,313523,1
1,112,6765,193,193,0,81,4204,1
1,126,1518,57,56,0,94,1,3
0,137,478833,231,231,0,6,476677,1
1,72,19107,106,105,1,45,16912,0
1,136,2336,151,151,1,115,3,0
0,19,468765,82,81,1,54,466540,0
1,126,4334,96,95,0,99,1968,1
1,44,71096,140,140,0,41,68619,1
0,128,909502,73,72,0,35,907241,1
0,38,1116077,155,155,1,41,1113876,0
1,107,62927,152,152,1,24,60651,0
1,26,57522,127,127,0,22,55348,1
0,119,1333,14,13,0,65,3,2
0,76,811009,213,213,1,33,808763,0
0,80,1475,3,2,0,127,3,3
0,25,477984,153,153,1,5,475453,0
0,70,2123600,86,85,0,53,2121408,1
1,50,4215,70,69,0,19,1969,1
0,124,252998,133,133,1,28,250869,0
1,126,6479,137,137,0,110,5838,2
1,85,68193,149,149,0,25,66007,1
