Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,34862,85,85,1,0,28,34431,1
1,0,638513,69,69,2,1,7,636579,0
1,0,685611,66,66,2,1,17,683131,0
0,0,9728,36,36,7,0,68,6585,0
0,0,5438,138,138,8,0,90,3198,1
0,0,13944,59,59,6,0,45,11467,1
0,0,37772,134,134,7,0,11,34755,1
0,0,7310,32,32,7,0,66,4179,1
1,0,8362,131,131,2,1,87,5834,0
0,0,96112,112,112,7,0,1,92984,1
1,0,6579,63,63,2,1,16,5257,1
1,0,8781,25,25,2,1,60,5653,0
0,0,8449,121,121,7,0,46,5315,1
0,0,34018,53,53,6,0,61,31541,0
0,0,1015710,30,30,7,0,35,1014604,0
1,0,93861,97,97,2,1,32,92599,1
0,0,905463,46,46,7,0,39,902746,0
1,0,673601,71,71,2,1,27,670680,0
1,0,741862,157,157,2,1,23,740972,0
0,0,559272,78,78,7,0,41,556483,0
1,0,12199,144,144,2,1,96,10430,0
1,0,631461,70,70,2,1,7,630235,0
0,0,2165,135,135,8,0,88,1,1
0,0,68231,96,96,7,0,23,65097,1
0,0,704396,13,13,9,0,36,703461,0
1,0,301337,20,20,2,1,5,298548,1
1,0,796646,58,58,2,1,29,794730,0
0,0,11508,107,107,6,0,81,8902,1
1,0,1017672,44,44,2,1,34,1015075,0
