Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,536061,258,258,2,0,15,533287
1,0,568671,176,176,2,0,32,566338
0,0,1123469,223,223,1,1,24,1120611
0,0,443238,160,160,2,0,15,440629
0,0,422008,204,204,2,0,17,419294
1,0,86749,155,155,1,1,3,84020
1,0,50888,154,154,2,0,20,48174
0,0,107074,256,256,1,1,2,104540
0,0,622377,40,40,2,0,31,620053
0,0,404953,164,164,2,0,15,402317
1,0,352788,251,251,2,0,18,350182
0,0,185153,23,23,2,0,27,182502
0,0,389747,167,167,1,1,15,387120
0,0,309384,110,110,2,0,5,306937
1,0,585607,81,81,2,0,6,583331
0,0,7162,19,19,2,0,51,4697
0,0,378614,166,166,2,0,15,375975
1,0,23290,220,220,2,0,50,20606
0,0,9867,59,59,2,0,63,7462
0,0,473501,205,205,3,0,23,470631
0,0,1713823,7,7,2,0,30,1711409
0,0,381075,239,239,2,0,16,378301
0,0,14845,46,46,3,0,60,11996
0,0,8092,216,216,2,0,83,5759
1,0,13979,201,201,1,1,80,11352
0,0,1053239,112,112,2,0,23,1050549
0,0,15062,85,85,2,0,66,12438
1,0,1100880,198,198,1,1,23,1098211
1,0,8115,175,175,3,0,49,5269
1,0,379418,173,173,2,0,34,376740
1,0,2047179,188,188,2,0,31,2044399
1,0,665447,73,73,3,0,23,662586
0,0,475012,142,142,2,0,7,472298
0,0,1324430,88,88,2,0,32,1322082
0,0,1156973,237,237,2,0,31,1154469
1,0,9580,200,200,1,1,79,6749
0,0,428427,87,87,3,0,20,425755
1,0,1096585,236,236,2,0,31,1093946
0,0,810651,172,172,2,0,22,808318
0,0,12594,153,153,2,0,76,9967
1,0,9089,219,219,2,0,85,6579
0,0,45075,124,124,1,1,72,42286
1,0,1611964,100,100,1,1,30,1609262
0,0,1828534,107,107,2,0,31,1825916
1,0,483376,96,96,2,0,24,480707
0,0,1865809,105,105,2,0,31,1862957
0,0,139709,255,255,2,0,1,138117
0,0,404584,118,118,2,0,22,402206
0,0,1731005,194,194,3,0,29,1728183
1,0,2060220,187,187,2,0,31,2057611
0,0,255561,17,17,1,1,23,253126
1,0,12158,10,10,2,0,43,9363
0,0,21771,83,83,2,0,64,19363
0,0,506933,18,18,3,0,23,504105
0,0,465591,165,165,2,0,15,462814
0,0,262330,245,245,2,0,6,259847
0,0,579976,259,259,2,0,15,577358
1,0,16377,146,146,2,0,74,13513
1,0,199898,35,35,1,1,19,197364
0,0,1633076,190,190,1,1,31,1630521
0,0,602587,41,41,2,0,31,600077
0,0,768058,75,75,2,0,23,765323
1,0,1129346,171,171,2,0,32,1126764
0,0,20976,56,56,2,0,46,18310
0,0,5331,151,151,2,0,75,2932
1,0,204433,61,61,2,0,14,201761
0,0,1825289,191,191,2,0,32,1822929
0,0,700388,14,14,2,0,15,697620
1,0,6553,120,120,2,0,68,4166
0,0,1169591,225,225,3,0,24,1166769
1,0,13678,158,158,2,0,3,10931
0,0,468388,67,67,3,0,6,465485
0,0,476059,150,150,1,1,5,473501
0,0,1251196,184,184,2,0,30,1248512
1,0,1015945,211,211,2,0,23,1013150
1,0,1147282,170,170,2,0,32,1144757
1,0,721934,74,74,2,0,23,719244
0,0,1582479,189,189,1,1,31,1579936
1,0,237391,70,70,2,0,9,234584
1,0,218715,54,54,2,0,17,215884
0,0,11062,4,4,2,0,39,8450
1,0,1570228,99,99,4,0,30,1568267
0,0,308185,64,64,1,1,23,306188
0,0,546370,45,45,2,0,8,543824
0,0,410579,136,136,2,0,16,407808
0,0,57145,55,55,3,0,46,54284
0,0,849988,208,208,2,0,23,847319
0,0,408107,16,16,1,1,5,405750
1,0,60414,229,229,2,0,87,57859
1,0,1007699,209,209,2,0,23,1005114
1,0,7898,9,9,2,0,42,5274
0,0,245264,47,47,2,0,0,242583
0,0,4732,123,123,2,0,71,2051
0,0,21506,57,57,2,0,62,18858
1,0,23129,126,126,3,0,73,20358
0,0,472189,69,69,2,0,18,469499
0,0,1014233,134,134,1,1,31,1011738
0,0,34218,58,58,2,0,62,31414
1,0,2102129,102,102,2,0,31,2099463
1,0,82609,138,138,3,0,19,79808
0,0,1317329,98,98,2,0,30,1314768
1,0,396615,252,252,1,1,18,394090
1,0,565683,140,140,2,0,6,563344
1,0,10603,6,6,3,0,40,7772
1,0,460231,149,149,2,0,13,457457
0,0,276688,213,213,1,1,24,274223
0,0,652210,95,95,2,0,8,649424
1,0,10893,90,90,2,0,33,8359
1,0,4709,30,30,2,0,57,2067
0,0,119436,257,257,2,0,2,116878
1,0,14331,232,232,2,0,88,11776
1,0,1650945,11,11,2,0,31,1648582
0,0,7054,122,122,2,0,70,4541
1,0,456596,15,15,2,0,5,453903
1,0,3590,214,214,2,0,82,942
0,0,1816759,193,193,2,0,32,1814429
1,0,2010450,109,109,2,0,32,2008033
1,0,529696,179,179,2,0,1,526820
0,0,280853,62,62,2,0,23,278046
1,0,423886,65,65,2,0,6,421607
1,0,408724,139,139,1,1,35,406415
0,0,1036042,117,117,2,0,25,1033382
0,0,25731,8,8,3,0,41,22858
0,0,35248,50,50,2,0,61,32438
1,0,2099,2,2,4,0,37,3
0,0,903444,115,115,1,1,23,900637
1,0,559805,148,148,1,1,13,557001
1,0,2171498,186,186,2,0,31,2169063
0,0,817323,77,77,2,0,23,814468
1,0,35322,195,195,2,0,77,32611
0,0,585177,207,207,3,0,23,582301
1,0,41459,221,221,3,0,86,38613
0,0,584285,178,178,0,0,1,581721
0,0,421319,163,163,2,0,15,418704
0,0,16042,111,111,3,0,67,13142
1,0,629809,113,113,3,0,13,627020
1,0,596823,94,94,2,0,8,594229
0,0,71558,156,156,1,1,3,69066
0,0,1115182,222,222,2,0,24,1112378
0,0,556640,254,254,2,0,7,553878
0,0,22835,147,147,2,0,74,20457
0,0,65602,24,24,2,0,54,62846
0,0,321121,174,174,2,0,32,318503
1,0,3099,84,84,2,0,65,313
1,0,2201057,53,53,2,0,32,2198634
0,0,1882048,104,104,1,1,31,1879670
0,0,2065088,101,101,1,1,31,2062416
1,0,8030,145,145,2,0,74,5538
1,0,54570,27,27,3,0,44,51787
1,0,12466,231,231,2,0,87,9926
0,0,1745786,12,12,2,0,31,1743231
0,0,1189938,227,227,2,0,24,1187140
1,0,580806,93,93,4,0,8,578836
1,0,565358,82,82,2,0,32,563163
1,0,935144,131,131,2,0,31,932427
1,0,7331,91,91,3,0,48,4482
1,0,167573,36,36,3,0,19,164778
1,0,191757,114,114,2,0,10,188965
1,0,344245,13,13,2,0,0,341906
1,0,205713,249,249,2,0,9,202903
0,0,546874,143,143,2,0,15,544250
0,0,1851640,106,106,2,0,31,1848668
1,0,450835,66,66,2,0,6,448496
0,0,14547,20,20,2,0,52,12235
0,0,425184,137,137,2,0,16,422410
1,0,249052,71,71,2,0,9,246272
0,0,7271,22,22,2,0,53,4884
0,0,3982,1,1,2,0,36,1541
1,0,21057,157,157,2,0,3,18763
0,0,399549,240,240,2,0,16,396772
0,0,11601,39,39,2,0,59,9187
1,0,175571,92,92,2,0,28,172800
0,0,110238,230,230,3,0,87,107374
0,0,783613,76,76,2,0,23,780839
1,0,8573,217,217,2,0,84,6039
1,0,7513,3,3,2,0,38,4757
1,0,171781,0,0,4,0,11,169685
1,0,221070,141,141,2,0,9,218443
1,0,1484951,185,185,3,0,30,1482129
1,0,880730,133,133,2,0,31,877992
1,0,12861,242,242,2,0,89,10087
0,0,763632,129,129,2,0,31,761305
1,0,1152001,183,183,1,1,30,1149578
0,0,184674,5,5,2,0,12,182293
1,0,194602,250,250,3,0,9,191840
1,0,2180588,52,52,2,0,32,2178147
1,0,17047,37,37,2,0,45,14579
0,0,222070,181,181,2,0,5,219359
0,0,1181628,226,226,2,0,24,1179322
1,0,2776,48,48,1,1,61,113
1,0,950785,132,132,2,0,31,948302
0,0,8596,125,125,2,0,72,5819
0,0,24923,60,60,2,0,47,22032
0,0,42017,203,203,1,1,81,39222
0,0,1200167,197,197,2,0,23,1197396
0,0,696919,72,72,2,0,23,694046
0,0,316755,119,119,1,1,24,314314
0,0,428401,68,68,2,0,18,425663
0,0,388287,241,241,2,0,16,385492
0,0,2113696,51,51,1,1,31,2111357
0,0,272153,63,63,2,0,23,269451
1,0,22052,243,243,2,0,90,19278
0,0,198843,127,127,2,0,5,196225
1,0,775880,130,130,2,0,31,773208
0,0,432436,161,161,1,1,15,429818
1,0,180486,34,34,2,0,19,177754
1,0,11536,32,32,2,0,58,9554
0,0,15093,159,159,3,0,19,12226
